ecNum,#proteinId
3.6.1.3,1107
3.4.-.-,2571
3.4.-.-,2571
1.1.3.9,3076
1.1.1.125,3090
3.1.3.43,3913
3.2.1.26,9431
3.2.1.26,9431
3.6.4.-,14665
1.1.-.-,17395
1.1.-.-,17395
2.7.7.48,17595
2.1.1.1,18176
3.2.1.59,18376
2.3.1.12,23129
2.3.1.12,23129
2.7.1.48,25258
2.5.1.39,29183
1.1.1.141,32031
3.4.19.12,32834
3.2.1.20,34637
3.2.1.20,34637
3.4.19.12,34820
3.1.26.4,36704
2.1.1.37,39328
3.-.-.-,41145
3.1.-.-,42467
1.1.1.2,44320
1.1.1.2,44320
1.1.1.2,44320
1.1.1.2,44320
1.14.-.-,45043
1.14.-.-,45043
1.14.-.-,45043
1.14.-.-,45043
1.8.1.2,47441
1.8.1.2,47441
2.1.1.77,47686
6.3.4.2,53482
2.4.1.-,55863
2.4.1.-,55863
2.4.1.-,55863
2.4.1.-,55863
2.4.1.-,55863
2.4.1.-,55863
2.4.1.-,55863
2.4.1.-,55863
2.4.1.-,55863
2.4.1.-,55863
2.4.1.-,55863
3.6.3.29,59445
2.3.1.1,61045
2.7.1.86,61680
3.5.4.5,62505
1.1.1.125,62614
3.2.1.8,64209
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
3.4.24.71,66744
2.7.4.6,67395
2.7.4.6,67395
2.4.1.11,68651
3.4.23.5,69589
1.1.1.102,71299
2.3.2.8,71418
6.3.2.19,71969
2.2.1.3,74144
1.1.1.14,74256
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
4.1.1.-,75285
2.1.1.35,84496
1.2.1.12,85985
1.2.1.12,85985
4.99.1.1,88748
2.4.1.16,91046
3.1.27.1,92228
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
1.1.1.-,97305
6.2.1.3,99143
2.3.1.16,99201
2.3.1.16,99201
2.3.1.16,99201
2.3.1.16,99201
2.3.1.16,99201
4.3.1.12,101392
2.4.1.15,103636
1.97.1.4,106166
2.7.1.59,106272
2.7.1.59,106272
1.1.2.3,109017
1.1.1.169,109060
1.11.1.6,115877
1.11.1.6,115877
6.1.1.12,119075
6.1.1.12,119075
3.5.1.10,121006
3.5.1.10,121006
1.14.11.13,122997
1.1.1.60,123029
2.1.1.77,123069
3.5.4.-,125527
3.6.3.27,130517
3.2.1.21,143710
3.2.1.21,143710
3.2.1.21,143710
3.5.1.4,144307
3.5.1.4,144307
3.5.1.4,144307
3.5.1.4,144307
3.5.1.4,144307
3.5.1.4,144307
3.6.1.-,146636
3.6.1.-,146636
2.1.1.43,149344
1.1.2.4,149450
2.5.1.18,155646
4.2.1.75,155751
3.1.3.36,158610
2.4.2.17,163991
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.14.13.-,164538
1.8.1.4,165761
1.8.1.4,165761
1.8.1.4,165761
1.8.1.4,165761
3.1.4.37,166448
2.7.7.52,166911
3.4.19.12,167751
2.5.1.18,168199
6.3.4.5,168860
6.3.4.5,168860
6.3.4.5,168860
3.1.3.48,172571
3.6.3.29,172749
5.3.1.6,175496
5.3.1.6,175496
3.6.1.-,176134
3.6.1.-,176134
3.2.1.67,177638
3.2.1.20,177641
3.2.1.20,177641
3.2.1.21,178872
3.2.1.21,178872
3.2.1.21,178872
1.14.13.9,181887
2.4.1.-,182218
2.4.1.-,182218
2.4.1.-,182218
2.4.1.-,182218
2.4.1.-,182218
2.4.1.-,182218
2.4.1.-,182218
2.4.1.-,182218
2.4.1.-,182218
2.4.1.-,182218
2.4.1.-,182218
3.1.26.-,184336
3.2.1.59,192708
1.14.11.13,193700
3.5.1.25,194376
4.2.1.24,194501
2.7.1.17,198172
2.7.7.6,198829
2.7.7.6,198829
2.7.7.6,198829
2.7.7.6,199063
2.7.7.6,199063
2.7.7.6,199063
4.2.1.3,200539
4.2.1.3,200539
4.2.1.3,200539
2.6.1.42,206146
2.6.1.42,206146
2.6.1.42,206146
6.3.2.-,208302
6.3.2.-,208302
6.3.2.2,208969
6.3.2.2,208969
3.1.26.3,210625
3.1.3.48,211862
2.4.2.19,212539
1.1.3.8,214561
2.3.1.97,219040
1.1.1.21,224870
1.1.1.21,224870
1.1.1.21,224870
1.1.1.21,224870
1.1.1.21,224870
2.7.7.7,226870
2.7.7.7,226870
2.7.7.7,226870
3.1.4.17,227879
3.5.4.12,232081
3.5.4.12,232081
3.1.3.16,233949
3.1.1.23,238280
2.4.1.-,240863
2.4.1.-,240863
2.4.1.-,240863
2.4.1.-,240863
2.4.1.-,240863
2.4.1.-,240863
2.4.1.-,240863
2.4.1.-,240863
2.4.1.-,240863
2.4.1.-,240863
2.4.1.-,240863
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.3.1.37,248079
3.4.17.4,250408
3.4.24.-,252234
1.1.1.95,253871
5.1.3.2,254469
5.1.3.2,254469
3.5.1.4,256397
3.5.1.4,256397
3.5.1.4,256397
3.5.1.4,256397
3.5.1.4,256397
3.5.1.4,256397
3.2.1.37,256965
3.2.1.37,256965
1.6.5.5,257278
1.5.3.1,258071
3.4.19.12,258385
1.1.2.3,263683
1.3.1.33,265142
3.4.24.64,265247
1.5.1.20,265867
5.2.1.8,269480
3.6.4.-,271794
3.4.19.12,272535
1.3.1.22,278549
5.2.1.8,284485
1.1.1.65,288266
6.1.1.18,289097
6.1.1.18,289097
1.1.1.65,292026
1.1.1.173,296955
4.2.1.1,297583
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
2.1.1.-,298123
1.2.4.1,299042
1.2.4.1,299042
1.2.4.1,299042
1.2.4.1,299042
3.1.-.-,301758
1.1.1.37,307240
1.1.1.37,307240
1.1.1.37,307240
1.1.1.37,307240
1.1.1.37,307240
6.5.1.1,309456
1.11.1.9,315031
3.1.1.-,315259
3.1.1.-,315259
3.1.1.-,315259
3.2.1.31,318427
3.2.1.31,318427
3.2.1.31,318427
1.97.1.4,319812
1.97.1.4,320532
1.13.11.27,320621
1.13.11.27,320621
2.1.1.63,320651
2.2.1.3,321700
4.1.2.13,321758
4.1.2.13,321758
4.1.2.13,321758
4.1.2.13,321758
1.97.1.4,322384
1.5.1.20,327643
1.14.-.-,330375
1.14.-.-,330375
1.14.-.-,330375
1.14.-.-,330375
