ecNum,#proteinId
1.1.1.2,44320
1.1.1.2,44320
1.1.1.2,44320
1.1.1.2,44320
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
4.1.1.-,64504
2.1.1.35,84496
3.5.1.10,121006
3.5.1.10,121006
2.7.7.52,166911
2.7.7.6,198829
2.7.7.6,198829
2.7.7.6,198829
3.1.4.17,227879
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.1.1.-,241340
2.3.1.37,248079
3.4.24.-,252234
1.1.2.3,263683
1.3.1.33,265142
3.2.1.31,318427
3.2.1.31,318427
3.2.1.31,318427
1.97.1.4,322384
1.3.1.42,438737
1.14.14.-,441150
5.99.1.2,442910
1.4.1.2,450185
1.4.1.2,450185
3.1.1.-,455646
3.1.1.-,455646
3.1.1.-,455646
4.2.1.33,463717
1.4.3.3,473474
1.4.3.3,473474
1.4.3.3,473474
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
2.1.1.-,476873
3.1.3.3,477448
3.6.1.3,477465
1.1.1.1,477714
1.1.1.1,477714
1.1.1.1,477714
1.1.1.1,477714
1.1.1.1,477714
1.1.1.9,477764
6.3.5.4,478814
6.3.5.4,478814
1.6.99.3,479180
2.1.1.79,479981
6.3.5.2,480866
6.3.5.2,480866
1.8.5.-,481428
2.7.7.6,481632
2.7.7.6,481632
2.7.7.6,481632
5.4.99.-,483482
1.2.1.31,483926
1.2.1.31,483926
6.3.5.5,484040
6.3.5.5,484040
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.3.1.-,484575
2.7.7.9,485202
2.7.7.9,485202
2.7.7.9,485202
2.7.7.9,485202
6.2.1.-,485400
6.2.1.-,485400
2.3.1.61,486571
2.3.1.61,486571
6.1.1.1,488132
6.1.1.1,488132
4.2.1.17,488640
4.2.1.17,488640
4.2.1.17,488640
4.2.1.17,488640
4.2.1.17,488640
4.2.1.17,488640
4.2.1.17,488640
4.2.1.17,488640
4.2.1.17,488640
1.1.99.24,489173
1.1.1.9,489240
4.2.1.24,489899
1.2.1.2,490091
1.2.1.2,490091
2.3.3.1,490343
3.1.3.11,490444
3.1.3.11,490444
3.1.3.11,490444
3.1.3.11,490444
4.4.1.17,490449
5.99.1.3,490609
2.4.1.155,490975
1.3.5.1,491915
1.3.5.1,491915
3.6.4.-,492553
3.6.3.9,492621
1.6.1.2,492767
1.1.1.1,493945
1.1.1.1,493945
1.1.1.1,493945
1.1.1.1,493945
1.1.1.1,493945
5.3.1.8,494623
1.13.99.1,494925
1.1.1.38,495007
1.1.1.86,495490
1.1.1.86,495490
2.7.1.32,497425
1.1.1.2,498806
1.1.1.2,498806
1.1.1.2,498806
1.1.1.2,498806
2.1.1.77,499271
3.6.3.7,499860
4.1.3.1,500682
4.2.1.9,501223
4.2.1.9,501223
2.1.1.77,501327
3.1.1.45,501450
2.1.1.127,506625
1.5.5.1,506682
3.5.1.53,506924
3.6.3.44,511529
4.4.1.5,512587
2.4.1.186,513466
1.3.99.12,524239
6.3.2.19,532422
4.1.99.3,533821
1.4.4.2,537425
1.1.99.1,539380
1.2.1.11,540246
1.2.1.11,540246
2.7.7.6,541550
2.7.7.6,541550
2.7.7.6,541550
1.5.1.15,541617
