Par.Wo.mean,Par.Ac.mean,Par_Ac.vs.Par_wo.log.2,Par_Ac.vs.Par_wo_adj_p,Rxn
496.53041518196,212.057900647052,-1.22742385889473,0.000760436423552888,r_0014
4403.98198816179,1430.70687396549,-1.62208044829195,0.000760436423552888,r_0016
7198.87769839894,2659.77703548132,-1.43646669645645,0.000760436423552888,r_0023
7148.28102738858,2831.41464708992,-1.33607331309858,0.0054909550282585,r_0033
7148.28102738858,2831.41464708992,-1.33607331309858,0.0054909550282585,r_0034
7148.28102738858,2831.41464708992,-1.33607331309858,0.0054909550282585,r_0035
7148.28102738858,2831.41464708992,-1.33607331309858,0.0054909550282585,r_0036
7148.28102738858,2831.41464708992,-1.33607331309858,0.0054909550282585,r_0037
7198.87769839894,2659.77703548132,-1.43646669645645,0.000760436423552888,r_0060
2988.19614088392,707.543046462632,-2.07838501929327,0.00564460849487726,r_0063
10120.3167447003,3901.84794969877,-1.37502497999753,0.000233671121184831,r_0081
21421.5539877381,7712.73743852372,-1.47374823779574,0.00192620761533353,r_0096
4403.98198816179,1430.70687396549,-1.62208044829195,0.000760436423552888,r_0097
92559.8489435401,23383.5134015783,-1.98489479713204,0.0054909550282585,r_0112
92559.8489435401,23383.5134015783,-1.98489479713204,0.0054909550282585,r_0113
92559.8489435401,23383.5134015783,-1.98489479713204,0.0054909550282585,r_0114
8936.33964506092,2925.4722381738,-1.61101449213933,0.000951022992139851,r_0166
8936.33964506092,2925.4722381738,-1.61101449213933,0.000951022992139851,r_0169
7489.60550072559,1951.16363778734,-1.94055495255673,2.50908615715125e-05,r_0171
8936.33964506092,2925.4722381738,-1.61101449213933,0.000951022992139851,r_0179
7489.60550072559,1951.16363778734,-1.94055495255673,2.50908615715125e-05,r_0181
8936.33964506092,2925.4722381738,-1.61101449213933,0.000951022992139851,r_0182
7489.60550072559,1951.16363778734,-1.94055495255673,2.50908615715125e-05,r_0184
8936.33964506092,2925.4722381738,-1.61101449213933,0.000951022992139851,r_0186
6013.36464267162,2590.64601647038,-1.21486054391359,0.000744634925031127,r_0211
32199.7417561341,10172.6015245117,-1.66236043902896,0.000866475265909325,r_0214
4080.24298329767,1388.61144956413,-1.55501209685019,0.00452347867704018,r_0219
