ATS.Ac.mean,Par.Ac.mean,ATS_Ac.vs.Par_Ac.log.2,ATS_Ac.vs.Par_Ac_adj_p,Rxn
7699.30875491648,2329.41812479293,1.72475930326147,0.00121595904089728,r_0146
8861.22356386222,2925.4722381738,1.59883639336872,0.00165072645611158,r_0166
8861.22356386222,2925.4722381738,1.59883639336872,0.00165072645611158,r_0169
6419.68085798193,1951.16363778734,1.71816680114588,0.00173779838435584,r_0171
8861.22356386222,2925.4722381738,1.59883639336872,0.00165072645611158,r_0179
6419.68085798193,1951.16363778734,1.71816680114588,0.00173779838435584,r_0181
8861.22356386222,2925.4722381738,1.59883639336872,0.00165072645611158,r_0182
6419.68085798193,1951.16363778734,1.71816680114588,0.00173779838435584,r_0184
8861.22356386222,2925.4722381738,1.59883639336872,0.00165072645611158,r_0186
2568.17992757469,1092.71122784827,1.23283409314385,0.00164348156364852,r_0354
8663.27093599247,2744.46155515551,1.65838870702333,0.00267764125855393,r_0443
6050.42154350824,1476.53474085806,2.03482035946225,0.00459676453991201,r_0697
7699.30875491648,2329.41812479293,1.72475930326147,0.00121595904089728,r_0819
1799.24964711821,779.353129207524,1.20704630076888,0.00483042008388874,r_0905
11494.6269256837,4028.83417948664,1.5125253093655,0.00121595904089728,r_1136
2042.06902376175,530.842255908049,1.94367651015781,0.00320734149514478,r_1193
11494.6269256837,4028.83417948664,1.5125253093655,0.00121595904089728,r_1206
11494.6269256837,4028.83417948664,1.5125253093655,0.00121595904089728,r_1207
11494.6269256837,4028.83417948664,1.5125253093655,0.00121595904089728,r_1254
1657.63949649121,461.99561304219,1.84317922610412,0.00710792816398129,r_1277
11487.3199192644,4022.59473590655,1.51384394201958,0.00121595904089728,r_1798
11487.3199192644,4022.59473590655,1.51384394201958,0.00121595904089728,r_1901
11487.3199192644,4022.59473590655,1.51384394201958,0.00121595904089728,r_2057
