ATS.Wo.mean,ATS.Ac.mean,ATS_Ac.vs.ATS_wo.log.2,ATS_Ac.vs.ATS_wo_adj_p,Rxn
17072.7804128746,5302.11577585338,-1.6870579516929,0.000765272637568771,r_0252
10749.1431478457,4257.22641805083,-1.33623593593342,0.00456691921644808,r_0253
10749.1431478457,4257.22641805083,-1.33623593593342,0.00456691921644808,r_0254
25673.0571548644,10862.5471580335,-1.24089266238803,0.0269440612733297,r_0280
25673.0571548644,10862.5471580335,-1.24089266238803,0.0269440612733297,r_0302
25673.0571548644,10862.5471580335,-1.24089266238803,0.0269440612733297,r_0303
6196.318108005,2606.94390834911,-1.24905166961521,0.00307828950459591,r_0565
15152.6682570015,6541.85247594325,-1.21180073152806,0.00994505345442832,r_0842
1613.32763916581,673.229243767079,-1.26086970385606,0.00421448456550074,r_1070
276.60977627815,87.3309545187926,-1.66328713297078,0.0107131213073871,r_1108
16693.7052206641,3665.0604651738,-2.18739529610854,0.00994505345442832,r_1120
276.60977627815,87.3309545187926,-1.66328713297078,0.0107131213073871,r_1133
276.60977627815,87.3309545187926,-1.66328713297078,0.0107131213073871,r_1176
9063.26334926502,3655.29513420359,-1.31004270915317,0.000765272637568771,r_1191
9555.80855147161,3592.28052371586,-1.41147793445518,0.000863416259865697,r_1255
9555.80855147161,3592.28052371586,-1.41147793445518,0.000863416259865697,r_1257
1490.01823673537,413.705153984837,-1.84865515227652,0.000765272637568771,r_1667
25673.0571548644,10862.5471580335,-1.24089266238803,0.0269440612733297,r_2305
17072.7804128746,5302.11577585338,-1.6870579516929,0.000765272637568771,t_0009
17072.7804128746,5302.11577585338,-1.6870579516929,0.000765272637568771,t_0010
17072.7804128746,5302.11577585338,-1.6870579516929,0.000765272637568771,t_0011
17072.7804128746,5302.11577585338,-1.6870579516929,0.000765272637568771,t_0012
17072.7804128746,5302.11577585338,-1.6870579516929,0.000765272637568771,t_0013
17072.7804128746,5302.11577585338,-1.6870579516929,0.000765272637568771,t_0014
16693.7052206641,3665.0604651738,-2.18739529610854,0.00994505345442832,t_0015
16693.7052206641,3665.0604651738,-2.18739529610854,0.00994505345442832,t_0016
16693.7052206641,3665.0604651738,-2.18739529610854,0.00994505345442832,t_0017
16693.7052206641,3665.0604651738,-2.18739529610854,0.00994505345442832,t_0018
16693.7052206641,3665.0604651738,-2.18739529610854,0.00994505345442832,t_0019
16693.7052206641,3665.0604651738,-2.18739529610854,0.00994505345442832,t_0020
15152.6682570015,6541.85247594325,-1.21180073152806,0.00994505345442832,y200015
15152.6682570015,6541.85247594325,-1.21180073152806,0.00994505345442832,y200016
41971.0252463028,10139.5553834769,-2.04939931308112,0.00119632914520745,y300059
