Gene_id,Par_wo_1,Par_wo_2,Par_wo_3,Par_Ac_1,Par_Ac_2,Par_Ac_3,ATS_wo_1,ATS_wo_2,ATS_wo_3,ATS_Ac_1,ATS_Ac_2,ATS_Ac_3,Par_wo_med,Par_Ac_med,ATS_wo_med,ATS_Ac_med
gene_1,194.834259241098,207.835266210868,225.417967260498,354.201403307691,350.383648638606,335.657276271088,393.828948469971,436.479004474241,385.969233366066,422.004258552313,446.844286901188,401.433046668457,209.362497570821,346.747442739128,405.425728770093,423.427197373986
gene_2,14.3966201409678,15.1546548278758,16.4468044782337,1.02370347776789,9.98244013215401,3.50861264394866,4.79110642907507,11.6839504065763,31.9422813820193,12.8856262153378,7.96159085792762,10.7335039216165,15.3326931490258,4.83825208462352,16.1391127392236,10.526906998294
gene_3,986.64836699433,1075.98049277918,1161.91836343287,1157.80863335549,1107.05261065588,973.055239921761,1058.83452082559,1277.72343374773,1204.93383657728,1259.56996254927,1252.95536126636,1153.85167157377,1074.84907440213,1079.30549464438,1180.49726371687,1222.1256651298
gene_4,5.75864805638714,2.16495068969654,6.77221360868448,2.04740695553579,5.9894640792924,4.67815019193154,11.4986554297802,5.00740731710411,0,10.7380218461148,9.95198857240952,6.44010235296991,4.89860411825605,4.23834040891991,5.5020209156281,9.04337092383141
gene_5,979.929944261878,983.970088467077,1126.12237721553,1223.32565593263,1180.92266763382,1067.78778130838,1200.65127112621,1138.350596755,1103.78327886755,1061.99036058076,1048.93959553196,1175.31867941701,1030.0074699815,1157.34536829161,1147.59504891625,1095.41621184324
gene_6,77.7417487612264,62.7835700011997,79.3316451303039,103.394051254557,106.812109414048,107.597454414426,135.109201299917,151.056787399307,151.725836564591,76.2399551074152,101.510283438577,129.87539745156,73.28565463091,105.93453836101,145.963941754605,102.541878665851
gene_7,381.99032107368,333.402406213267,309.586907825576,552.799877994662,543.044743189178,519.274671304402,608.470516492534,672.661716264318,500.429074984968,647.502717320724,648.869654921101,705.191207650205,341.659878370841,538.373097496081,593.853769247273,667.18785996401
gene_8,12.4770707888388,11.907228793331,6.77221360868448,11.2607382554468,3.9929760528616,10.525837931846,23.9555321453754,18.3604934960484,19.5202830667895,9.66421966150334,20.89917600206,26.8337598040413,10.3855043969514,8.59318408005147,20.6121029027378,19.1323851558682
gene_9,67.1842273245166,31.3917850005998,43.5356589129716,35.8296217218762,66.8823488854318,73.6808655229218,120.735882012692,136.869133334179,111.797984837067,70.8709441843578,94.5438914378905,100.894936863195,47.3705570793627,58.7976120434099,123.134333394646,88.7699241618144
gene_10,308.087671016712,356.134388455081,308.619448738621,319.395485063582,266.531151528512,286.536699255807,496.358626052178,418.953078864377,443.64279697249,433.816082583039,468.738661760489,483.007676472743,324.280502736805,290.8211119493,452.984833963015,461.85414027209
gene_11,4453.35449693939,4636.24190198514,4822.7835484703,4714.15451512115,5008.19021430166,4831.3596107173,5539.4772532966,6108.20235898083,5652.89651902346,5262.70450678087,6026.92427945121,5808.97232237885,4637.45998246494,4851.2347800467,5766.85871043363,5699.53370287031
gene_12,0,0,0,0,1.9964880264308,0,0,0,0,4.29520873844593,0,0,0,0.665496008810267,0,1.43173624614864
gene_13,0,0,0,1.02370347776789,0,0,0,0,0,2.14760436922296,3.98079542896381,2.1467007843233,0,0.341234492589297,0,2.75836686083669
gene_14,6.71842273245166,10.8247534484827,30.9586907825576,21.4977730331257,44.920980594693,29.2384386995722,9.58221285815015,15.8567898374963,19.5202830667895,22.5498458768411,16.9183805730962,17.1736062745864,16.1672889878307,31.885730775797,14.9864285874787,18.8806109081746
gene_15,720.790781724457,728.505907082886,758.487924172661,719.663544870828,753.674229977627,805.811370560209,514.564830482663,600.054310166309,588.270348785521,678.642980674457,590.152922343885,613.956424316464,735.928204326668,759.716381802888,567.629829811498,627.584109111602
gene_16,819.647573359103,836.753441567713,857.168751042064,661.312446638059,611.92358010104,574.242936059597,630.50960606628,571.679002036052,472.923221572674,598.107816828596,508.546616050127,478.714274904096,837.856588656293,615.826320932899,558.370609891669,528.456235927606
gene_17,0,0,1.93491817390985,0,0,0,0,0,0,0,0,2.1467007843233,0.644972724636617,0,0,0.715566928107767
gene_18,0,0,1.93491817390985,0,0,0,0,0,0,0,0,0,0.644972724636617,0,0,0
gene_19,19.1954935212905,21.6495068969654,18.3817226521436,37.877028677412,23.9578563171696,25.7298260556235,16.2897618588553,15.8567898374963,23.9567110365144,19.3284393230067,10.9471874296505,19.3203070589097,19.7422410234665,29.188237016735,18.701087577622,16.531977937189
gene_20,13477.156001298,13746.3544042282,13607.312058021,19027.5765412718,18583.3105500179,19075.1574076009,23480.2543876111,24334.3304253536,23027.723019654,23988.7408042205,24773.485153299,24181.5109850098,13610.2741545157,18895.3481662969,23614.1026108729,24314.5789808431
gene_21,376.231673017293,387.526173455681,374.406666651556,81.8962782214314,79.859521057232,76.0199406188876,224.223780880713,184.439502846668,173.020690819271,90.1993835073645,105.491078867541,75.1345274513156,379.38817104151,79.2585799658503,193.894658182217,90.2749966087404
gene_22,8031.39448930793,8291.76114153775,8031.84533989979,1796.59960348265,1575.2290528539,1756.6453970703,1983.51806163708,2173.21477562318,2340.65939682686,1130.71370039589,1078.79556124919,1046.51663235761,8118.33365691516,1709.49135113562,2165.79741136237,1085.34196466756
gene_23,942.498731895362,902.784437603457,941.337691607142,771.872422236991,804.584674651613,693.535765953852,2157.91433565541,2053.03700001268,2176.51156194703,1248.83194070315,1214.14260583396,1328.80778549612,928.873620368654,756.664287614152,2129.15429920504,1263.92744401108
