Name,GrRule,REF,ALT
usage_prot_E6R000,CGB_B1300C,69261.522165243,8213.45456277835
usage_prot_E6R003,CGB_B1330C,-0,-0
usage_prot_E6R016,CGB_B1470W,-0,-0
usage_prot_E6R023,CGB_B1540W,2681.67070074725,312.068979876344
usage_prot_E6R043,CGB_B1740C,-0,-0
usage_prot_E6R053,CGB_B2030C,-0,23851.8014221094
usage_prot_E6R075,CGB_B2250C,-0,23851.8014221094
usage_prot_E6R092,CGB_B2420W,-0,-0
usage_prot_E6R0A3,CGB_B2530C,-0,-0
usage_prot_E6R0A9,CGB_B2590C,-0,-0
usage_prot_E6R0B1,CGB_B2610W,2.66279091156126,23851.8014221094
usage_prot_E6R0C2,CGB_B2720W,-0,23851.8014221094
usage_prot_E6R0D0,CGB_B2800C,-0,-0
usage_prot_E6R0D1,CGB_B2810C,-0,23851.8014221094
usage_prot_E6R0D6,CGB_B2860C,0.172618841023671,23851.8014221094
usage_prot_E6R0E6,CGB_B3040C,382.474209135915,44.3720991959401
usage_prot_E6R0F5,CGB_B3130C,863.877054804148,-0
usage_prot_E6R0J0,CGB_B3480C,-0,23851.8014221094
usage_prot_E6R0M1,CGB_B3790C,-0,23851.8014221094
usage_prot_E6R0M7,CGB_B3850C,-0,296.040990533886
usage_prot_E6R0P3,CGB_B4140C,9101.61098523837,8639.74126071878
usage_prot_E6R0P8,CGB_B4190W,-0,0.00816733667210309
usage_prot_E6R0R3,CGB_B4340C,-0,-0
usage_prot_E6R0R4,CGB_B4350W,-0,-0
usage_prot_E6R0S7,CGB_B4470W,-0,-0
usage_prot_E6R0S9,CGB_B4490C,-0,-0
usage_prot_E6R0T3,CGB_B4530C,-0,1660.96404226255
usage_prot_E6R0U3,CGB_B4630W,95.3552318462722,8.46079359476625
usage_prot_E6R0X7,CGB_B5300W,-0,23851.8014221094
usage_prot_E6R0Z8,CGB_B5500W,8417.69605171068,976.540176609689
usage_prot_E6R126,CGB_B5780W,25592.9254652805,4755.06990291907
usage_prot_E6R137,CGB_B6060C,-0,-0
usage_prot_E6R140,CGB_B6090C,-0,-0
usage_prot_E6R154,CGB_B6230W,810.618550052864,94.0458759330085
usage_prot_E6R176,CGB_B6450C,-0,1312.70622085405
usage_prot_E6R181,CGB_B6500C,-0,23851.8014221094
usage_prot_E6R183,CGB_B6520W,-0,-0
usage_prot_E6R185,CGB_B6540C,28.5667160078436,3.31416217579868
usage_prot_E6R191,CGB_B6600C,-0,-0
usage_prot_E6R1A2,CGB_B6710W,11699.9698030833,2173.81066307741
usage_prot_E6R1A6,CGB_B8010W,0.23112890643944,23851.8014221094
usage_prot_E6R1B1,CGB_B8060C,290.682386875028,33.7232442022764
usage_prot_E6R1C2,CGB_B8170W,10450.0374027018,9919.74052404094
usage_prot_E6R1F3,CGB_B9280W,1202.28704758571,139.486748744391
usage_prot_E6R1G0,CGB_B9350W,10062.5534526378,1167.4475482489
usage_prot_E6R1G7,CGB_B9420C,39551.3219599082,23851.8014221094
usage_prot_E6R1J3,CGB_B9680W,-0,0.11603804889437
usage_prot_E6R1L1,CGB_C5610W,-0,-0
usage_prot_E6R1M2,CGB_C5720W,123.172654337443,14.2891440458916
usage_prot_E6R1M3,CGB_C5730C,-0,-0
usage_prot_E6R1N5,CGB_C6070W,-0,-0
usage_prot_E6R1N6,CGB_C6080C,-0,-0
usage_prot_E6R1N7,CGB_C6090W,-0,-0
usage_prot_E6R1P3,CGB_C6150C,-0,-0
usage_prot_E6R1Q0,CGB_C6220W,-0,-0
usage_prot_E6R1Q1,CGB_C6230C,54.573158271397,6.47161860673305
usage_prot_E6R1Q6,CGB_C6280C,-0,13949.6921044123
usage_prot_E6R1Q8,CGB_C6300W,4450.92629532009,516.3572478641
usage_prot_E6R1R1,CGB_C6340W,0.935660370781036,166.509741569741
usage_prot_E6R1R2,CGB_C6350C,-0,-0
usage_prot_E6R1R8,CGB_C6410C,14.9678135502489,1.73649096940232
usage_prot_E6R1R9,CGB_C6420C,132631.117731036,-0
usage_prot_E6R1S3,CGB_C6460C,38.4824288359544,18.7182024549931
usage_prot_E6R1T0,CGB_C6530W,22.3123469646845,23851.8014221094
usage_prot_E6R1T5,CGB_C6580C,7106.10618724533,842.685497842902
usage_prot_E6R1T8,CGB_C6610C,-0,-0
usage_prot_E6R1U7,CGB_C6710C,0.733503091091709,0.0872285729866353
usage_prot_E6R1V0,CGB_C6740C,-0,-0
usage_prot_E6R1V6,CGB_C7010C,2.36621703460144,0.276989507856018
usage_prot_E6R1V9,CGB_C7040W,-0,-0
usage_prot_E6R1W1,CGB_C7060C,7929.66160871015,920.787725185979
usage_prot_E6R1W2,CGB_C7070W,-0,-0
usage_prot_E6R1W4,CGB_C7090W,16.7909633577199,1.94804431300192
usage_prot_E6R1W7,CGB_C7120C,-0,-0
usage_prot_E6R1W8,CGB_C7130W,-0,-0
usage_prot_E6R1W9,CGB_C7140C,-0,-0
usage_prot_E6R1X1,CGB_C7160W,-0,23851.8014221094
usage_prot_E6R1X7,CGB_C7220C,-0,-0
usage_prot_E6R1X9,CGB_C7240W,1.66006605874129,0.197415922482739
usage_prot_E6R1Y9,CGB_C7340C,-0,23851.8014221094
usage_prot_E6R1Z4,CGB_C7390W,-0,-0
usage_prot_E6R201,CGB_C7460C,-0,-0
usage_prot_E6R215,CGB_C7600W,20887.3366511016,23851.8014221094
usage_prot_E6R217,CGB_C7620C,-0,23851.8014221094
usage_prot_E6R230,CGB_C7750W,-0,-0
usage_prot_E6R235,CGB_C8050W,-0,-0
usage_prot_E6R241,CGB_C8110W,-0,-0
usage_prot_E6R246,CGB_C8160W,-0,-0
usage_prot_E6R252,CGB_C8220W,1501.46566875476,178.052974605368
usage_prot_E6R273,CGB_C8430W,-0,23851.8014221094
usage_prot_E6R282,CGB_C8520W,-0,23851.8014221094
usage_prot_E6R2A0,CGB_C8700W,1285.30858962512,152.419747218341
usage_prot_E6R2A7,CGB_C8770C,-0,23851.8014221094
usage_prot_E6R2B0,CGB_C9020C,-0,-0
usage_prot_E6R2C3,CGB_C9150C,-0,-0
usage_prot_E6R2C4,CGB_C9160W,-0,23851.8014221094
usage_prot_E6R2D2,CGB_C9240W,-0,-0
usage_prot_E6R2E0,CGB_C9320C,-0,-0
usage_prot_E6R2F3,CGB_C9450W,-0,-0
usage_prot_E6R2F8,CGB_C9500W,224.665996071334,26.6422667713892
usage_prot_E6R2F9,CGB_C9510W,-0,-0
usage_prot_E6R2H3,CGB_C9650W,-0,-0
usage_prot_E6R2J0,CGB_C0100W,5.13079337219049,0.590871952742283
usage_prot_E6R2J4,CGB_C0140C,-0,-0
usage_prot_E6R2J9,CGB_C0190C,-0,-0
usage_prot_E6R2K7,CGB_C0270C,-0,-0
usage_prot_E6R2M2,CGB_C0430W,-0,-0
usage_prot_E6R2M3,CGB_C0440C,-0,0.600956813659312
usage_prot_E6R2P1,CGB_C0620W,-0,-0
usage_prot_E6R2P7,CGB_C0680C,-0,-0
usage_prot_E6R2Q0,CGB_C1010W,-0,9590.35675763175
usage_prot_E6R2Q7,CGB_C1070C,52.7169277759913,6.04872941031586
usage_prot_E6R2R0,CGB_C1100C,-0,-0
usage_prot_E6R2R2,CGB_C1120C,444.563375290122,51.5770975574068
usage_prot_E6R2T3,CGB_C1330W,7.83147277455598,0.928703876556266
usage_prot_E6R2U4,CGB_C1440C,48.1197665642694,-0
usage_prot_E6R2V6,CGB_C1560W,-0,23851.8014221094
usage_prot_E6R2V8,CGB_C1580W,98.0540347924255,47.6943719652928
usage_prot_E6R2W4,CGB_C1640C,-0,-0
usage_prot_E6R2X1,CGB_C1710W,12393.5001418196,23851.8014221109
usage_prot_E6R2X8,CGB_C2080W,-0,-0
usage_prot_E6R2Y7,CGB_C2170W,-0,23851.8014221094
usage_prot_E6R2Z1,CGB_C2210W,-0,-0
usage_prot_E6R318,CGB_C2490C,-0,4949.33361219984
usage_prot_E6R320,CGB_C2510W,4273.2002473243,23851.8014221094
usage_prot_E6R330,CGB_C2610W,-0,-0
usage_prot_E6R337,CGB_C2680C,-0,-0
usage_prot_E6R341,CGB_C2720C,-0,-0
usage_prot_E6R343,CGB_C2740C,-0,22140.5533608475
usage_prot_E6R344,CGB_C2750W,-0,-0
usage_prot_E6R347,CGB_C2780W,-0,-0
usage_prot_E6R349,CGB_C3010C,-0,-0
usage_prot_E6R366,CGB_C3180W,-0,-0
usage_prot_E6R367,CGB_C3190W,-0,-0
usage_prot_E6R375,CGB_C3270C,26972.5210933086,23851.8014221094
usage_prot_E6R380,CGB_C3320W,-0,-0
usage_prot_E6R383,CGB_C3350W,-0,0.183722735579815
usage_prot_E6R3A1,CGB_C3530C,-0,-0
usage_prot_E6R3A5,CGB_C3570W,5444.5568079427,595.7919713923
usage_prot_E6R3A8,CGB_C3600W,-0,-0
usage_prot_E6R3B2,CGB_C3640C,-0,-0
usage_prot_E6R3B9,CGB_C4040W,-0,-0
usage_prot_E6R3C3,CGB_C4080C,-0,23050.8128853514
usage_prot_E6R3C4,CGB_C4090W,-0,22814.9967791225
usage_prot_E6R3D6,CGB_C4210C,-0,-0
usage_prot_E6R3E9,CGB_C4310W,-0,23851.8014221094
usage_prot_E6R3G0,CGB_C4420C,-0,-0
usage_prot_E6R3H0,CGB_C4530W,2983.29763856573,243.391599865071
usage_prot_E6R3H3,CGB_C4560C,-0,-0
usage_prot_E6R3K6,CGB_C5280C,-0,23851.8014221094
usage_prot_E6R3M1,CGB_C5430W,-0,-0
usage_prot_E6R3P4,CGB_D3430W,11812.1515049905,1370.36126397577
usage_prot_E6R3P8,CGB_D3470W,-0,190465.627799909
usage_prot_E6R3Q5,CGB_D3540C,693.505676358913,82.2401411908829
usage_prot_E6R3S3,CGB_D3720W,12451.053039779,1444.5390984114
usage_prot_E6R3S8,CGB_D3770C,-0,23851.8014221094
usage_prot_E6R3S9,CGB_D4010W,-0,-0
usage_prot_E6R3V8,CGB_D4300C,-0,-0
usage_prot_E6R402,CGB_D4750C,-0,-0
usage_prot_E6R403,CGB_D4760W,0.0225245947835901,-0
usage_prot_E6R404,CGB_D4770C,-0,23851.8014221094
usage_prot_E6R414,CGB_D4870W,14233.6879713043,914.758130118744
usage_prot_E6R417,CGB_D5020C,4146.44151475882,420.345591352579
usage_prot_E6R422,CGB_D5070W,-0,19968.5334565745
usage_prot_E6R423,CGB_D5080W,0.0193533509222652,0.00229503806569074
usage_prot_E6R432,CGB_D5170C,-0,23851.8254571935
usage_prot_E6R450,CGB_D5350C,-0,-0
