Gene_id,Protein_ID
gene_70,476063
gene_74,476068
gene_81,476109
gene_82,476110
gene_87,476133
gene_88,476135
gene_93,476150
gene_94,476152
gene_96,476173
gene_97,476174
gene_98,476177
gene_99,476178
gene_100,476180
gene_102,476186
gene_104,476192
gene_105,476193
gene_106,476197
gene_107,476198
gene_110,476211
gene_116,476223
gene_117,476226
gene_118,476230
gene_119,476232
gene_124,476250
gene_125,476251
gene_131,476263
gene_132,476265
gene_133,476267
gene_135,476270
gene_136,476271
gene_138,476277
gene_148,476298
gene_149,476299
gene_152,476318
gene_154,476323
gene_156,476329
gene_158,476341
gene_159,476343
gene_160,476346
gene_161,476350
gene_162,476354
gene_165,476362
gene_171,476386
gene_175,476404
gene_177,476410
gene_178,476413
gene_181,476429
gene_182,476430
gene_186,476438
gene_187,476441
gene_190,476462
gene_191,476463
gene_192,476465
gene_194,476471
gene_195,476474
gene_196,476477
gene_197,476482
gene_198,476484
gene_199,476489
gene_200,476494
gene_201,476497
gene_202,476502
gene_205,476510
gene_209,476518
gene_211,476520
gene_216,476547
gene_219,476554
gene_220,476556
gene_226,476578
gene_227,476587
gene_228,476593
gene_229,476595
gene_231,476606
gene_233,476614
gene_236,476618
gene_238,476626
gene_239,476633
gene_242,476677
gene_245,476707
gene_248,476714
gene_249,476716
gene_250,476718
gene_251,476721
gene_255,476726
gene_256,476730
gene_257,476733
gene_260,476764
gene_261,476769
gene_262,476772
gene_264,476777
gene_265,476779
gene_268,476801
gene_269,476803
gene_270,476807
gene_271,476813
gene_272,476816
gene_273,476819
gene_274,476820
gene_278,476825
gene_284,476840
gene_285,476845
gene_287,476851
gene_289,476854
gene_290,476855
gene_291,476857
gene_292,476858
gene_293,476861
gene_294,476866
gene_295,476873
gene_298,476877
gene_301,476886
gene_304,476895
gene_306,476904
gene_309,476908
gene_310,476913
gene_311,476915
gene_312,476916
gene_316,476928
gene_318,476932
gene_321,476939
gene_323,476944
gene_326,476951
gene_328,476956
gene_332,477048
gene_333,477051
gene_334,477052
gene_335,477054
gene_337,477058
gene_338,477061
gene_339,477066
gene_342,477069
gene_343,477076
gene_345,477081
gene_347,477086
gene_348,477090
gene_349,477092
gene_353,477105
gene_361,477165
gene_369,477205
gene_370,477210
gene_372,477222
gene_373,477224
gene_374,477230
gene_376,477236
gene_377,477246
gene_381,477259
gene_382,477261
gene_383,477266
gene_384,477268
gene_385,477275
gene_386,477278
gene_387,477280
gene_388,477284
gene_389,477286
gene_390,477291
gene_392,477302
gene_393,477305
gene_394,477309
gene_395,477313
gene_396,477317
gene_397,477328
gene_398,477331
gene_399,477332
gene_401,477337
gene_402,477341
gene_403,477343
gene_404,477349
gene_405,477350
gene_406,477353
gene_409,477356
gene_410,477357
gene_412,477360
gene_418,477370
gene_420,477382
gene_421,477385
gene_422,477400
gene_423,477402
gene_424,477404
gene_425,477407
gene_426,477409
gene_427,477411
gene_428,477415
gene_429,477418
gene_430,477421
gene_431,477422
gene_434,477433
gene_435,477437
gene_436,477442
gene_437,477443
gene_439,477447
gene_440,477448
gene_444,477462
gene_446,477465
gene_449,477474
gene_450,477478
gene_453,477487
gene_454,477493
gene_455,477500
gene_457,477505
gene_458,477510
gene_459,477511
gene_464,477523
gene_465,477530
gene_469,477542
gene_472,477546
gene_475,477582
gene_476,477584
gene_477,477587
gene_478,477590
gene_479,477594
gene_480,477598
gene_484,477602
gene_487,477606
gene_497,477622
gene_502,477640
gene_503,477645
gene_509,477669
gene_513,477672
gene_514,477673
gene_515,477675
gene_516,477679
gene_519,477690
gene_520,477698
gene_525,477706
gene_526,477708
gene_527,477710
gene_529,477714
gene_531,477736
gene_532,477741
gene_533,477744
gene_535,477750
gene_541,477759
gene_542,477764
gene_543,477765
gene_545,477770
gene_554,477807
gene_555,477812
gene_556,477816
gene_558,477819
gene_560,477826
gene_565,477832
gene_568,477837
gene_569,477840
gene_574,477852
gene_579,477864
gene_580,477867
gene_581,477868
gene_582,477872
gene_583,477875
gene_587,477887
gene_588,477900
gene_590,477925
gene_591,477928
gene_595,477947
gene_596,477949
gene_597,477956
gene_598,477957
gene_599,477960
gene_602,477978
gene_605,477989
gene_607,478002
gene_612,478013
gene_613,478016
gene_614,478019
gene_616,478026
gene_617,478030
gene_623,478074
gene_624,478080
gene_626,478082
gene_629,478099
gene_630,478100
gene_631,478103
gene_634,478108
gene_635,478110
gene_636,478114
gene_641,478129
gene_644,478135
gene_645,478138
gene_647,478140
gene_648,478146
gene_650,478152
gene_652,478154
gene_655,478162
gene_661,478171
gene_662,478173
gene_663,478178
gene_664,478181
gene_666,478186
gene_667,478188
gene_668,478191
gene_670,478199
gene_674,478214
gene_675,478221
gene_676,478227
gene_677,478228
gene_678,478234
gene_679,478236
gene_680,478239
gene_685,478253
gene_686,478255
gene_687,478258
gene_689,478267
gene_690,478270
gene_691,478272
gene_695,478279
gene_696,478285
gene_698,478290
gene_700,478298
gene_701,478299
gene_702,478300
gene_703,478304
gene_706,478310
gene_707,478314
gene_708,478317
gene_709,478318
gene_710,478320
gene_711,478324
gene_720,478343
gene_721,478347
gene_725,478358
gene_726,478367
gene_727,478373
gene_737,478391
gene_738,478396
gene_740,478403
gene_741,478412
gene_742,478417
gene_745,478425
gene_748,478430
gene_749,478435
gene_750,478436
gene_751,478443
gene_753,478448
gene_757,478450
gene_758,478454
gene_759,478457
gene_760,478459
gene_763,478467
gene_764,478469
gene_765,478472
gene_768,478477
gene_769,478478
gene_770,478482
gene_771,478486
gene_772,478488
gene_773,478495
gene_775,478504
gene_777,478509
gene_778,478511
gene_779,478514
gene_781,478534
gene_790,478566
gene_792,478579
gene_794,478587
gene_800,478607
gene_801,478608
gene_804,478625
gene_805,478630
gene_812,478682
gene_815,478687
gene_816,478691
gene_817,478695
gene_818,478696
gene_819,478698
gene_820,478702
gene_821,478706
gene_823,478710
gene_825,478716
gene_826,478721
gene_827,478723
gene_828,478724
gene_833,478732
gene_834,478736
gene_837,478740
gene_840,478749
gene_841,478753
gene_842,478761
gene_847,478770
gene_848,478772
gene_849,478774
gene_850,478777
gene_853,478781
gene_856,478794
gene_859,478810
gene_860,478811
gene_861,478814
gene_863,478818
gene_864,478821
gene_865,478830
gene_866,478832
gene_867,478834
gene_871,478855
gene_872,478858
gene_876,478863
gene_878,478876
gene_879,478877
gene_883,478883
gene_886,478891
gene_890,478902
gene_891,478903
gene_894,478907
gene_897,478917
gene_898,478925
gene_899,478927
gene_902,478931
gene_903,478935
gene_905,478941
gene_906,478945
gene_908,478955
gene_911,479000
gene_912,479003
gene_914,479008
gene_918,479018
gene_919,479023
gene_920,479025
gene_921,479026
gene_922,479028
gene_923,479030
gene_924,479035
gene_925,479038
gene_926,479042
gene_929,479046
gene_932,479058
gene_933,479065
gene_935,479069
gene_940,479074
gene_942,479083
gene_945,479089
gene_948,479094
gene_949,479098
gene_950,479103
gene_951,479121
gene_953,479126
gene_956,479140
gene_957,479144
gene_958,479146
gene_959,479151
gene_962,479157
gene_963,479158
gene_964,479161
gene_965,479165
gene_969,479180
gene_976,479202
gene_979,479218
gene_980,479222
gene_985,479232
gene_986,479235
gene_990,479250
gene_994,479255
gene_1002,479274
gene_1004,479276
gene_1006,479280
gene_1015,479329
gene_1016,479332
gene_1018,479338
gene_1019,479339
gene_1020,479341
gene_1029,479369
gene_1031,479379
gene_1034,479390
gene_1035,479396
gene_1036,479400
gene_1037,479405
gene_1039,479420
gene_1041,479429
gene_1042,479444
gene_1043,479447
gene_1044,479459
gene_1045,479468
gene_1046,479469
gene_1049,479472
gene_1060,479515
gene_1061,479521
gene_1062,479522
gene_1068,479560
gene_1071,479579
gene_1079,479619
gene_1080,479623
gene_1081,479627
gene_1082,479630
gene_1083,479635
gene_1084,479636
gene_1086,479642
gene_1090,479653
gene_1093,479661
