Protein_ID
E6QZM9
E6R9R0
E6R2U4
E6R9G4
E6R3A5
E6R707
E6R9X8
E6R414
E6QXK2
E6R7M0
E6R3H0
E6R4V9
E6RBP4
E6R1G0
E6R8M0
E6RC94
E6R1M2
E6R909
E6RBA6
E6RA46
E6R3P4
E6RBN1
E6REM3
E6R6N6
E6R0Z8
E6REB5
E6RBZ6
E6REU2
E6R154
E6RBP7
E6R3S3
E6R2R2
E6R1W4
E6QZM5
E6R1B1
E6QYA2
E6R526
E6QYR3
E6RAF0
E6R7X2
E6R7H0
E6R1R8
E6R9T2
E6R874
E6R4C9
E6QY75
E6RA28
E6RG68
E6R1F3
E6R844
E6R5P6
E6RB68
E6QZE1
E6R1Q8
E6R5J5
E6R903
E6R847
E6RET1
E6RG49
E6R0E6
E6RC71
E6R5C0
E6QYW8
E6R8L9
E6RD41
E6RBD2
E6R185
E6R4J8
E6RF84
E6RAB5
E6RET0
E6R988
E6R8G9
E6R1W1
E6RDE6
E6QYL4
E6R023
E6RBS8
E6REI3
E6R2Q7
E6R2J0
E6QZU1
E6REJ7
E6QXY6
E6R880
E6R2T3
E6R621
E6R622
E6RBN9
E6R1Q1
E6RCY7
E6R636
E6R3Q5
E6R000
E6QZL8
E6R7T9
E6R1T5
E6QXX4
E6RFU3
E6R252
E6RBP8
E6QXM3
E6RB94
E6R417
E6QY98
E6R833
E6R7I5
E6REY2
E6R2A0
E6R9E0
E6R5P9
E6RDF8
E6QZS1
E6QXP4
E6RFM1
E6R2F8
E6R6F3
E6R9G1
E6R4U3
E6R594
E6R1V6
E6QY36
E6QZK4
E6R423
E6R525
E6QYU8
E6R1X9
E6RF81
E6R1U7
E6R9X6
E6R8M9
E6R5U8
E6RBY7
E6RBI4
E6R6H4
E6R871
E6R8N5
E6QZ72
E6R4I2
E6RFP0
E6QYM7
E6RD54
E6QZC0
E6R1A2
E6R126
E6R0U3
E6R7T3
