Protein_ID,log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
492040,-1.87297317485218,-1.18486577761685,6.67118477565412E-129,7.51117841728065E-35,gene_4732
464948,-2.70396467837078,-1.4267289971198,2.33290408854423E-237,1.95131997363097E-30,gene_4804
492304,-1.58140135523761,-1.00096182166548,5.7061760250234E-89,3.49098669914793E-22,gene_4819
492420,-1.32615932565906,-1.01723136150129,1.47531762685647E-66,8.89955815375731E-15,gene_4846
492589,-1.51910994843985,-1.33470826883062,7.02275484680528E-143,2.34761970683383E-88,gene_4891
492599,-1.40635746381759,-1.42390566571492,1.05545252095054E-57,1.24409798166451E-28,gene_4894
492621,-4.0537100171311,-2.361355076234,7.72964338628764E-152,4.50424003087272E-241,gene_4900
315141,-2.13353709114425,-2.47210887892884,5.99224449474261E-125,6.46470147951424E-59,gene_4901
537287,-1.08532866424533,-1.00510506973195,6.25130442267879E-59,8.54458203541989E-51,gene_496
493108,-1.55770301765524,-1.31437622524313,1.64960581769759E-74,2.00880439678309E-16,gene_5039
454668,-1.02295507549912,-1.21063519867064,3.99227183982993E-23,8.60691612189188E-33,gene_5080
327298,-1.62823277297526,-1.07564447602874,1.22482163643617E-152,5.11804824125966E-51,gene_5120
493388,-1.16524084517933,-1.44116146015526,8.16715155771383E-80,4.95736576528443E-90,gene_5129
25640,-2.02884636533984,-1.02466676343461,1.90948045919313E-62,2.92872742813883E-08,gene_517
493510,-1.50875418819674,-1.5138143119453,1.10873823715415E-191,2.57184741323897E-139,gene_5170
493530,-1.43820047767424,-1.12155362611414,6.44907913678695E-60,2.32049265654742E-24,gene_5176
493623,-2.2612974691045,-1.88885316061629,1.71384689202395E-132,1.50006046125385E-24,gene_5202
465716,-1.39958130711483,-1.09118274192971,3.18865076407062E-50,1.10925031489702E-14,gene_5261
465731,-1.95382134581119,-1.65241746575664,1.41203582691976E-103,2.12672809067541E-32,gene_5270
454988,-1.79360515679194,-1.55090326853359,6.11987715045262E-95,7.98432822600387E-52,gene_5276
336144,-1.2329739051786,-1.83111731324236,7.28346222561678E-66,3.32368192118076E-55,gene_5292
493994,-1.55339022869661,-1.59584065266568,5.39954011894714E-51,2.03281004760734E-18,gene_5301
541350,-1.25835248737426,-1.38571111737487,1.78043218856605E-22,9.93528173230785E-15,gene_5323
494295,-1.44216252672198,-1.30693669166786,1.2174605127319E-66,5.42219758842471E-20,gene_5375
511786,-1.29080746833992,-1.30032586023619,2.1393821082114E-112,4.55168398516671E-97,gene_5382
434519,-1.7476893797965,-1.33080245547905,6.85772029314212E-24,1.46188106540406E-56,gene_540
343415,-1.70947534482761,-1.74543297194784,8.96189388005392E-81,3.39554705368151E-23,gene_5420
494568,-1.78818096816705,-1.17297449100858,4.19384488385069E-155,2.52313039987053E-40,gene_5453
440118,-1.15099044703904,-1.13471931361862,8.80122221114603E-76,4.21666755652053E-45,gene_5475
494802,-1.49858638170464,-1.18640605203203,1.45562658694153E-33,7.39946220186905E-08,gene_5511
541550,-2.0687457445592,-1.1641082294655,1.49564103114206E-189,1.26555027946992E-50,gene_5561
495007,-2.24885845481967,-1.51015081845663,5.59084247177343E-268,1.54365368741646E-79,gene_5562
541693,-1.26041290557628,-1.13571251980816,1.0857013268649E-35,1.64405904709802E-29,gene_5720
541713,-1.21766827279016,-1.12406244145265,1.13456244388124E-60,4.29593125092649E-36,gene_5742
455874,-1.83659028879714,-1.38148408279516,2.06174086486333E-229,2.34521763964644E-67,gene_5747
495693,-1.3856942087961,-1.32657931941737,3.29458471183407E-81,2.65010528691255E-25,gene_5748
466746,-2.46295556350384,-2.07405672650031,9.66030904743531E-238,6.35581458005E-110,gene_5820
512225,-1.40789056067716,-1.48848267300439,2.07615192072078E-36,1.56845638379326E-25,gene_5856
368159,-1.25661290621785,-1.25629196129107,3.51309861142875E-37,5.80651463633471E-09,gene_5879
496105,-1.80348529352401,-1.03092445338653,1.05237558156836E-140,0.001278349203987,gene_5881
541856,-2.06597959970219,-1.83068292261465,2.89332042429129E-134,2.45383866750879E-35,gene_5903
496176,-2.03184034694649,-1.4219701343945,2.63011952468488E-87,4.61108878432068E-08,gene_5911
370674,-1.04381080610746,-1.05109789125089,5.66351321038742E-46,3.07094267629485E-31,gene_5963
496386,-2.21024229464256,-2.16653684724867,2.9850105286583E-17,8.8419674134969E-11,gene_5984
496495,-1.69355506318703,-1.17096816216357,3.16838899286554E-110,4.25057811722964E-23,gene_6008
512371,-1.65057791736619,-1.49008303685532,5.26310078389791E-98,4.57946171058163E-58,gene_6023
467115,-2.1687319185447,-1.609457297926,1.31769011471667E-181,4.93278251378838E-30,gene_6062
542018,-1.38949115293499,-1.33623147966675,5.59326796924742E-44,3.81141947825914E-10,gene_6098
431286,-1.57598436831421,-1.11955738464282,4.02864382114882E-115,5.7540360275677E-55,gene_6103
497105,-1.4374600463783,-1.29319021914906,3.14725043369842E-184,1.71717675366297E-77,gene_6196
442283,-1.95199902470852,-1.13095980812615,2.74359392832499E-157,2.10013108448727E-16,gene_6227
456667,-1.26100687806688,-1.4777007648682,1.44229787606132E-36,8.05969145386227E-24,gene_6266
497663,-1.29438743050814,-1.6539176648042,3.63656798560541E-50,7.13797211027615E-37,gene_6355
456822,-1.97383843553719,-1.08252349211662,1.29814951958927E-127,3.64328198677468E-23,gene_6366
542305,-1.95954637609304,-1.18986251899973,5.46104358748482E-189,1.39796809018469E-25,gene_6439
442885,-3.36265977066185,-2.8783715974089,0,2.31653254961252E-224,gene_6467
64504,-1.46886108763462,-1.16322854891895,9.95226580142172E-97,1.32106077076074E-38,gene_6468
459786,-1.8857512320972,-2.10449160369768,3.90620930972811E-71,2.492904321714E-51,gene_649
67269,-2.45833807551653,-1.67000025083577,0,1.44689335489469E-52,gene_6503
498311,-1.68153692971632,-1.34782406450729,8.27637084221666E-99,4.30243466153365E-21,gene_6523
459801,-1.97489937981907,-1.40267699846289,5.38506934594468E-102,4.80455581815158E-24,gene_657
537425,-1.96942261768441,-1.11111861561995,1.68953850290611E-227,6.52377939707714E-71,gene_658
467906,-1.73033129661727,-1.31508653766075,4.20242912426144E-83,4.1435337397146E-30,gene_6611
512912,-1.99032200066187,-1.43378826782704,2.70377071455275E-125,9.13396399157827E-33,gene_6621
498910,-1.35916268965615,-1.11135123682337,2.22300939069099E-97,3.30198045202195E-67,gene_6683
499010,-1.50260312330706,-1.08964348197377,1.43384819425744E-43,1.28098482170786E-13,gene_6715
499239,-1.7310389747293,-1.29894586369254,5.41234538420809E-82,1.30881562436834E-22,gene_6796
84496,-1.77927656765227,-1.52046343039914,2.06330528669177E-81,3.14976761556236E-43,gene_6832
442735,-1.65358337095252,-1.31025480015096,3.23676414762996E-101,1.38600898206832E-22,gene_6837
442574,-1.29323596296568,-1.07869242269352,4.31674460385112E-80,1.09804374045169E-50,gene_6843
90357,-1.69810542354941,-1.50981791905497,1.58485193057301E-90,1.79325682740639E-28,gene_6954
478299,-1.64167220922182,-1.44644487127539,1.36317776569863E-92,1.87231519249733E-47,gene_701
457691,-2.09333649777328,-1.18298281325465,1.03561907827626E-268,3.39079732237041E-98,gene_7030
93554,-1.74583580294321,-1.05038937475738,7.87520216752305E-158,4.70518420541626E-28,gene_7034
443242,-1.34225725451559,-1.63282385293626,2.59010286681712E-56,4.11256328232596E-60,gene_7120
518666,-1.52740985624803,-1.27426752652227,4.11336698582939E-163,2.08084850394681E-80,gene_7159
98680,-1.35205553290866,-1.17493375674665,2.58183201698809E-47,2.37250199037697E-22,gene_7171
500591,-2.05775305912913,-1.68891827181867,1.84379795648746E-108,4.21666755652053E-45,gene_7216
500652,-1.25179182331415,-1.04763887038792,1.60524013980687E-58,1.74890306793706E-38,gene_7233
106947,-1.07261515477426,-2.63734564767702,1.52287986872632E-31,6.8693127119694E-251,gene_7345
536675,-1.42947383044661,-1.21024740497892,4.44409567152301E-63,4.68070907419664E-19,gene_7346
443879,-2.59003442698549,-1.81264625406692,2.32988448086594E-41,2.99527570101055E-48,gene_7377
459901,-2.43660425564588,-2.01845097481355,1.59669728149066E-203,1.46184974085984E-41,gene_739
548660,-1.26493224554739,-1.48071121445003,1.56743320417097E-27,2.5850815795232E-42,gene_7430
501365,-1.61765643230461,-1.31832167698626,1.33570368684068E-266,1.14917204908506E-164,gene_7444
543113,-1.13530130792582,-1.18349543023823,9.88574523915794E-17,7.51476018333903E-10,gene_7455
458477,-1.38734558729969,-1.04465806462632,8.09752823889184E-25,5.33362223815614E-10,gene_7508
548724,-1.2312475787101,-1.52858201668308,1.64296362069655E-31,4.58226018668181E-26,gene_7514
501697,-1.80121499864029,-1.17407058880715,2.02070042965337E-106,5.6860507108054E-26,gene_7540
548774,-1.10671613184731,-1.50456669370234,3.0357603931408E-24,2.24666455647765E-43,gene_7590
2738,-1.23036077014933,-2.15096685171638,1.70163166531212E-37,1.74167460845076E-295,gene_76
444228,-1.18250892872528,-1.39674019923564,5.52821375043901E-121,9.69889123559592E-97,gene_7662
478511,-2.47014718412821,-2.26161994078711,0,0,gene_778
459963,-1.65195964789524,-1.05853445955181,9.05542219364096E-127,6.58289789379723E-26,gene_784
478687,-1.34553686973405,-1.00075593855928,3.73671853766694E-77,4.66951008734447E-34,gene_815
476133,-1.46766341401904,-1.3044477971354,3.13023351917313E-51,1.09606541409871E-14,gene_87
534078,-2.09070703140195,-1.70812616038321,7.15044802225712E-151,7.90658610753897E-44,gene_904
507780,-1.07728051720044,-1.08482086169847,1.05119525918382E-19,1.3509796549553E-16,gene_907
