proteinId,kogid
513201,KOG0028
513201,KOG0028
220860,KOG0254
497892,KOG0254
198172,KOG2531
106166,KOG2533
490577,KOG2626
490577,KOG2626
515251,KOG2965
482329,KOG3056
506965,KOG3186
539094,KOG3186
491066,KOG4686
