Protein_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_id
433782.0,325.039558846448,0.964154655117584,0.131435900207014,7.33555028419954,2.20812314053121e-13,6.64962243097756e-13,gene_1
232.0,410.673935446319,0.492493238209446,0.121466692571744,4.05455378575125,5.02300925142626e-05,8.78726279621022e-05,gene_10
476180.0,1629.05998593454,0.333694045262278,0.073634410411547,4.53176773463987,5.84921424890916e-06,1.11545125725866e-05,gene_100
48939.0,2933.44277353393,-0.722295757401067,0.064922879156334,-11.1254424755529,9.43366324113566e-29,5.20988297956343e-28,gene_1000
460167.0,3539.03270338641,0.224052971320162,0.05485414201078,4.08452239169347,4.41675674474267e-05,7.77627966050842e-05,gene_1001
479274.0,1967.57247563626,0.445694466039757,0.077852765951986,5.72483791153453,1.03532540931103e-08,2.37558284053485e-08,gene_1002
537712.0,2048.23632985948,-0.373188827239794,0.089082506767103,-4.18924927893482,2.79878818842354e-05,5.01344833861011e-05,gene_1003
479276.0,1153.2232549709,-1.0345114302767,0.092742020191387,-11.1547217554872,6.7904917838127e-29,3.76912372789536e-28,gene_1004
49104.0,4934.15703456095,-0.259745333026717,0.052083430300072,-4.98710110932075,6.12919928112955e-07,1.24956701355453e-06,gene_1005
479280.0,1940.47814361059,0.164594061528655,0.081458300749873,2.02059286792712,0.043321927845692,0.055886390556181,gene_1006
49129.0,6494.51002512685,-0.805973897489213,0.060202557430808,-13.3877019828524,7.13544847314469e-41,5.53922845503673e-40,gene_1007
470396.0,221.5864645939,0.016463359326878,0.151321685342892,0.108797092033258,0.913363430349458,0.925168712415831,gene_1008
507875.0,223.160192410928,-0.615151172016116,0.16125530388147,-3.81476551288062,0.000136312306504,0.000229323770436,gene_1009
3913.0,37.2127585940806,0.620128388529296,0.36134300578466,1.71617653753303,0.086129736107769,0.106277798087618,gene_101
49226.0,79.7247856310292,0.233685031358711,0.267068282110284,0.875001065316369,0.381573326056006,0.423805838607505,gene_1011
537719.0,35.238444028409,0.411797458076408,0.362287044720428,1.13666073373998,0.255680140212369,0.292618630566416,gene_1012
537720.0,3800.56735665871,-0.410137962628373,0.092477676824296,-4.43499422468862,9.20747571998943e-06,1.72440434323444e-05,gene_1013
449372.0,1253.22286972375,-0.95344850443421,0.091424347437126,-10.4288248279804,1.83139240567075e-25,9.10578263333122e-25,gene_1014
479329.0,8912.46178590022,0.263503472600687,0.05547566586106,4.74989292171163,2.03524386116423e-06,4.01619014929379e-06,gene_1015
479332.0,376.208215319649,-0.364117753299475,0.135418627422068,-2.68883063010679,0.007170278926681,0.010163911562313,gene_1016
537724.0,1123.39399690909,-0.312260821447445,0.083981481395868,-3.71821044660459,0.000200639095032,0.000331861096129,gene_1017
479338.0,1373.52754209868,-1.74846456666773,0.091048224972796,-19.2037194266022,3.44515502243503e-82,6.35278865901674e-81,gene_1018
479339.0,4576.39076587713,0.252797095375343,0.0548474536549,4.6090944707468,4.04426548127982e-06,7.79601747094146e-06,gene_1019
476186.0,32.8971725433551,0.947093089816158,0.410656754546829,2.30628883935271,0.021094498344766,0.028305153404728,gene_102
479341.0,76.4622788707658,0.314219351672879,0.288930183669011,1.08752691630459,0.276804009754409,0.314932733531503,gene_1020
49528.0,8408.17466699539,-0.810466867649499,0.079775347883913,-10.159364880851,3.01030982486877e-24,1.42464914285486e-23,gene_1021
49556.0,2548.86034170416,-0.559008141294391,0.08903737517748,-6.27835378322988,3.42176607837115e-10,8.55831538522693e-10,gene_1022
49699.0,933.605630243615,0.965660227294786,0.091632760919746,10.5383731495391,5.74846827835596e-26,2.91317680341935e-25,gene_1023
49678.0,1374.0078750743,0.310347071116598,0.084813403664721,3.65917482033198,0.000253028690917,0.000413629965807,gene_1024
537731.0,2933.31983901297,-0.059796945483011,0.057531799812484,-1.0393720634138,0.298631731499357,0.337576761973162,gene_1025
479369.0,2824.36903558711,-0.048406565434101,0.072523914098895,-0.667456604287706,0.50448052001861,0.545588181909398,gene_1029
537733.0,2068.20803299206,-0.051144795562023,0.062664241984782,-0.816171933819022,0.414401806602271,0.457258983047729,gene_1030
479379.0,2832.29407258636,-0.52607071856075,0.06327749886706,-8.31370910639149,9.27563567601886e-17,3.28995202883794e-16,gene_1031
434715.0,1647.99468163672,-0.694181846719008,0.078054238538711,-8.89358297147088,5.91694453306075e-19,2.28721349742448e-18,gene_1032
50114.0,1822.10294273824,-0.358864655465189,0.080855229910286,-4.43836046058335,9.0646721170069e-06,1.70104722195714e-05,gene_1033
479390.0,1211.44181563926,0.02564719313752,0.081601942977518,0.314296353759444,0.753295967299091,0.781798416006608,gene_1034
479396.0,11555.6015568602,-0.551570825727384,0.053290450412933,-10.3502751703807,4.17284738038596e-25,2.03782301966475e-24,gene_1035
479400.0,3131.95194353599,-0.477176194973292,0.063396177593317,-7.52689220530542,5.19622328286051e-14,1.61048671709373e-13,gene_1036
479405.0,1264.09441706707,0.484790248213484,0.079420267146531,6.10411253489036,1.03373435677473e-09,2.50370613342459e-09,gene_1037
470424.0,1118.89511356467,0.331422503508128,0.087018454796074,3.80864615770082,0.00013972974426,0.000234833011606,gene_1038
479420.0,3960.18493040118,0.153131805714574,0.05505344178971,2.78151194069754,0.005410634022476,0.007759957248358,gene_1039
476192.0,2167.53312010234,0.126500793895116,0.067206046782806,1.88228291873702,0.059797612462589,0.075628757510321,gene_104
479429.0,979.23495744816,0.618164426405283,0.08612381194004,7.17762500846632,7.09327922999467e-13,2.07903193103539e-12,gene_1041
