log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
2.27105193616093,1.67888981133484,2.51636604087502e-158,4.11674898786012e-98,gene_1124
1.2367363667165,1.00637842424731,5.67960559458027e-18,9.57442764891443e-15,gene_1298
2.47943335527243,1.85611214113916,0.0,0.0,gene_1455
3.02637792476662,2.81601870173532,0.0,0.0,gene_1456
2.0949686291958,1.92530626073039,4.0603536760112e-81,6.71490909554874e-59,gene_147
1.19593597200949,1.7113050579109,1.6000616403355e-24,1.62795254517516e-39,gene_148
1.59027335560719,1.0299667674138,1.61817894386511e-41,4.26385606074599e-18,gene_1520
4.67793880562301,3.5211515658405,0.0,0.0,gene_1546
1.52981234277149,1.59716744588817,1.82227946979326e-31,1.03103937344799e-18,gene_173
6.51359174005267,6.62133317161374,0.0,0.0,gene_1738
1.16949418304858,1.51026796058061,1.94346034512432e-38,2.2310782885921e-66,gene_1755
1.39908376330328,1.17394645201155,8.80859342906612e-72,7.52927151656174e-54,gene_1942
1.56325452653342,2.4858270938007,1.04357728303347e-14,8.34392787458489e-26,gene_1943
1.15777269135634,1.52631285785491,2.38722843864437e-76,1.95428117917017e-122,gene_2119
1.10180741508708,2.215211435587,1.70154365928896e-22,8.96907632020986e-63,gene_2197
1.75484301580487,1.04436462304706,2.2278258693948e-24,3.14966236665982e-10,gene_2209
1.29751255569692,1.43633705017516,3.9710751472267e-13,1.89755466617543e-12,gene_2214
1.32650130304827,1.38507598364551,6.52961316814817e-53,5.27411307725467e-65,gene_2238
1.59171823682355,1.26398375232389,7.65538962667614e-64,5.3463523128906e-34,gene_2356
1.87575173978657,1.63428655987806,4.4534467377732e-31,1.96979908711167e-08,gene_2440
1.8675432973327,1.80902528825939,1.2713531910888e-174,2.97719955590585e-236,gene_2449
1.40113177114465,1.70944998804877,3.77451938003238e-109,2.14166499274968e-153,gene_2452
1.17520126225109,1.09245401592102,8.99840277268911e-76,2.82270474629712e-62,gene_2505
1.1611912057812,1.95795327243005,3.76280718937523e-34,6.68729664048007e-40,gene_2531
1.87814786962108,1.86424193552197,1.57001172803115e-31,2.25498292861877e-23,gene_2626
1.36223496624655,1.79635085180932,1.78425750544043e-143,5.19982103698287e-214,gene_2652
1.27548369285044,1.32482637552986,9.1353910036627e-38,5.50985208057539e-27,gene_2695
1.08274729312461,1.68081368865719,8.27723674149347e-23,2.83718856430954e-46,gene_282
2.01838722581121,2.14781540852893,1.39904962871336e-154,2.36721700092541e-177,gene_2854
1.44057326763497,1.76343882898286,1.86712158111588e-20,2.97251581739746e-19,gene_2878
1.86294694776196,1.71836703838962,5.87452764538917e-287,0.0,gene_2885
1.59812540048332,1.60708359623173,3.00435170459298e-84,3.50838590662271e-149,gene_2940
1.57264647790754,1.68962030102929,1.67839207334089e-15,2.46406668229054e-14,gene_2941
1.65970026516594,1.12222565462501,4.81495270969344e-35,2.09373637039674e-16,gene_2943
1.26716927490699,2.73820708573781,1.48264249857775e-115,0.0,gene_2981
2.00088013365903,2.50755778259529,1.862322756351e-88,7.46528120919683e-145,gene_3015
3.37904860121331,4.41500390116143,0.0,0.0,gene_3016
1.53135332884673,1.2368389898061,1.14545266690739e-43,1.37490258995162e-37,gene_3115
1.02934481496395,1.02193953433685,4.55737777448721e-41,1.58090726239771e-39,gene_3205
3.23493467913323,5.25476351838037,1.44743771336051e-289,4.65391742040778e-50,gene_323
1.02542807622331,1.58314395562915,3.54505114207121e-08,1.44697187332911e-11,gene_3449
1.54507945153321,2.67804144338914,2.92674158871158e-180,0.0,gene_3542
2.73887006175446,4.55869374272864,0.0,0.0,gene_3597
1.14002924677529,1.38068569657596,5.31478791028817e-20,1.89167353602146e-34,gene_3689
1.85711999738995,1.00214337270622,1.25043615827864e-73,6.57748139302368e-24,gene_3701
1.11123700579111,1.1499338895938,1.50032408573372e-10,6.99631227880041e-05,gene_3706
1.02324929443883,1.33359680541184,6.95782240637604e-18,1.1075635740905e-22,gene_3710
1.30856039990246,1.1416592374497,6.62642152388383e-63,2.36729404875449e-66,gene_3724
1.15361350927336,1.27956320494566,3.32713440420308e-15,1.28079031303565e-15,gene_3729
2.90367591059602,4.45514815435296,0.0,0.0,gene_3876
1.10753343742117,1.75424338826935,1.91369377438228e-63,1.86456664241787e-243,gene_3886
1.81656963651036,1.97590727864536,6.38058402592475e-94,1.78534703838664e-119,gene_3937
2.00514886588826,2.36963520960889,1.67533867994911e-254,0.0,gene_4040
1.23610511953011,1.77881938653619,2.92744547732198e-05,4.99719203256234e-21,gene_4056
1.51521107439147,1.88150884629571,6.99612205355097e-09,7.57752261260858e-11,gene_4097
1.49173012536571,1.55610270071228,3.71796254570022e-42,3.98506867738051e-23,gene_4150
1.22679796467807,1.49543506049546,1.47949970125433e-88,8.38940341481058e-190,gene_4157
1.03607763274776,1.88572665659879,0.000180539639837,9.75046989228492e-08,gene_4228
1.8062794561836,1.20892177158444,2.12367029095187e-115,3.48112098081502e-62,gene_4322
5.20038905940932,4.86745860290907,0.0,0.0,gene_433
1.57510224576692,1.92894395727327,2.71322494605215e-98,1.0485745328646e-89,gene_434
1.06279498546716,1.00408514206161,2.95494498155115e-55,5.55305791503003e-53,gene_4344
2.39967344732247,2.41601606631971,2.31715654832162e-76,3.10310088098698e-133,gene_4408
1.03443406739783,1.10514904154148,2.50996863216714e-49,4.38604021455754e-44,gene_4470
1.57378809698664,1.90107005873707,2.13784234771667e-36,6.57276309789984e-59,gene_457
1.19803930092661,1.23399397492102,8.95924997441872e-45,3.21161030949616e-64,gene_4783
1.31000273059422,1.44550709506864,1.26413285586957e-31,1.24974797185355e-17,gene_4788
2.35805541306933,2.7549725641447,8.67863894871951e-137,1.9720477546495e-159,gene_4814
1.32552074714304,1.17375395061045,1.02478485755452e-52,1.27630179303318e-60,gene_4853
1.43667417351558,1.74675390726828,9.6463327125015e-63,1.88688872442656e-58,gene_4979
1.357929118533,1.13159552935146,2.70124574457431e-129,7.71156922432346e-83,gene_4999
1.10159931273319,1.40003963086907,1.77063022030175e-12,4.45505290782684e-10,gene_5003
1.31350780771613,1.4833402432651,5.34067884426626e-33,1.19058654132375e-51,gene_5092
1.65907107682159,2.03642528592768,7.03261796788564e-77,8.28164913960317e-199,gene_519
1.80447000240017,3.17017302745039,8.12841953449962e-64,9.26809002473342e-47,gene_520
2.9144599644089,2.93060393798498,2.16616433426834e-241,4.08966502576115e-149,gene_521
1.29412349099949,1.48128670265111,3.59432905562568e-31,1.69386647776508e-28,gene_5326
1.08623851333836,1.44779060366953,9.78686723699964e-37,1.7994717564755e-32,gene_542
1.2144520504444,1.23780036414456,1.29075139529088e-30,7.8900035736585e-28,gene_5548
1.51161561148649,1.2857590899619,3.43466077886173e-152,1.87719706228785e-144,gene_5661
1.95481607017979,2.10990834040306,2.01983779878098e-80,3.51324294868156e-60,gene_5852
1.93990733419352,2.2967433132679,2.54198407711366e-191,1.21544505132496e-270,gene_5973
1.98631229159881,2.640225664062,4.54620092114088e-147,1.80946078636619e-202,gene_5991
1.12157311807021,1.88939155608267,2.09344176962816e-15,4.22201187020599e-26,gene_6020
1.53769568873599,1.06486657438954,1.37803447208837e-75,1.06818494593965e-36,gene_613
1.22240374752397,1.41059569832617,9.62984188065536e-23,2.34907969487567e-33,gene_614
3.29618907492544,5.70170182975825,0.0,0.0,gene_6158
1.64332580853652,2.02464397291886,3.88945634605735e-12,9.08514313058775e-15,gene_616
1.19785162920036,1.03700059456276,1.57358841652893e-100,2.119324304868e-106,gene_6195
8.60385531809477,8.74936401441676,0.0,5.34062492735932e-100,gene_6230
1.77471444840278,1.87309759336096,4.10958778132762e-117,9.52482949741058e-109,gene_6232
3.26193920479776,3.62449194498223,0.0,5.82446072337191e-188,gene_64
1.75190785004096,3.55508388074764,4.01720422018231e-91,3.64217303314063e-289,gene_6414
1.93150748073693,2.88332890038768,1.41236298509019e-103,1.68734268573571e-117,gene_6517
1.14151176331908,1.45368219134136,6.69586291922084e-91,1.01649993701065e-222,gene_6532
1.17267820342371,1.22408652330436,1.11579258702445e-102,8.05782350700897e-123,gene_6569
1.44802605227319,1.55932890074768,3.03499003051923e-121,1.82059059297926e-189,gene_6620
1.2549503911651,1.6925821156968,1.30228846302896e-23,8.01943677211896e-34,gene_6646
1.03471200795372,1.06303660072402,5.10166633781479e-11,3.32995425178596e-09,gene_69
1.39460194539303,3.42374735049617,1.23191507237827e-70,2.45174401351532e-244,gene_6907
1.57807938912324,1.73293298896672,1.42480608986884e-32,2.79685104386936e-23,gene_6912
1.45140086354087,1.03234880238492,5.37748201666709e-22,4.34232887329322e-15,gene_6931
1.36540472769791,1.34702118626401,1.3953458262169e-123,1.4080329213598e-154,gene_6980
1.01150791999757,1.20035895470784,2.55333220340256e-10,1.1931068702748e-05,gene_7071
1.26247323736384,1.02745955747174,1.57004419885568e-67,4.50683953784639e-66,gene_7213
1.32042336754797,1.77019556368735,1.53248614443358e-14,1.32265758881161e-27,gene_7232
1.6964904470368,1.29217002720964,9.71900524618737e-223,7.72308304738759e-78,gene_724
1.21141730196492,2.72127686587167,1.80237056315749e-77,0.0,gene_726
3.58641227345685,2.97996289811634,0.0,0.0,gene_7306
1.59745718859099,1.23593058234863,5.50739707710792e-59,8.96604219320411e-31,gene_7309
1.17406488995665,1.80273735225344,1.34302067795261e-27,1.76961770139986e-118,gene_7324
1.91724752213374,1.94220996749952,1.97146192251239e-21,1.37730170426638e-07,gene_7489
1.92010327562321,2.03987381407796,2.82852531998129e-68,5.93643952569979e-56,gene_7614
2.23804847467483,3.19696713255983,1.24912583620819e-97,2.57905102315388e-154,gene_7619
2.78935431806307,3.18944327617142,3.72868591166189e-256,1.1018864478587e-130,gene_7641
1.37173117947155,1.18260148376404,1.06592875216282e-65,3.41809228199645e-45,gene_7660
1.08583044412962,1.35058854723754,3.35432776519521e-94,3.79144942680432e-139,gene_818
1.18301117798269,1.75376560454207,4.7461560817938e-84,3.28919592585147e-165,gene_922
