Gene,ATSwo1,ATSwo2,ATSwo3,ATSAc1,ATSAc2,ATSAc3
gene_1174,1059,1023,1198,877,1039,1066
gene_1175,1098,1464,1277,1058,1171,1062
gene_1176,1102,1258,1178,1383,1564,1319
gene_1177,156,117,151,408,494,464
gene_1178,1627,1843,1726,1491,1598,1357
gene_1179,5762,4243,5178,6152,5021,4668
gene_118,1626,1901,1627,1406,1776,1564
gene_1180,2069,2605,2333,2100,2256,1871
gene_1181,3144,3508,3454,2311,2669,2367
gene_1182,1000,1124,1158,1312,1286,1248
gene_1183,1430,1614,1401,1553,1479,1288
gene_1186,5941,6935,6295,3624,4146,3972
gene_1187,34,35,27,24,25,22
gene_1188,6783,8186,7776,5357,5883,5075
gene_1189,1901,2416,2167,1130,1213,1181
gene_119,1534,1852,1898,1716,1962,1904
gene_1190,1030,1283,1128,917,1105,966
gene_1191,1337,1535,1303,761,858,907
gene_1192,804,950,996,724,910,670
gene_1193,38,46,22,62,88,37
gene_1195,1138,1330,1266,761,930,870
gene_1197,2799,3062,2769,2880,3532,3029
gene_1198,565,638,579,340,367,264
gene_1199,1005,1148,1020,1168,1317,1270
gene_120,844,1093,983,803,823,713
gene_1200,6440,6893,6955,4473,5002,4265
gene_1201,753,730,835,708,833,806
gene_1202,2794,2918,2695,3255,3797,3317
gene_1203,1792,2238,1942,2079,2494,2294
gene_1205,2385,2986,2492,1840,2176,1790
gene_1206,1989,1859,2114,1834,1991,1501
gene_1207,754,916,760,627,698,606
gene_1208,630,753,738,870,901,806
gene_1209,5488,5117,5506,4720,4840,4923
gene_121,5543,5626,5572,4252,4796,4226
gene_1210,782,1019,960,746,877,820
gene_1213,1104,1251,1149,613,602,613
gene_1214,1169,1156,1159,1093,1310,1317
gene_1215,364,498,382,332,249,396
gene_1216,329,433,456,226,326,255
gene_1217,263,291,312,176,164,144
gene_1218,1766,2359,1923,2158,2222,2123
gene_1219,3536,3792,3492,3246,3429,3103
gene_122,65,63,102,52,33,42
gene_1220,1082,1159,1142,1145,1236,1223
gene_1221,75,53,73,49,67,33
gene_1222,527,628,586,403,459,477
gene_1223,1163,1508,1490,601,742,783
gene_1224,2474,2775,3013,1483,1663,1545
gene_1225,413,371,502,96,118,97
gene_1226,966,1155,1091,395,471,523
gene_1228,3828,4840,4355,3682,4116,3536
gene_1229,1430,1555,1490,861,922,840
gene_123,688,795,706,593,585,655
gene_1236,4905,5571,4939,2906,2936,2625
gene_1237,4541,4737,5012,4107,4839,4276
gene_1238,6004,7680,6612,5663,5966,5362
gene_1239,3023,3424,3037,2975,3461,3298
gene_124,3456,3470,3503,3131,3778,3094
gene_1241,78,70,99,69,102,65
gene_1242,2382,2790,2390,1942,2168,1969
gene_1243,1340,1517,1315,1092,1135,1055
gene_1248,482,563,550,492,532,433
gene_1249,6796,7640,7214,4545,5175,4628
gene_125,20,20,23,23,18,21
gene_1250,2623,2439,2576,2491,2548,2323
gene_1251,4342,5314,4747,3960,4262,4076
gene_1254,1305,1452,1613,660,718,714
gene_1255,3395,4101,3559,3115,3328,3205
gene_1256,5145,6354,5716,4505,4948,4784
gene_1260,243,241,280,177,200,179
gene_1261,345,330,361,262,300,286
gene_1262,3198,3186,3150,2612,3251,2576
gene_1263,16079,17906,16193,11237,12667,11802
gene_127,824,845,654,551,566,512
gene_1270,65,71,85,69,105,71
gene_1271,3090,3465,3195,1606,1868,1773
gene_1272,1198,1548,1332,1156,1154,1051
gene_1273,414,602,555,596,573,488
gene_1274,196,240,279,379,456,364
gene_1276,1045,1253,1083,1052,1151,991
gene_1277,1602,1900,1645,1357,1645,1384
gene_1278,1519,2036,1782,2231,2245,2089
gene_1279,402,569,547,529,686,442
gene_128,838,1119,1074,556,763,546
gene_1280,703,884,819,768,910,746
gene_1281,979,991,982,985,1003,955
gene_1282,1469,1603,1570,1413,1294,1321
gene_1283,681,752,706,591,541,585
gene_1284,541,724,534,455,599,507
gene_1285,139,168,137,122,134,156
gene_1286,44,89,73,30,54,11
gene_1288,604,607,608,367,453,431
gene_1289,74,87,99,31,88,43
gene_1290,185,211,207,207,206,178
gene_1291,657,845,856,875,957,913
gene_1292,89,91,67,94,167,127
gene_1293,513,526,543,202,189,204
gene_1294,139,153,154,46,89,72
gene_1295,495,485,421,325,363,338
gene_1297,143,130,136,106,101,121
gene_1298,571,661,538,461,502,524
gene_1299,19,26,25,28,36,14
gene_130,54,100,43,113,71,61
gene_1300,68,44,77,38,38,44
gene_1301,1027,1314,1128,819,1080,826
gene_1302,786,1048,944,705,899,696
gene_1303,75,96,74,57,81,100
gene_1304,54,61,38,48,32,37
gene_1305,59,78,128,113,96,119
gene_1306,17,44,22,40,94,30
gene_1307,22,22,11,11,63,18
gene_1308,180,228,220,134,140,128
gene_131,1892,2336,2077,2300,2882,2635
gene_1311,39934,44783,41233,20142,22230,20663
gene_1312,4210,5039,4571,3238,3395,2943
gene_1314,1217,1527,1344,654,863,750
gene_1315,1017,1196,1125,1010,1091,948
gene_1316,2169,2589,2337,2055,2162,2023
gene_1317,1475,1690,1719,1598,1555,1522
gene_1318,1627,2067,2056,1645,1833,1760
gene_1319,1423,1879,1392,1159,1353,1247
gene_132,1732,1902,1907,1301,1395,1527
gene_1320,167,208,173,213,260,144
gene_1325,2309,2418,2457,1770,1941,1995
gene_1327,1640,1916,1715,1251,1608,1606
gene_1329,4012,5031,4286,3790,4216,3617
gene_133,1195,1360,1209,1085,1142,1200
gene_1330,70,100,75,39,57,44
gene_1331,1435,1628,1455,1617,1749,1627
gene_1332,1609,1802,1647,1731,2024,1804
gene_1336,2199,1907,2273,1576,1417,1490
gene_1337,8140,9016,8687,5767,6595,5447
gene_134,712,797,743,672,765,728
gene_1340,4054,3989,4848,2101,2555,2286
gene_1341,4557,3840,5063,4227,3850,4068
gene_1342,3319,3653,3590,3051,3418,3144
gene_1343,1131,1442,1036,1255,1312,1083
gene_1348,6465,7041,6558,6734,7105,6730
gene_1349,1232,1455,1427,868,959,817
gene_135,10574,12667,11338,7924,9994,8793
gene_1350,1030,1119,1024,719,763,706
gene_1351,927,791,879,900,899,832
gene_1352,1206,1267,1139,1467,1335,1361
gene_1353,127,151,113,128,185,176
gene_1356,32,31,24,36,40,41
gene_1357,575,640,649,1096,1124,1079
gene_1358,3087,3537,3443,3219,3760,3583
gene_1359,1416,1671,1587,1403,1394,1268
gene_136,1354,1515,1370,817,778,882
gene_1360,534,579,517,504,550,442
gene_1361,304,317,356,207,334,257
gene_1362,12403,13224,13719,11458,12547,11319
gene_1363,53059,54724,59580,52607,57778,53132
gene_1364,2348,2706,2556,2496,2479,2567
gene_1365,1064,1418,1266,1281,1591,1297
gene_1366,2157,2378,2288,2506,2456,2498
gene_1369,1786,1573,1536,2403,2539,2329
gene_137,10923,10265,11388,5466,6160,5640
gene_1370,5250,5618,5101,4919,5420,4962
gene_1371,1346,1952,1770,1040,963,1069
gene_1372,666,1004,772,219,246,223
gene_1373,1782,2190,2056,1570,1712,1480
gene_1374,7376,8532,7817,7257,7510,6950
gene_1375,835,1011,988,964,1181,999
gene_1376,53544,64564,58057,50162,56021,51107
gene_1377,8647,10213,9145,8256,8495,8143
gene_1378,2308,2368,2151,2658,2603,2394
gene_1379,148,197,200,197,234,263
gene_138,1806,1534,1714,1420,1494,1490
gene_1380,2523,2502,2564,2749,2703,2743
gene_1381,983,1152,1006,786,778,720
gene_1382,5348,5951,5443,5834,6307,6051
gene_1383,3029,3411,3294,2847,3261,3283
gene_1384,508,668,560,398,516,389
gene_1385,1511,1764,1621,1381,1521,1410
gene_1386,8022,9754,8701,9354,9559,8907
gene_1387,4403,5272,4832,3774,3870,3504
gene_1388,5685,6973,6308,4865,5408,5046
gene_1389,2817,3107,2739,2277,2746,2424
gene_1390,1719,2050,1804,1970,2077,2013
gene_1391,3969,4691,3961,3842,4167,4056
gene_1392,2654,3138,2922,1590,2011,1733
gene_1393,414,570,529,332,380,328
gene_1394,1944,2174,1884,1732,1868,1856
gene_1395,3018,3501,3016,4379,5207,4313
gene_1396,1584,1978,1653,2156,2177,1830
gene_1397,1107,1285,1216,1138,1485,1257
gene_1398,422,449,426,217,214,204
gene_1399,1569,1744,1541,1585,1679,1688
gene_1400,3308,3737,3577,3027,3287,2909
gene_1401,8850,9836,9715,7659,8330,7863
gene_1402,138,177,180,95,127,112
gene_1403,808,1199,854,635,677,626
gene_1404,934,1217,932,1516,1511,1605
gene_1405,1982,2141,2200,1429,1488,1435
gene_1406,524,586,497,265,374,312
gene_1407,849,967,852,777,881,844
gene_1408,1203,1324,1128,1090,1187,1184
gene_1409,3690,4291,4007,2806,3130,2920
gene_141,2104,2756,2611,1949,2154,1945
gene_1410,631,597,552,461,439,436
gene_1411,10088,10972,11011,8840,9555,9054
gene_1412,694,834,701,657,828,695
gene_1413,1724,2124,1866,1712,1975,1746
gene_1414,3479,3405,3572,3155,3399,3217
gene_1415,1440,1722,1546,1473,1468,1329
gene_1416,582,640,652,520,532,430
gene_1417,2233,2318,2178,1944,2081,2186
gene_1418,382,445,413,325,322,340
gene_1419,2913,3392,2780,2640,2848,2502
gene_142,2069,2402,2640,1742,1797,1775
gene_1420,1878,2176,1923,1879,2146,1864
gene_1423,8507,9209,8751,7041,7216,6659
gene_1424,3379,3842,3775,2908,2855,2863
gene_1425,1951,2233,1939,1893,2118,2012
gene_1426,826,1069,949,957,1112,952
gene_1427,1792,2018,1843,1586,1730,1789
gene_143,1647,1721,1581,1665,1792,1640
gene_1430,30,71,79,45,43,50
gene_1431,593,616,781,600,612,616
gene_1432,453,593,439,421,489,409
gene_1434,3941,3776,4038,3104,3248,3261
gene_1436,3222,3722,3228,2263,2527,2414
gene_1437,1160,1255,1113,800,886,834
gene_1438,1003,1066,1172,729,661,725
gene_144,2408,1941,2478,1273,1069,1166
gene_1440,619,690,628,821,803,749
gene_1441,129,138,133,106,100,100
gene_1442,961,1052,1008,1013,1004,986
gene_1443,262,316,269,135,161,126
gene_1444,1886,1866,1936,1459,1519,1490
gene_1445,2054,2024,2065,1748,2098,1599
gene_1446,2768,3117,3319,983,1171,1056
gene_1447,1569,2059,1686,1240,1428,1308
gene_1448,3198,3419,3409,2890,3234,2674
gene_1449,1603,1828,1652,1886,1940,1748
gene_145,2493,2716,2962,2194,2254,2170
gene_1452,2904,2914,2777,2015,2157,1956
gene_1453,1267,1444,1279,937,1180,1093
gene_1454,2251,2519,2353,1722,1849,1687
gene_1455,218933,232005,236158,141438,148697,130188
gene_1456,5883,7035,6028,3736,4215,3936
gene_1459,6226,7181,6453,6104,6800,6382
gene_1460,1230,1445,1412,788,1140,865
gene_1461,2026,2349,2242,1280,1359,1246
gene_1462,1587,1541,1489,1251,1450,1268
gene_1463,1550,1919,1826,897,1198,990
gene_1464,3762,4196,4400,3383,3421,3264
gene_1465,1186,1343,1307,788,936,791
gene_1466,342,411,335,253,275,303
gene_1467,4257,4753,4214,3635,3933,3708
gene_1468,31,70,56,72,59,55
gene_1469,6168,5639,6544,4139,4164,3799
gene_147,976,1067,961,1089,1134,1048
gene_1470,396,348,475,391,420,417
gene_1472,332,406,411,180,176,177
gene_1473,4078,4503,4656,4219,4390,4554
gene_1474,1548,1915,1906,739,844,792
gene_1475,2567,2808,2730,1882,2042,1813
gene_1476,1657,1671,1739,1183,1401,1219
gene_1477,2264,2434,2280,2142,2338,2147
gene_1478,1216,1200,1350,1387,1289,1289
gene_1479,3347,3148,4196,3188,3224,3232
gene_148,671,889,705,776,706,702
gene_1480,744,691,785,449,673,605
gene_1481,2591,2692,2835,2698,2859,2750
gene_1482,671,876,779,774,867,862
gene_1488,2962,3600,3301,2971,3362,3096
gene_1489,3785,4432,4236,3757,3856,3483
gene_149,926,1198,945,1138,1106,988
gene_1490,3631,3767,3942,2717,2920,2775
gene_1491,43095,50394,47968,9305,10383,9404
gene_1492,3460,4041,3695,2339,2700,2345
gene_1493,669,792,737,721,715,740
gene_1494,1822,2184,2105,1685,2306,1961
gene_1495,1150,1506,1215,1345,1508,1308
gene_1496,1151,1490,1323,1115,1410,1115
gene_1497,8125,8566,8748,8510,9132,8440
gene_1498,38,60,30,40,66,33
gene_1499,3666,3882,3674,4184,4565,4119
gene_15,537,719,663,632,593,572
gene_150,1417,1666,1444,1294,1707,1344
gene_1500,5205,5756,4999,4652,5032,4846
gene_1501,6250,6763,7108,4167,4142,4079
gene_1503,4184,3965,4659,2938,3345,2820
gene_1504,1238,1383,1303,433,660,596
gene_1505,905,1186,1241,411,462,466
gene_1506,668,760,703,683,613,633
gene_1507,2718,3492,2874,2652,2624,2450
gene_1508,4504,5459,5118,3337,3648,3267
gene_1509,1092,1369,1207,828,924,937
gene_151,758,948,765,584,598,584
gene_1510,9060,8243,10086,7243,7312,6994
gene_1511,11629,13509,12517,10128,11115,10055
gene_1512,14230,15869,14717,13601,14705,14308
gene_1513,677,563,565,644,556,598
gene_1514,50487,57333,58299,51893,55884,53238
gene_1515,1755,2046,1798,1500,1454,1288
gene_1516,5840,6665,5854,5321,5824,5184
gene_1517,871,1055,868,653,776,711
gene_1518,1342,1592,1549,904,1157,961
gene_152,645,755,714,511,614,506
gene_1520,802,908,959,628,620,600
gene_1521,1923,2296,2205,1822,2046,2079
gene_1522,16552,19536,18050,12245,14317,12898
gene_1523,3754,3694,3722,2997,3067,3166
gene_1524,1478,1413,1429,1695,1653,1616
gene_1525,15665,18351,18115,10103,12862,11260
gene_1526,3922,4249,4419,2237,2695,2429
gene_1527,2165,2621,2441,2381,2708,2781
gene_1528,337,422,406,414,576,520
gene_1529,1401,1685,1597,1399,1596,1441
gene_153,868,961,939,458,512,554
gene_1530,2519,2789,2729,2022,2025,2072
gene_1533,906,1103,972,972,1211,820
gene_1534,1565,1991,1941,1696,1847,1635
