Reaction	Par_wo	Par_Ac	ATS_wo	ATS_Ac
r_0001	0	0	0	0
r_0002	0	0	0	0
r_0004	0	0	0	0
r_0005	0.00011045528743732	0.000224336142247024	0.000128516743509174	0.000262162999999999
r_0006	0.00011045528743732	0.000224336142247024	0.000128516743509174	0.000262162999999999
r_0007	0.0153567921916672	0.0260022940703586	0.0151371171852049	0.0710288953470124
r_0013	0	0	0	0
r_0014	1.34474629613668E-06	2.374612745109E-06	1.32613012105315E-06	0.0000027225
r_0015	1.34474629613668E-06	2.374612745109E-06	1.32613012105315E-06	0.0000027225
r_0016	0.0132405016396554	0.0224189669936541	0.0130510996305321	0.0647065909795911
r_0017	0	0	0	0
r_0018	1.97845212435155E-15	3.98986399474666E-17	1.88130760969685E-15	0.0406710623541518
r_0019	0.00946179520408627	0.016020818557637	0.0093264466295327	0.0452946136852376
r_0020	0	0	0	0
r_0021	0	0	0	0
r_0022	0	0	0	0
r_0023	-1.63836E-14	-0.024971664422853	-2.50927750800045E-15	-0.0647065909793941
r_0024	0.022199778359417	0.033457820672853	0.0218549715196252	0.0738346384789811
r_0025	0.0223925316192094	0.0331673175933929	0.0220447309373517	0.073834638479394
r_0026	0	0	0	0
r_0027	0.280636845753159	0.475177478419908	0.276622407033631	0.842280572310662
r_0028	0	0	0	0
r_0029	0.0146200558692094	0.024971664422853	0.0144109196873517	0.064706590979394
r_0030	0	0	0	0
r_0032	0.108470764975327	0.178713407952272	0.106890018481274	0.577209714892285
r_0033	0.336764214898272	0.570212974089173	0.331946888421814	1.53746845129532
r_0034	0	0	0	0
r_0035	0	0	0	0
r_0036	0.336764214886516	0.570212974094897	0.331946888441073	1.53746845129709
r_0037	0	0	0	0
r_0038	2.68949259227337E-06	4.749225490218E-06	2.65226024210631E-06	0.000005445
r_0039	0.0126123880783052	0.0213554380136986	0.0124319710739142	0.0608819102980894
r_0040	0.0126123880783052	0.0213554380136986	0.0124319710739142	0.0608819102980894
r_0041	0	0	0	0
r_0042	0.0569677029557876	0.07736656852721	0.0560406396465483	0.159041024845284
r_0043	0	0	0	0
r_0045	0	0	0	0
r_0057	0.0135603112505836	0.0261323233472193	0.0133664371597746	0.0723949206742418
r_0058	0	0	0	0
r_0060	-0.0133668419030237	-0.024971664422853	-0.0131756326272832	-0.0647065909793941
r_0061	0.0447850632380194	0.0669156413456824	0.0440894618737673	0.147669276958375
r_0062	0.0187553863365271	0.0317568320804185	0.0184870953040965	0.0823538430642988
r_0063	0.00946179520408627	0.016020818557637	0.0093264466295327	0.0452946136852376
r_0064	0.0132405016395811	0.0224189669935413	0.0130510996304276	0.0647065909795401
r_0065	0.0126123880783052	0.0213554380136986	0.0124319710739142	0.0608819102980894
r_0066	0.0126123880783052	0.0213554380136986	0.0124319710739142	0.0608819102980894
r_0067	0.0126123880783052	0.0213554380136986	0.0124319710739142	0.0608819102980894
r_0068	0	0	0	0
r_0069	0	0	0	0
r_0072	0.0146200558692094	0.024971664422853	0.0144109196873517	0.064706590979394
r_0073	0	0	0	0
r_0075	0	0	0	0
r_0079	0.00998764074912239	0.0164553584170083	0.00984209067159734	0.0426173372127472
r_0080	0.0745012179691189	0.119082414232254	0.0734870842572817	0.402727196625503
r_0081	1.086681859544E-08	1.918923398019E-08	1.071620299841E-08	2.200067683589E-08
r_0085	0	0	0	0
r_0086	0	0	0	0
r_0088	0	0	0	0
r_0089	0	0	0	0
r_0090	0.561273691475478	1.90070991365054	0.553244814072896	2.56244741882544
r_0091	0	0	0	0
r_0092	0	0	0	0
r_0095	0	0	0	0
r_0096	0.0187553863365885	0.0317568320803633	0.0184870953041815	0.0823538430643257
r_0097	0.0187553863365885	0.0317568320803633	0.0184870953041815	0.0823538430643257
r_0099	0	0	0	0
r_0100	0.038955758559251	0.0341061965373959	0.0391080686094484	0.074739011721325
r_0101	0	0	0	0
r_0102	0.0271206225003902	0.0522646466939594	0.0267328743183983	0.144789841348412
r_0103	0.0163955190331422	0.0354618127790916	0.0163334074085191	0.0890082939117598
r_0104	8.80019412276038	4.80878171982486	6.72780351142312	5.93854579033917
r_0105	0.0135603112505836	0.0522646466943023	0.0133664371597746	0.0723949206742418
r_0106	0.0135603112505836	0.0261323233472193	0.0133664371597746	0.0703167319861921
r_0107	0.027120622501029	0.0261323233472193	0.0267328743189305	0.0723949206742418
r_0108	0	0	0	0
r_0109	0.11041449669099	0.219312682384562	0.108835045391933	0.590582690961664
r_0111	0.537792990991635	0.950354956812755	0.544142957414855	1.84606533196649
r_0112	0.898495428259579	0.830719360180784	0.913072540200811	1.78200884971855
r_0113	0.561273691506261	0.950354956836646	0.553244814047325	2.56244741882991
r_0114	0	0	0	0
r_0115	0.0244429277098712	0.036938747701585	0.0240670568373235	0.091040020564326
r_0118	0.0244429277098712	0.036938747701585	0.0240670568373235	0.091040020564326
r_0120	0.0135603112505836	0.0261323233472193	0.0133664371597746	0.0703167319861921
r_0121	0.0135603112505836	0.0261323233472193	0.0133664371597746	0.0723949206742418
r_0122	0	0	0	0
r_0123	0.0135603112505836	0.0261323233472193	0.0133664371597746	0.0723949206742418
r_0124	0.0194778792801487	0.0341061965373959	0.0195540343048438	0.074739011721325
r_0125	0.0135603112505836	0.0261323233472193	0.0133664371597746	0.0723949206742418
r_0126	0.114900270687824	0.0786837342201481	0.104516220194385	0.108673564631581
r_0127	0.114900270687895	0.0786837342200178	0.104516220194108	0.108673564630789
r_0128	0.11490027068767	0.0786837342207176	0.104516220194515	0.108673564631661
r_0129	0.114900270687014	0.0786837342207207	0.104516220194556	0.10867356463165
r_0130	0.114900270687919	0.0786837342204766	0.104516220194511	0.108673564631498
r_0131	0.00371289701677215	0.0065166303330903	0.00365978496893296	0.0201309394155964
r_0132	0.00371289701694648	0.00651663033309955	0.00365978496887136	0.0201309394155975
r_0133	0.00371289701679833	0.00651663033309889	0.0036597849689291	0.0201309394155723
r_0134	0.00371289701679505	0.00651663033311868	0.0036597849688859	0.0201309394156635
r_0135	0.00371289701681131	0.00651663033304663	0.00365978496887087	0.0201309394156233
r_0137	0	0	0	0
r_0139	0	0	0	0
r_0142	0.0311526419466944	0.052746414335145	0.0307072449674591	0.194125863032158
r_0143	0.280636845737281	0.475177478416899	0.276622407037139	1.28122370941457
r_0144	0.0311526419466944	0.052746414335145	0.0307072449674591	0.194125863032158
r_0145	0	0	0	0
r_0146	0	0	0	0
r_0147	0.336764214898272	0.570212974089173	0.331946888421814	1.53746845129532
r_0148	3.17945420009258	5.45695967080332	3.26605651758574	8.30688620523977
r_0149	1.12254738300035	1.90070991366018	1.10648962809057	4.63861498769943
r_0150	0.420955268630109	1.42553243523474	0.829867221107165	3.84367112823635
r_0151	0.00998764074912239	0.0164553584170083	0.00984209067159734	0.0426173372127472
r_0152	0.280636845742317	0.475177478422406	0.276622407040009	1.28122370941874
r_0153	0.280636845742317	0.475177478422406	0.276622407040009	1.28122370941874
r_0154	0.100239378175454	0.169726447827403	0.0988054793564635	0.56754316514245
r_0156	2.85239327260822	2.05023467335927	2.60001973781683	3.0240563248834
r_0157	0.000255026380908749	0.000384399432859766	0.000236024371039967	0.000474044999999999
r_0163	1000	1000	1000	1000
r_0164	0	0	0	0
r_0165	999.763551267905	933.507211172908	999.710042457829	1000
r_0166	0.0124755210382503	0.0211236931949454	0.0245941237630678	0.120785636494577
r_0167	0.0124755210381668	0.021123693194601	0.0122970618807346	0.060392818246734
r_0168	0.0122042550872645	0.0206643826229792	0.0120296763219771	0.0603928182469119
r_0169	0	0	0	0
r_0170	0	0	0	0
r_0171	0	0	0	0
r_0172	0	0	0	0
r_0173	2.4386925295975	1.81848622322309	2.51904061103233	2.66173553169213
r_0174	1.03713532408413	1.18783410911374	1.05010180471129	2.1883065151031
r_0175	0.114314665170696	0.135631211058564	0.100550790588716	0.289812511413704
r_0176	0	0	0	0
r_0177	0	0	0	0
r_0178	0	0	0	0
r_0179	0.0273858839475548	0.0467502643349279	0.0269941358406838	0.0603928182470451
r_0180	0.0136929419735267	0.0233751321675377	0.0134970679206408	0.0603928182470601
r_0181	0.0133668419029862	0.0228139943226336	0.0131756326272361	0.0603928182468734
r_0182	0.0172565085111958	0.0292189152097722	0.0170096585452008	0.0754910228090826
r_0183	0.0172565085111213	0.0292189152092434	0.0170096585445759	0.0754910228088132
r_0184	0.0167417781021628	0.0283473678661241	0.0165022912245192	0.0754910228085863
r_0185	0	0	0	0
r_0186	0.00781885209708477	0.0132389687235836	0.00770700540580656	0.0393866205957491
r_0187	0.007818852097013	0.0132389687236424	0.00770700540552313	0.0393866205957829
r_0188	0	0	0	0
r_0189	0	0	0	0
r_0190	0	0	0	0
r_0191	0.0841910537259583	0.142553243526609	0.082986722109805	0.539884624066156
r_0192	0	0	0	0
r_0193	0.210477634316117	0.356383108836045	0.2074668052729	0.960917782059682
r_0194	0.210477634302807	0.356383108812411	0.207466805265647	0.960917782059758
r_0195	0.227927448133267	0.378966334230807	0.238630071198636	0.983894582059758
r_0198	0	0	0	0
r_0201	0	0	0	0
r_0202	0.00811261093191698	0.0137363645017097	0.00799656209510929	0.0411769215320887
r_0203	0.00811261093191698	0.0137363645017097	0.00799656209510929	0.0411769215320887
r_0205	0	0	0	0
r_0206	0.0990482985029683	0.167709698264749	0.0976314377753624	0.424626769167025
r_0207	-8.73693478675719E-15	-2.653607E-14	-1.00874170128051E-15	-1.292542E-14
r_0208	7.105427357601E-15	2.4869E-14	0	1.421085E-14
r_0209	0.000244988325223447	0.000369264274858111	0.000226741460192594	0.0004554
r_0210	0	0	0	0
r_0211	0.210477634315039	0.356383108815711	0.207466805271707	0.96091778206023
r_0212	0.000203504939482018	0.000306732805903574	0.000188337267697044	0.000378262499999999
r_0213	0	0	0	0
r_0214	0.0261749031055344	0.0437431508649003	0.0258851350226659	0.12945714193718
r_0215	0.0223365843486471	0.0378205570214798	0.0220170651892661	0.106543343021112
r_0216	0.857485790311671	-258.01771848763	0.902442428267364	0
r_0217	2999.9341572906	1677.08315858431	2999.9353322865	2999.94004349625
r_0218	-0.0383283483707054	-0.184826427342511	-0.0378058697481265	-0.69742131101178
r_0219	0.0223365843486471	0.0378205570214798	0.0220170651892661	0.106543343021112
r_0220	0.0151638816892812	0.0167532969647861	0.0148656316527271	0.0181335825
r_0225	0.0153567921916672	0.0260022940703586	0.0151371171852049	0.0710288953470124
r_0226	1.13831068895902	1.72074329228983	1.13621660395365	4.21160440935498
r_0227	0.56127369150678	0.950354956819506	0.553244814008632	2.5624474188279
r_0228	0	0	0	0
r_0229	0	0	0	0
r_0230	0	0	0	0
r_0231	0.00205338524411692	0.00350244203533938	0.00202401209012034	0.00628140242783052
r_0233	0.001778433750034	0.00303046861235646	0.00175299370748003	0.00574816939111335
r_0234	0.00189660070792435	0.00323319634668688	0.00186947031716985	0.00628140242783052
r_0235	0.00189660070792435	0.00323319634668688	0.00186947031716985	0.00628140242783052
r_0236	0.00189660070792435	0.00323319634668688	0.00186947031716985	0.00628140242783052
r_0237	0.00189660070792435	0.00323319634668688	0.00186947031716985	0.00628140242783052
r_0238	0.00189660070792435	0.00323319634668688	0.00186947031716985	0.00628140242783052
r_0239	0.00189660070792435	0.00323319634668688	0.00186947031716985	0.00628140242783052
r_0240	0.00189660070792435	0.00323319634668688	0.00186947031716985	0.00628140242783052
r_0241	0.00189660070792435	0.00323319634668688	0.00186947031716985	0.00628140242783052
r_0242	0.001778433750034	0.00303046861235646	0.00175299370748003	0.00574816939111335
r_0243	0.00181994573573734	0.00310166717128056	0.00179391187481803	0.00579639978321314
r_0244	0.00175837989900459	0.00299608119235605	0.0017332267216914	0.00573638567111594
r_0250	0.230342957076004	0.375837239939631	0.227046943262844	0.984915222285876
r_0252	0.701069980732117	1.14971634891395	0.702631326022767	2.63908047775159
r_0253	0.100838176127165	0.193973083223465	0.0993957116583418	0.523010716002178
r_0254	0.701069980732117	1.14971634891395	0.702631326022767	2.63908047775159
r_0255	0.0779691181006621	0.132018191817057	0.076853789692791	0.505037187970433
r_0256	0.0950641912650866	0.182926263428516	0.0937079269574781	0.492217123902724
r_0259	0	0	0	0
r_0260	0	0	0	0
r_0261	0	0	0	0
r_0262	0	0	0	0
r_0263	0	0	0	0
r_0264	0	0	0	0
r_0265	0	0	0	0
r_0266	0	0	0	0
r_0267	0	0	0	0
r_0268	0	0	0	0
r_0269	0	0	0	0
r_0270	0	0	0	0
r_0271	0	0	0	0
r_0272	0	0	0	0
r_0273	0.210477634321861	0.233778024835427	0.207466805276865	0.291546664328385
r_0274	0.210477634321861	0.233778024835427	0.207466805276865	0.291546664328385
r_0278	0.00987605374039652	0.0167222457925092	0.00973477930307153	0.0473525968979379
r_0279	0.0126123880783052	0.0213554380136986	0.0124319710739142	0.0608819102980894
r_0280	0.550524364286161	1.03336337694566	0.570626560812684	0
r_0281	0	0	0	0
r_0282	0	0	0	0
r_0283	0	0	0	0
r_0284	0	0	0	0
r_0285	0	0	0	0
r_0286	0	0	0	0
r_0287	0	0	0	0
r_0288	0	0	0	0
r_0289	0	0	0	0
r_0290	0	0	0	0
r_0291	0	0	0	0
r_0292	0	0	0	0
r_0293	0	0	0	0
r_0294	0	0	0	0
r_0295	0	0	0	0
r_0296	0	0	0	0
r_0297	0	0	0	0
r_0298	0	0	0	0
r_0299	0	0	0	0
