LogFC_ATS_AC_wo,LogFC_Par_AC_wo,Reaction
-44.2466115232844,-39.7845895572974,r_1697
-10.05397434553,-10.0766856396901,r_1980
-11.9355992835322,-12.5893832731649,r_3652
-13.937877818435,-14.2522250987238,r_3751
-1.49125426811952,-2.41032556655963,t_0351
-4.43449759312786,-4.91526939684611,t_1114
