Reaction	LogFC_Par_AC_wo	LogFC_ATS_AC_wo	LogFC_Wo_ATS_Par	LogFC_Ac_ATS_Par
r_0463	0.0187495130814807	0.357545277535263	-0.0207864149941239	0.318009349459658
r_0467	NA	NA	NA	-1.12350178086396
r_0468	0.595717859100414	1.94836022558797	-0.0223573725270205	1.33028499396054
r_0470	0.759762021982149	2.21153247323671	-0.0207864149856132	1.43098403626894
r_0471	0.625520876971197	1.92243572395541	-0.0217362173221921	1.27517862966202
r_0472	0.625520876970765	1.92243572400933	-0.0217362173779132	1.27517862966066
r_0473	0.595717859100414	1.94836022558797	-0.0223573725270205	1.33028499396054
r_0475	0.759762021942424	2.21153247319685	-0.020786414984803	1.43098403626962
r_0476	0.625520876971604	1.92243572395237	-0.0217362173338374	1.27517862964693
r_0477	0.759762022028967	2.20280987126521	-0.0207864150085183	1.42226143422772
r_0478	0.591930804779046	1.0061067365195	-0.111683500731404	0.302492431009051
r_0479	0.591937875478657	1.00605181079887	-0.111698724774658	0.302415210545559
r_0480	NA	NA	NA	NA
r_0481	0.759762021965298	2.21153247308945	-0.0207864148359081	1.43098403628824
r_0482	NA	NA	NA	NA
r_0483	0.759762021970091	2.21153247309318	-0.0207864148354718	1.43098403628762
r_0485	0.759762021885477	2.21153247313604	-0.0207864149663134	1.43098403628425
r_0486	-0.47330255909255	-0.0313088868871331	0.0637735244668227	0.50576719667224
r_0487	-0.115640467856274	0.889647938652002	0.00901289688390698	1.01430130339218
r_0488	0.759762021968485	2.21153247317467	-0.0207864149222959	1.43098403628389
r_0489	0.236690485330115	1.21744316887761	0.0149418326111919	0.995694516158691
r_0490	0.759762021917117	2.21153247310363	-0.0207864149126911	1.43098403627382
r_0491	0.215032589036711	1.21365664946466	0.015216921569585	1.01384098199754
r_0492	0.142570817353467	1.1818648934607	0.0478429348845861	1.08713701099182
r_0499	0.705822303269868	2.06445255353339	-0.0171808490043409	1.34144940125918
r_0501	0.620942626317242	1.94053921859048	-0.0213275024121163	1.29826908986112
r_0502	2.48427555733	4.14810973949837	-0.017291756444606	1.64654242572376
r_0503	5.7961320360569	2.50493689491865	4.8332574048414	1.54206226370315
r_0504	0.620942626323664	1.94053921853593	-0.0213275023664834	1.29826908984579
r_0505	0.724210417081826	1.94843838494435	-0.0209484167049957	1.20327955115753
r_0506	0.620942626310241	1.94053921854566	-0.0213275023843284	1.29826908985109
r_0507	0.620942626310241	1.94053921854566	-0.0213275023843284	1.29826908985109
r_0508	0.620942626310241	1.94053921854566	-0.0213275023843284	1.29826908985109
r_0509	0.620942626323664	1.94053921853593	-0.0213275023664834	1.29826908984579
r_0510	-0.631711840428384	-0.173946892174516	-0.143342385624054	0.314422562629814
r_0511	0.368288159571157	0.802894473801504	-0.143342385624054	0.291263928606293
r_0512	0.591869444966073	1.00608263142847	-0.111740863017118	0.302472323445278
r_0514	0.82035824078934	1.03770970804091	-0.0201116743860191	0.197239792865548
r_0518	NA	NA	NA	NA
r_0524	NA	NA	NA	NA
r_0525	0.820358240781846	1.03770970804076	-0.0201116743858629	0.197239792873051
r_0526	NA	NA	NA	NA
r_0527	NA	NA	NA	NA
r_0528	-0.616805844053144	-0.122949575999195	-0.142557255186253	0.351299012867696
r_0529	NA	-0.344845958310769	-0.146651104124064	NA
r_0530	0.372223175870149	0.318269953257639	0.062974836057747	0.00902161344523658
r_0531	0.820367487211197	1.03775409226042	-0.0201358184587717	0.197250786590449
r_0532	NA	NA	NA	NA
r_0533	NA	NA	NA	NA
r_0534	0.911765115378635	2.36353556657796	-0.0207864149665526	1.43098403623277
r_0535	NA	NA	NA	NA
r_0536	0.75976202191043	2.2303155735668	-0.0207864148255139	1.44976713683085
r_0537	0.75976202191043	2.2303155735668	-0.0207864148255139	1.44976713683085
r_0538	0.75976202191043	2.2303155735668	-0.0207864148255139	1.44976713683085
r_0539	0.591921657267446	1.00611614819759	-0.111716750386663	0.302477740543481
r_0540	NA	NA	NA	NA
r_0541	NA	NA	NA	NA
r_0542	0.721216294087033	1.56500701527964	-0.035434950515011	0.808355770677595
r_0543	NA	NA	NA	NA
r_0545	0.74745331286414	1.58535019344087	-0.0209112337881966	0.816985646788536
r_0546	0.49577792679662	1.64485090657753	-0.0232202982470537	1.12585268153385
r_0547	0.495777926863743	1.70115175458272	-0.0232202982665811	1.1821535294524
r_0548	0.56722043563698	1.89205914277239	-0.0226059902585588	1.30223271687686
r_0549	0.486476764913584	1.66748963655356	-0.0233002447192028	1.15771262692077
r_0550	0.759762021915847	2.21153247315035	-0.0207864149519951	1.43098403628251
r_0551	NA	NA	NA	NA
r_0553	0	0	0	0
r_0554	NA	NA	NA	NA
r_0555	NA	NA	NA	NA
r_0557	0.820367487211197	1.03775409226042	-0.0201358184587717	0.197250786590449
r_0558	0.77191908993915	1.50403906224951	-0.0207864148255215	0.711333557484834
r_0559	0.767215378857668	1.40590910758941	-0.00547578244337072	0.633217946288367
r_0560	0.817331423554839	1.75668131788605	0.0172050733526322	0.95655496768384
r_0561	NA	NA	NA	NA
r_0562	NA	NA	NA	NA
r_0563	0.75976202191043	2.2303155735668	-0.0207864148255139	1.44976713683085
r_0564	0.75976202191043	2.2303155735668	-0.0207864148255139	1.44976713683085
r_0565	0.82035824078934	1.03770970804091	-0.0201116743860191	0.197239792865548
r_0566	0.759762021853247	2.36438418445599	-0.0207864149670255	1.58383574763571
r_0567	0.759762021853247	2.36438418445599	-0.0207864149670255	1.58383574763571
r_0568	0.930975170527795	1.77479928226896	0.00267892089357209	0.846503032634733
r_0569	0.771675784970627	1.6047788806682	0.00267892093001701	0.835782016627589
r_0570	-0.511164734842645	0.434887220723173	-0.622436226119049	0.323615729446769
r_0572	NA	NA	NA	NA
r_0573	NA	NA	NA	NA
r_0574	NA	NA	NA	NA
r_0575	NA	NA	NA	NA
r_0596	NA	NA	NA	NA
r_0597	NA	NA	NA	NA
r_0598	NA	NA	NA	NA
r_0599	NA	NA	NA	NA
r_0600	NA	NA	NA	NA
r_0601	NA	NA	NA	NA
r_0602	NA	NA	NA	NA
r_0603	NA	NA	NA	NA
r_0604	NA	NA	NA	NA
r_0605	NA	NA	NA	NA
r_0606	NA	NA	NA	NA
r_0607	NA	NA	NA	NA
r_0608	NA	NA	NA	NA
r_0609	NA	NA	NA	NA
r_0610	NA	NA	NA	NA
