Rxns	ranges	m1000lux	maxFlux
t_0231_REV_EXP_2	0.0994792329603875	0	0.0994792329603875
t_0232_EXP_1	0.0998457049017945	0	0.0998457049017945
t_0232_EXP_2	0.0998457049017945	0	0.0998457049017945
t_0232_REV_EXP_1	0.100496402711606	0	0.100496402711606
t_0232_REV_EXP_2	0.100496402711606	0	0.100496402711606
t_0233_EXP_1	0.0998459078927372	0	0.0998459078927372
t_0233_EXP_2	0.0998459078927372	0	0.0998459078927372
t_0233_REV_EXP_1	0.0977358335559802	0	0.0977358335559802
t_0233_REV_EXP_2	0.0977358335559802	0	0.0977358335559802
t_0235_EXP_1	0.806156596760126	0	0.806156596760126
t_0235_EXP_2	0.0977358152157071	0	0.0977358152157071
t_0235_REV_EXP_1	0.806156596983133	0	0.806156596983133
t_0235_REV_EXP_2	0.806156596983133	0	0.806156596983133
t_0236_EXP_1	0.0977358335390308	0	0.0977358335390308
t_0236_EXP_2	0.0977358335390308	0	0.0977358335390308
t_0236_REV_EXP_1	0.098846158348469	0	0.098846158348469
t_0236_REV_EXP_2	0.098846158348469	0	0.098846158348469
t_0237_EXP_1	0.0977358207777324	0	0.0977358207777324
t_0237_EXP_2	0.0977358207777324	0	0.0977358207777324
t_0237_REV_EXP_1	0.0992185286798787	0	0.0992185286798787
t_0237_REV_EXP_2	0.0992185286798787	0	0.0992185286798787
t_0238_EXP_1	0.0977358207777312	0	0.0977358207777312
t_0238_EXP_2	0.0977358207777312	0	0.0977358207777312
t_0238_REV_EXP_1	0.0977358207777312	0	0.0977358207777312
t_0238_REV_EXP_2	0.0977358207777312	0	0.0977358207777312
t_0240	0.0805948598227717	0	0.0805948598227717
t_0241	0.00927571809394601	0	0.00927571809394601
t_0243	0.0725682489415492	0	0.0725682489415492
t_0246	0.0706217159570543	0	0.0706217159570543
t_0249	0.0725682489436424	0	0.0725682489436424
t_0252	0.0706217159619742	0	0.0706217159619742
t_0254_EXP_1	0	0	0
t_0254_EXP_2	0	0	0
t_0255_EXP_1	0	0	0
t_0255_EXP_2	0	0	0
t_0257	0	0	0
t_0260	0	0	0
t_0263_EXP_1	0.0998330765554927	0	0.0998330765554927
t_0263_EXP_2	0.0998330765554927	0	0.0998330765554927
t_0266_EXP_1	0.0998330953515366	0	0.0998330953515366
t_0266_EXP_2	0.0998330953515366	0	0.0998330953515366
t_0268	1000	0	1000
t_0268_REV	1000	0	1000
t_0269	1000	0	1000
t_0269_REV	1000	0	1000
t_0271	1000	0	1000
t_0271_REV	1000	0	1000
t_0272	1000	0	1000
t_0272_REV	1000	0	1000
t_0274	0.0756600579758039	0	0.0756600579758039
t_0275	0.00783417817169923	0	0.00783417817169923
t_0276	27324691.4818361	0	27324691.4818361
t_0276_REV	27324691.4818241	0	27324691.4818241
t_0277	27324691.4818281	0	27324691.4818281
t_0277_REV	27324691.4818241	0	27324691.4818241
t_0279	27324691.4818272	0	27324691.4818272
t_0279_REV	27324691.4818235	0	27324691.4818235
t_0283	27324691.4818246	0	27324691.4818246
t_0283_REV	27324691.4818238	0	27324691.4818238
t_0285	27324691.4818284	0	27324691.4818284
t_0285_REV	27324691.4818238	0	27324691.4818238
t_0288	27324691.4818241	0	27324691.4818241
t_0288_REV	27324691.4818241	0	27324691.4818241
t_0289	27324691.4818241	0	27324691.4818241
t_0289_REV	27324691.4818241	0	27324691.4818241
t_0291	27324691.4818241	0	27324691.4818241
t_0291_REV	27324691.4818241	0	27324691.4818241
t_0295	1000	0	1000
t_0295_REV	1000	0	1000
t_0298	1000	0	1000
t_0298_REV	1000	0	1000
t_0300	0.193515196324251	0	0.193515196324251
t_0301	0.193515330546883	0	0.193515330546883
t_0303	0.188329995374805	0	0.188329995374805
t_0304	0.188324575888277	0	0.188324575888277
t_0307	0.193515330537138	0	0.193515330537138
t_0310	0.188324575859695	0	0.188324575859695
t_0312	0.00582501975069974	0	0.00582501975069974
t_0312_REV	0.010714816879154	0	0.010714816879154
t_0313	0.00582365352020445	0	0.00582365352020445
t_0313_REV	0.0107884773438635	0	0.0107884773438635
t_0315	0.00582367089658388	0	0.00582367089658388
t_0315_REV	0.0107884773438594	0	0.0107884773438594
t_0330_EXP_1	0.0107222492508913	0	0.0107222492508913
t_0330_EXP_2	0.0107222492508913	0	0.0107222492508913
t_0331_EXP_1	0.0107183156850049	0	0.0107183156850049
t_0331_EXP_2	0.0107183156850049	0	0.0107183156850049
t_0333_EXP_1	0	0	0
t_0333_EXP_2	0	0	0
t_0334_EXP_1	0	0	0
t_0334_EXP_2	0	0	0
t_0337	0	0	0
t_0340	0	0	0
