Reaction	Log10_ParWo	Log10_ParAc	Log10_ATSWo	Log10_ATSAc
t_1322	-0.953957018274066	-1.14417630582582	-0.997107376001975	-1.04986960596537
t_1323	-0.939679425088288	-1.10411551393928	-0.980816781735666	-0.963876569091411
t_1324	-0.953957018273484	-1.14417630582577	-0.997107376003041	-1.04986960596579
t_1325	-3.67482319025055	-3.56277286008685	-3.65586587574346	-3.5600570441408
t_1326	-3.67367012930888	-3.56161978828731	-3.65471281468348	-3.55890423612946
t_1327	-3.69053384205271	-3.5784837499089	-3.67157653014133	-3.57576214723017
t_1328	-3.68942142962304	-3.57737131172683	-3.67046411743081	-3.57465033513642
t_1329	NA	NA	NA	NA
t_1330	NA	NA	NA	NA
t_1331	-4.164954972182	-4.05290463192319	-4.14599765756483	-4.05018906141581
t_1332	-4.16373138429518	-4.05168104327362	-4.14477406966979	-4.04896549111576
t_1333	-4.181605226973	-4.06955491741165	-4.1626479126906	-4.06683860059178
t_1334	-4.18042768962052	-4.06837737792665	-4.16147037531516	-4.0656611129524
t_1335	NA	NA	NA	NA
t_1336	NA	NA	NA	NA
t_1337	-4.3131787463502	-4.20112840609197	-4.29422143173303	-4.19841283556212
t_1338	-4.31212942190735	-4.20007908101217	-4.29317210728324	-4.19736352597511
t_1339	-4.32749922952544	-4.21544892015493	-4.30854191524512	-4.21273259869528
t_1340	-4.32648394363295	-4.21443363210599	-4.30752662932911	-4.21171736307371
t_1341	NA	NA	NA	NA
t_1342	NA	NA	NA	NA
t_1343	-4.06836249501536	-3.95631225939556	-4.04940518153931	-3.95359414490657
t_1344	-4.06718205824399	-3.95513183070899	-4.0482247448561	-3.95241351966269
t_1345	-4.08443667009162	-3.97238632907006	-4.06547935546623	-3.9696707769122
t_1346	-4.08329917603418	-3.97124884230436	-4.06434186148819	-3.968533113053
t_1347	NA	NA	NA	NA
t_1348	NA	NA	NA	NA
t_1349	-2.42742255569953	-2.31537222647246	-2.40846524120297	-2.31265638776285
t_1350	-2.17813007401847	-2.06608016209475	-2.15917276407245	-2.0633541778476
t_1351	-2.17813007401848	-2.06608016209475	-2.15917276407245	-2.0633541778476
t_1352	-2.3284044971404	-2.21635429309846	-2.30944718400992	-2.21363540835074
t_1353	-2.91122572227694	-2.79917558999013	-2.89226840992926	-2.79645496074429
t_1354	-2.91122572227727	-2.79917558998941	-2.89226840992897	-2.79645496074429
t_1355	-2.91122572227728	-2.79917558997272	-2.89226840992928	-2.79645496074428
t_1356	-2.91122572227691	-2.79917558998944	-2.89226840992894	-2.79645496074424
t_1357	NA	NA	NA	NA
t_1358	NA	NA	NA	NA
t_1359	NA	NA	NA	NA
t_1360	NA	NA	NA	NA
t_1361	-3.10992671932796	-2.99787645642396	-3.09096940555467	-2.99515900528452
t_1362	-3.12524740160891	-3.01319762845233	-3.1062900931765	-3.01046827043844
t_1363	-2.58557113299478	-2.47352116048632	-2.56661382238955	-2.47079664665843
t_1364	-2.58337521257514	-2.47132509839775	-2.56441790042466	-2.4686040288574
t_1365	-5.29454235633551	-5.1824920153507	-5.2755850417113	-5.17977645993993
t_1366	-5.29394620411441	-5.18189586309285	-5.27498888948901	-5.17918031093499
t_1367	-5.29331936669512	-5.18126902572514	-5.27436205207049	-5.17855347250733
t_1368	NA	NA	NA	NA
t_1369	NA	NA	NA	NA
t_1370	-3.19041657855975	-3.07836630596026	-3.17145926468043	-3.07564909052717
t_1371	-3.18893968644025	-3.07688942143612	-3.16998237264376	-3.07417202134547
t_1372	-3.21042986124701	-3.09837952022545	-3.19147254662162	-3.0956639680676
t_1373	-3.20901953154685	-3.09696919499262	-3.19006221697008	-3.09425353441993
t_1374	NA	NA	NA	NA
t_1375	NA	NA	NA	NA
t_1376	NA	NA	NA	NA
t_1377	NA	NA	NA	NA
t_1378	NA	NA	NA	NA
t_1379	NA	NA	NA	NA
t_1380	NA	NA	NA	NA
t_1381	NA	NA	NA	NA
y200001	-1.9877283640809	-1.77641261230256	-1.99290031497479	-1.36435461128337
y200002	3	NA	NA	NA
y200003	-0.275337363635642	-0.147052892368564	-0.276200215594295	0.283716225865941
y200008	2.39595562228933	2.20548680235014	2.35282282481445	2.29941453785671
y200015	NA	NA	NA	NA
y200016	NA	NA	NA	NA
y200017	NA	NA	NA	NA
y200019	NA	NA	NA	NA
y200020	NA	NA	NA	NA
y200021	NA	NA	NA	NA
y200022	-3.75920815041245	-3.9709162216123	-3.71376585766218	-3.63485363378313
y200023	1.55249502916684	1.36167085678439	1.50919112058466	1.45577802488362
y200024	1.55298764790103	1.36270824118111	1.50983743922487	1.36505192848125
y200025	1.0847707553267	0.892787041343379	1.0411529865811	0.987282364162871
y200026	0.558070864141875	0.456574071544485	0.521201479962546	0.670426441670133
y200027	1.55298648880877	1.36270594348754	1.50983609951124	1.45663456249808
y200028	1.08631673479788	0.896034521539971	1.04316614618904	0.989963828997315
y200029	1.0863201305078	0.896041252939371	1.04317007105923	0.989969251215307
y200030	1.55298764790081	1.36270824118163	1.50983743922511	1.45663641331762
y200031	1.55298764790031	1.36270824118103	1.50983743922372	1.45663641331774
y200032	1.06606571188678	0.840535647087026	1.02107392063826	0.858303771156334
y200033	1.0863201305072	0.896041252941336	1.04317007105922	0.63654674368297
y200034	0.479314957249751	0.269047910523006	0.436163403950468	0.315103815355821
y200035	1.55298764790108	1.36270824118104	1.5098374392251	1.4566364133176
y200036	-1.39235403070628	-1.25953625286828	-1.31776671664329	-1.24780017007174
y300001	NA	NA	NA	NA
y300002	NA	NA	NA	NA
y300004	3	NA	3	NA
y300006	-0.755208125586813	NA	NA	NA
y300008	NA	2.1686354998295	NA	2.24860644798047
y300009	-3.53068680535172	-3.28373436771305	-3.53674102265421	-3.22435927371241
y300014	NA	NA	NA	NA
y300017	NA	NA	NA	NA
y300021	NA	NA	NA	NA
y300025	NA	NA	NA	NA
y300026	NA	NA	NA	NA
y300031	NA	NA	NA	NA
y300032	NA	NA	NA	NA
y300040	NA	NA	NA	NA
y300044	NA	NA	NA	NA
y300045	NA	NA	NA	NA
y300046	NA	NA	NA	NA
y300048	NA	NA	NA	NA
y300050	-0.269384862184366	-0.0221141557614946	-0.264286987311177	0.266247066576369
y300051	-0.55185530958435	-0.323144151422791	-0.558112643977523	-0.0745432164468049
y300052	-0.55185530958435	-0.323144151422791	-0.558112643977523	-0.0745432164468049
y300054	-0.250825313921102	-0.0221141557603434	-0.257082648313607	0.226486779216963
y300055	-0.250825313921102	-0.0221141557623368	-0.257082648328611	0.226486779216963
y300056	NA	NA	NA	NA
y300058	NA	NA	NA	NA
y300059	-0.269384862184366	NA	NA	0.266247066576369
y300060	-0.472674063542457	-0.243962905377212	-0.478931397933308	0.186806212857565
y300061	-0.472674063559003	-0.243962905382015	-0.478931397928962	0.186806212858407
y300062	-2.02402645627665	-1.79531529811551	-2.03028379067254	-1.34395344005918
y300063	NA	NA	NA	2.05530137063205
y300065	0.379227946147229	-0.561281921795593	0.332197986791773	0.0454262414485711
y300066	0.379227946147229	0.117892702176093	0.332197986791773	0.0454262414485711
y300067	NA	NA	NA	NA
y300068	NA	NA	NA	NA
y300069	-0.472674063545241	-0.243962905385809	-0.478931397946342	0.186806212857548
y300070	NA	NA	NA	NA
y300072	NA	NA	NA	NA
y300073	-0.472674063542305	-0.243962905375907	-0.47893139794408	0.186806212858167
y300074	-0.250825313932446	-0.0221141557570888	-0.257082648302102	0.408654962474202
y300075	-0.250825313938172	-0.0221141557649069	-0.257082648301818	0.408654962474039
y300078	NA	NA	NA	NA
