Gene	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
gene_1141	1	4	3
gene_1142	0	0	0
gene_1143	1368	1396	1269
gene_1144	1596	1867	1500
gene_1145	697	619	720
gene_1147	6114	6447	6341
gene_1148	3179	3342	2919
gene_1149	1925	2101	2070
gene_1150	1570	1719	1613
gene_1151	2125	2397	2214
gene_1152	797	851	752
gene_1153	1483	1672	1474
gene_1154	183	306	205
gene_1155	22558	23280	21327
gene_1156	3575	3860	3397
gene_1157	614	599	515
gene_1158	5804	6301	5681
gene_1159	4569	4965	4523
gene_1160	3376	3902	4148
gene_1161	342	381	360
gene_1162	294	333	308
gene_1163	6	0	1
gene_1164	2	1	2
gene_1165	1404	1621	1432
gene_1166	4578	5351	4807
gene_1167	13	27	22
gene_1168	1393	1477	1283
gene_1169	782	867	904
gene_1170	273	272	288
gene_1171	1967	2364	2018
gene_1172	5276	5530	5539
gene_1173	965	889	919
gene_1174	877	1039	1066
gene_1175	1058	1171	1062
gene_1176	1383	1564	1319
gene_1177	408	494	464
gene_1178	1491	1598	1357
gene_1179	6152	5021	4668
gene_1180	2100	2256	1871
gene_1181	2311	2669	2367
gene_1182	1312	1286	1248
gene_1183	1553	1479	1288
gene_1186	3624	4146	3972
gene_1187	24	25	22
gene_1188	5357	5883	5075
gene_1189	1130	1213	1181
gene_1190	917	1105	966
gene_1191	761	858	907
gene_1192	724	910	670
gene_1193	62	88	37
gene_1194	2	0	2
gene_1195	761	930	870
gene_1196	17	9	10
gene_1197	2880	3532	3029
gene_1198	340	367	264
gene_1199	1168	1317	1270
gene_1200	4473	5002	4265
gene_1201	708	833	806
gene_1202	3255	3797	3317
gene_1203	2079	2494	2294
gene_1204	13	7	8
gene_1205	1840	2176	1790
gene_1206	1834	1991	1501
gene_1207	627	698	606
gene_1208	870	901	806
gene_1209	4720	4840	4923
gene_1210	746	877	820
gene_1211	16	5	12
gene_1213	613	602	613
gene_1214	1093	1310	1317
gene_1215	332	249	396
gene_1216	226	326	255
gene_1217	176	164	144
gene_1218	2158	2222	2123
gene_1219	3246	3429	3103
gene_1220	1145	1236	1223
gene_1221	49	67	33
gene_1222	403	459	477
gene_1223	601	742	783
gene_1224	1483	1663	1545
gene_1225	96	118	97
gene_1226	395	471	523
gene_1227	12	2	4
gene_1228	3682	4116	3536
gene_1229	861	922	840
gene_1230	0	0	0
gene_1233	0	0	0
gene_1234	0	0	0
gene_1235	10	0	2
gene_1236	2906	2936	2625
gene_1237	4107	4839	4276
gene_1238	5663	5966	5362
gene_1239	2975	3461	3298
gene_1241	69	102	65
gene_1242	1942	2168	1969
gene_1243	1092	1135	1055
gene_1244	8	0	2
gene_1245	0	0	4
gene_1246	0	0	0
gene_1247	0	0	0
gene_1248	492	532	433
gene_1249	4545	5175	4628
gene_1250	2491	2548	2323
gene_1251	3960	4262	4076
gene_1252	0	0	0
gene_1253	14	10	0
gene_1254	660	718	714
gene_1255	3115	3328	3205
gene_1256	4505	4948	4784
gene_1257	0	1	1
gene_1258	9	1	0
gene_1259	4	0	8
gene_1260	177	200	179
gene_1261	262	300	286
gene_1262	2612	3251	2576
gene_1263	11237	12667	11802
gene_1264	8	2	0
gene_1266	0	2	0
gene_1268	0	0	0
gene_1269	4	0	0
gene_1270	69	105	71
gene_1271	1606	1868	1773
gene_1272	1156	1154	1051
gene_1273	596	573	488
gene_1274	379	456	364
gene_1275	8	1	2
gene_1276	1052	1151	991
gene_1277	1357	1645	1384
gene_1278	2231	2245	2089
gene_1279	529	686	442
gene_1280	768	910	746
gene_1281	985	1003	955
gene_1282	1413	1294	1321
gene_1283	591	541	585
gene_1284	455	599	507
gene_1285	122	134	156
gene_1286	30	54	11
gene_1287	4	5	17
gene_1288	367	453	431
gene_1289	31	88	43
gene_1290	207	206	178
gene_1291	875	957	913
gene_1292	94	167	127
gene_1293	202	189	204
gene_1294	46	89	72
gene_6461	786	873	755
gene_6462	1038	1112	1039
gene_6463	26	14	8
gene_6464	6199	7102	6406
gene_6465	2223	2779	2250
gene_6466	46	20	28
gene_6467	440	407	510
gene_6468	468	526	508
gene_6469	919	998	905
gene_6470	86	87	123
gene_6471	100353	110973	101493
gene_6472	9844	11233	9858
gene_6473	217251	252580	225501
gene_6474	839	1017	782
gene_6475	696	772	793
gene_6476	810	854	706
gene_6477	1610	1796	1632
gene_6478	208	158	102
gene_6479	814	837	673
gene_6480	4155	3957	3736
gene_6481	308	286	274
gene_6482	848	927	824
gene_6484	10840	11739	10802
gene_6485	373	337	310
gene_6486	180	131	130
gene_6487	85	83	80
gene_6488	416	547	413
gene_6489	1629	1703	1478
gene_6490	1688	1704	1540
gene_6491	9021	9999	9335
gene_6492	5034	5955	5080
gene_6493	2923	3008	2909
gene_6494	484	614	510
gene_6495	255	280	240
gene_6496	389	440	423
gene_6497	4613	4885	4670
gene_6498	9	9	2
gene_6499	72	69	67
gene_6500	1827	1722	1803
gene_6501	2637	2699	2750
gene_6502	2345	2702	2296
gene_6503	458	545	675
gene_6504	3784	4141	3856
gene_6505	439	521	387
gene_6506	2570	2810	2533
gene_6508	2378	2784	2533
gene_6509	573	705	628
gene_6510	16215	17539	16592
gene_6511	1157	1278	1104
gene_6512	601	879	651
gene_6513	630	613	604
gene_6514	4958	5958	5247
gene_6515	319	383	383
gene_6517	840	920	902
gene_6518	1463	1576	1519
gene_6519	81	148	110
gene_6520	4048	4337	4130
gene_6522	27816	33024	29492
gene_6523	143	169	159
gene_6524	1946	1901	1980
gene_6525	625	670	709
gene_6526	2401	2708	2367
gene_6528	2989	3435	3195
gene_6529	2326	2362	2286
gene_6530	5730	6495	6289
gene_6531	9052	10021	9121
gene_6532	17536	17807	17223
gene_6533	5209	6142	5244
gene_6534	1504	1585	1424
gene_6535	5492	6015	5631
gene_6536	8202	8888	7668
gene_6537	1299	1411	1192
gene_6538	711	960	878
gene_6539	5120	5646	5418
gene_6540	5459	6147	5194
gene_6541	25	22	17
gene_6542	91	74	82
gene_6543	624	668	538
gene_6544	468	446	472
gene_6546	1655	1722	1519
gene_6548	17741	18266	16870
gene_6549	1410	1385	1289
gene_6551	26506	28878	26791
gene_6552	18496	20914	19125
gene_6553	290	368	347
gene_6555	1760	1685	1711
gene_6556	773	767	744
gene_6557	3250	3765	3220
gene_6558	401	445	442
gene_6559	12774	12343	11633
gene_6560	2273	2440	2413
gene_6561	9968	10914	10474
gene_6562	2496	2493	2255
gene_6563	3396	3477	3243
gene_6564	2412	2407	2390
gene_6565	11227	11929	11272
gene_6566	2825	3158	2871
gene_6567	20282	23008	21362
gene_6568	648	862	801
gene_6569	7848	8413	7261
gene_6570	965	1016	823
gene_6571	2352	2539	2260
gene_6572	249	281	266
gene_6573	4377	4512	4078
gene_6575	2750	2609	2538
gene_6576	1098	1113	1081
gene_6577	1556	1809	1579
gene_6578	152	147	142
gene_6579	3862	4365	4291
gene_6580	3344	3626	3181
gene_6581	1586	1769	1450
gene_6582	2731	3385	3321
gene_6583	1299	1217	1229
gene_6584	604	604	634
gene_6585	898	925	909
gene_6586	369	297	396
gene_6587	3751	4495	3959
gene_6588	1173	1345	1276
gene_6589	0	0	0
gene_6590	0	0	0
gene_6591	1986	2189	1985
gene_6592	2392	2450	2390
gene_6593	27894	30702	29635
gene_6594	1204	1262	1090
gene_6595	1002	903	962
gene_6596	554	590	564
gene_6597	11	0	5
gene_6599	1466	1757	1608
gene_6600	197	220	238
gene_6601	62	54	60
gene_6602	1455	1655	1447
gene_6603	4797	5226	4693
gene_6604	857	1157	935
gene_6605	43	63	71
gene_6606	1	1	7
gene_6608	4473	4984	4536
gene_6609	8614	9950	8730
gene_6610	10512	11434	10989
gene_6611	260	282	250
gene_6612	1834	2086	1925
gene_6613	2135	2170	1975
gene_6614	2144	2355	2091
gene_6615	977	993	954
gene_6616	292	287	262
gene_6617	2726	2935	2674
gene_6618	1448	1210	1253
gene_6619	458	554	522
gene_6620	7125	7470	6794
gene_6621	239	305	220
gene_6622	2980	3276	3051
gene_6623	1681	2101	1884
gene_6624	2258	2371	2493
gene_6626	250	250	284
gene_6627	840	970	731
gene_6628	1095	1217	1041
gene_6629	1007	1033	1011
gene_6630	292	384	297
gene_6631	57	49	64
gene_6632	304	297	329
gene_6635	386	400	405
gene_6636	1786	2025	1889
gene_6637	327	414	360
gene_6638	1501	1759	1601
gene_6639	3073	3256	3087
gene_6640	1066	1075	1035
gene_6641	199	240	230
gene_6642	169	212	253
gene_6643	1297	1663	1409
gene_6644	111	106	116
gene_6645	1564	1984	1696
gene_6646	623	675	697
gene_6647	712	808	660
gene_6648	0	0	0
gene_6649	4	0	0
gene_6650	4	0	0
gene_6651	901	920	929
gene_6652	2776	3134	2692
gene_6653	1699	1651	1820
gene_6654	74	25	41
gene_6655	10144	10882	9523
gene_6656	891	814	814
gene_6657	842	897	797
gene_6658	16	5	1
gene_6659	6	0	6
gene_6660	183	197	164
gene_6661	963	979	848
gene_6662	1833	2005	1870
gene_6663	2050	2142	2282
gene_6664	2411	2522	2341
gene_6665	960	846	937
gene_6666	1445	1633	1511
gene_6667	1265	1436	1224
gene_6668	2162	2155	2030
gene_6669	1030	871	885
gene_6670	710	813	786
gene_6671	2243	2356	2277
gene_6672	1485	1721	1685
gene_6673	12387	12824	12195
gene_6675	7809	8371	7958
gene_6676	2195	2500	2289
gene_6678	1921	2067	2072
gene_6679	149	133	168
gene_6680	1488	1537	1483
gene_6681	2714	3046	2823
gene_6682	173	140	127
gene_6683	6440	7013	6581
gene_6684	3581	3912	3826
gene_6685	620	652	570
gene_6686	2969	3024	2703
gene_6688	6	0	2
gene_6689	533	553	484
gene_6690	1679	1475	1559
gene_6691	2777	2925	2784
gene_6692	23168	26146	24889
gene_6693	32	35	2
gene_6694	4428	4784	3935
gene_6695	645	739	717
gene_6697	395	430	354
gene_6698	212	225	147
gene_6699	2952	3017	2707
gene_6700	1399	1448	1371
gene_6701	2008	2206	2089
gene_6702	4449	5103	4937
gene_6703	6913	7225	7105
gene_6704	1029	1453	1119
gene_6705	2112	2347	2174
gene_6706	1603	1649	1527
gene_6707	236	190	189
gene_6708	8283	9609	9023
gene_6709	1032	1028	971
gene_6710	2774	3196	2863
gene_6711	3055	3486	3265
gene_6712	4266	4550	4136
gene_6713	496	572	565
gene_6714	1855	2144	2084
gene_6715	167	211	171
gene_6716	1540	1818	1431
gene_6717	651	701	656
gene_6718	1727	1865	1604
gene_6719	0	0	0
gene_6721	1	0	4
gene_6722	815	850	911
gene_6723	1361	1338	1290
gene_6724	843	962	760
gene_6725	1233	1140	1262
gene_6726	495	549	526
gene_6727	454	485	531
gene_6729	3284	3626	3547
gene_6730	0	0	0
gene_6731	4	2	0
gene_6732	0	0	0
gene_6733	4	1	0
gene_6734	8809	10047	8944
gene_6735	15838	17398	16008
gene_6736	697	732	679
gene_6737	862	793	837
gene_6738	803	974	907
gene_6739	1216	1303	1200
gene_6740	4	0	6
gene_6741	1589	1650	1636
gene_6744	2545	2769	2551
gene_6745	65	50	51
gene_6746	4221	4495	4167
gene_6747	4714	4928	4616
gene_6748	1516	1262	1225
gene_6749	777	798	745
gene_6750	1927	2118	1627
gene_6751	2	0	0
gene_6752	175	151	127
gene_6753	459	432	411
gene_6754	5	10	3
gene_6755	1381	1702	1464
gene_6756	480	589	454
gene_6757	7352	8331	7401
gene_6758	914	985	824
gene_6759	22	50	15
gene_6760	8	3	7
gene_6761	294	265	241
gene_6762	3852	4004	4007
gene_6764	2	0	4
gene_6765	628	673	653
gene_6766	2164	2489	2414
gene_6767	9	14	15
gene_6768	1280	1396	1344
gene_6769	2917	3255	3037
gene_6770	1419	1374	1359
gene_6771	746	892	825
gene_6772	3881	4095	3369
gene_6773	8567	9413	8749
gene_6774	11289	11895	11428
gene_6775	2535	3018	2660
gene_6776	3844	4567	3884
gene_6777	14410	15892	14534
gene_6778	710	687	684
gene_6779	768	631	602
gene_6780	1054	1055	1044
gene_6781	16191	17519	16025
gene_6782	318	426	347
gene_6783	1286	1588	1304
gene_6784	1377	1437	1455
gene_6785	18121	19356	18124
gene_6786	808	1115	937
gene_6788	517	500	412
gene_6789	3604	3943	3808
gene_6790	1101	1100	1172
gene_6791	2429	2647	2425
gene_6792	1242	1292	1098
gene_6793	5376	5306	4821
gene_6794	453	560	463
gene_6795	1793	1587	1679
gene_6796	179	196	204
gene_6797	1327	1536	1440
gene_6798	2083	1853	1861
gene_6799	370	269	322
gene_6800	200	285	232
gene_6801	720	906	775
gene_6802	2701	2926	2788
gene_6803	3794	4215	3651
gene_6804	31	27	13
gene_6805	6	1	2
gene_6806	4270	4530	4063
gene_6807	782	924	906
gene_6808	142	190	138
gene_6809	5	10	5
gene_6810	7045	7640	7288
gene_6811	4427	4953	4332
gene_6813	5	11	0
gene_6814	7734	7845	7980
gene_6815	871	909	851
gene_6816	2600	3040	2548
gene_6817	825	1043	902
gene_6818	4206	4673	4022
gene_6819	1309	1447	1411
gene_6820	892	997	957
gene_6821	2242	2518	2411
gene_6823	0	0	0
gene_6824	1594	1897	1730
gene_6825	1771	2037	1808
gene_6826	2755	3007	2696
gene_6827	1963	2017	1817
gene_6828	1310	1561	1454
gene_6829	0	4	0
gene_6830	974	969	984
gene_6831	2662	2963	2630
gene_6832	245	275	284
gene_6833	152	156	159
gene_6834	8913	9465	9209
gene_6835	0	2	6
gene_6836	2	0	0
gene_6837	220	266	305
gene_6838	148	143	137
gene_6839	5522	6425	5469
gene_6841	4992	5778	5004
gene_6842	3186	3170	3001
gene_6843	895	985	900
gene_6844	3477	3665	3578
gene_6845	6	0	0
gene_6846	0	0	0
gene_6849	14642	14950	14084
gene_6850	212	241	228
gene_6851	2666	3142	2819
gene_6852	4523	4992	4520
gene_6853	0	0	0
gene_6855	0	0	0
gene_6856	2796	2918	2804
gene_6857	569	531	462
gene_6858	24	10	8
gene_6860	128	163	122
gene_6861	715	758	691
gene_6862	371	415	328
gene_6863	56	55	40
gene_6864	260	275	250
gene_6865	31	14	5
gene_6867	0	0	0
gene_6868	0	0	0
gene_6869	0	0	0
gene_6870	0	0	0
gene_6871	814	908	722
gene_6872	606	695	708
gene_6873	2269	2234	1968
gene_6874	310	297	294
gene_6875	1483	1531	1282
gene_6876	1681	1676	1504
gene_6877	3490	3206	3122
gene_6878	747	673	625
gene_6879	86	104	60
gene_6880	75	62	73
gene_6881	2	1	3
gene_6882	0	0	0
gene_6883	0	0	0
gene_6884	0	0	0
gene_6885	10	4	11
gene_6886	3	9	13
gene_6887	794	832	730
gene_6888	1166	1207	1167
gene_6889	1	2	0
gene_6890	1106	1238	1085
gene_6891	73	77	106
gene_6892	1	0	0
gene_6893	0	0	0
gene_6894	0	2	0
gene_6895	4	0	0
gene_6896	0	0	0
gene_6897	250	230	229
gene_6898	1002	1179	952
gene_6899	49	4	11
gene_6900	28	26	29
gene_6901	2	0	0
gene_6902	7	14	12
gene_6903	374	391	325
gene_6904	14	4	5
gene_6905	4	0	0
gene_6906	10	2	2
gene_6907	2105	2094	1842
gene_6908	4	4	6
gene_6911	1531	1731	1619
gene_6912	284	363	387
gene_6913	271	290	253
gene_6914	309	369	234
gene_6915	23	21	36
gene_6916	2	6	11
gene_6917	1604	1796	1397
gene_6918	11	28	11
gene_6919	172	212	139
gene_6920	1938	2440	2076
gene_6921	711	703	639
gene_6922	11	8	11
gene_6923	956	1010	953
gene_6924	3213	3335	3164
gene_6925	812	973	875
gene_6926	120	103	85
gene_6927	916	983	813
gene_6928	0	0	0
gene_6929	17	6	22
gene_6931	572	666	615
gene_6932	10667	11207	9971
gene_6933	1374	1447	1377
gene_6934	187	206	242
gene_6935	74	68	61
gene_6936	0	4	12
gene_6937	1629	1866	1770
gene_6938	545	821	663
gene_6939	466	535	500
gene_6940	1004	1010	965
gene_6941	592	549	629
gene_6943	1080	1182	1158
gene_6944	2065	2581	2360
gene_6945	62	91	63
gene_6946	745	841	753
gene_6947	924	1028	859
gene_6948	3343	3844	3458
gene_6949	0	0	2
gene_6951	0	0	0
gene_6953	16	17	25
gene_6954	189	184	163
gene_6955	73	33	37
gene_6956	1778	1765	1791
gene_6957	1419	1418	1356
gene_6958	4498	4332	4178
gene_6959	1309	1400	1337
gene_6960	20181	21957	20220
gene_6961	2506	3031	3049
gene_6962	161	155	117
gene_6963	0	0	0
gene_6964	12	4	15
gene_6965	651	679	688
gene_6966	0	0	0
gene_6967	22	10	22
gene_6969	6048	6493	5875
gene_6971	1026	966	889
gene_6972	1716	1901	1621
gene_6973	1719	1916	1637
gene_6974	217	245	228
gene_6975	1579	1545	1568
gene_6977	164	129	147
gene_6978	3052	3139	2750
gene_6979	3039	3287	2970
gene_6980	6218	6922	6089
gene_6981	6039	5472	5206
gene_6982	2635	2940	2789
gene_6983	0	0	0
gene_6984	6	0	0
gene_6985	11718	13462	12508
gene_6986	4136	4685	4093
gene_6987	52	66	43
gene_6988	3774	4432	4014
gene_6989	594	541	537
gene_6990	1072	1409	1226
gene_6991	46	51	41
gene_6992	347	417	304
gene_6993	35	27	12
gene_6994	10	1	9
gene_6995	2086	2328	2134
gene_6996	1595	1803	1755
gene_6997	811	707	795
gene_6998	6629	6946	6196
gene_6999	2732	3095	2972
gene_7000	42	23	33
gene_7001	4700	4910	4708
gene_7002	4304	4684	4338
gene_7003	331	471	405
gene_7004	2727	3043	2821
gene_7005	1352	1367	1234
gene_7006	0	0	0
gene_7007	0	0	0
gene_7008	0	0	0
gene_7009	1671	1821	1643
gene_7010	2143	2534	2434
gene_7011	1053	1220	1099
gene_7012	884	1036	968
gene_7013	3011	3302	2999
gene_7014	0	0	0
gene_7015	17	2	2
gene_7016	8256	9004	8298
gene_7017	2181	2562	2654
gene_7018	1796	2269	1998
gene_7019	317	385	381
gene_7020	2633	2672	2574
gene_7021	570	660	631
gene_7022	39365	42918	38537
gene_7023	3299	3840	3383
gene_7024	1412	1454	1133
gene_7025	3976	3427	3273
gene_7026	1367	1598	1560
gene_7027	3037	3277	2930
gene_7029	59312	62856	59464
gene_7030	3755	4175	3984
gene_7034	489	504	439
gene_7035	494	597	456
gene_7036	1199	1517	1431
gene_7037	984	1150	1004
gene_7038	2897	3226	2964
gene_7039	1482	1594	1507
gene_7040	0	0	0
gene_7041	1735	1666	1509
gene_7042	7247	8123	7812
gene_7043	436	493	509
gene_7044	882	855	714
gene_7045	48	19	75
gene_7046	687	673	721
gene_7047	943	992	957
gene_7050	380	389	380
gene_7049	359	349	346
gene_7052	6490	7169	6689
gene_7053	263	397	258
gene_7054	2368	2673	2439
gene_7055	1316	1413	1541
gene_7056	174	173	188
gene_7057	31	7	20
gene_7058	2502	2717	2587
gene_7059	3635	3712	3639
gene_7060	1408	1513	1394
gene_7061	4668	5043	4581
gene_7062	7331	8185	7379
gene_7063	9032	8761	8452
gene_7064	3899	4414	4319
gene_7065	2731	3294	3054
gene_7066	2295	2433	2517
gene_7067	180	224	189
gene_7068	781	742	680
gene_7069	259	229	234
gene_7070	528	616	490
gene_7071	174	142	153
gene_7072	236	318	252
gene_7073	8132	8651	8102
gene_7074	629	698	617
gene_7075	1246	1331	1272
gene_7076	3070	3108	3013
gene_7077	2294	2555	2223
gene_7078	1279	1212	1368
gene_7079	829	942	899
gene_7080	4127	4608	3799
gene_7081	1106	1269	1201
gene_7082	302	282	309
gene_7083	1942	2124	2145
gene_7084	480	673	561
gene_7085	3720	4190	4188
gene_7086	1148	1247	1085
gene_7087	720	866	720
gene_7088	411	506	394
gene_7089	168	246	296
gene_7090	1783	1624	1645
gene_7091	3016	3261	3189
gene_7092	1766	2038	1934
gene_7093	2443	2948	2722
gene_7094	1616	1798	1725
gene_7095	1410	1615	1397
gene_7096	1946	2385	2073
gene_7097	1977	2042	2069
gene_7098	6870	6948	6495
gene_7099	2653	2923	2610
gene_7100	2230	2458	2229
gene_7101	2769	2926	2932
gene_7102	266	320	323
gene_7103	3636	3879	3508
gene_7105	1892	2355	2222
gene_7106	120	172	122
gene_7108	505	648	550
gene_7109	11627	13223	11507
gene_7110	1740	2020	1820
gene_7111	3170	3506	3420
gene_7112	8205	8723	7867
gene_7113	27207	27889	25858
gene_7114	187	233	145
gene_7115	12362	12817	11486
gene_7116	3228	3849	3253
gene_7117	1209	1344	1263
gene_7118	3970	4475	4424
gene_7119	15808	17596	16814
gene_7120	377	449	339
gene_7121	1611	2127	1740
gene_7122	0	0	0
gene_7123	0	0	0
gene_7124	0	0	0
gene_7125	4480	4673	4169
gene_7126	4186	4916	4458
gene_7127	366	423	363
gene_7129	0	0	0
gene_7130	916	1124	997
gene_7131	3925	4275	4077
gene_7132	2617	2976	2667
gene_7133	44	37	23
gene_7134	15	15	10
gene_7135	1103	1292	1063
gene_7136	1495	1614	1412
gene_7137	689	634	685
gene_7138	6	7	10
gene_7139	17	11	3
gene_7140	3838	3878	3864
gene_7141	1642	1448	1400
gene_7142	2963	3483	3038
gene_7143	2	0	0
gene_7144	0	0	0
gene_7145	0	0	0
gene_7146	0	2	2
gene_7147	677	715	703
gene_7148	731	767	731
gene_7150	2	0	1
gene_7152	701	773	622
gene_7153	1870	1973	1632
gene_7154	733	736	715
gene_7155	1996	2439	2355
gene_7156	1170	1286	1247
gene_7157	125	172	143
gene_7158	4	6	0
gene_7159	2939	3244	3297
gene_7160	25	31	19
gene_7161	2307	2335	2282
gene_7162	1582	1820	1620
gene_7163	1510	1417	1512
gene_7164	5556	6595	5961
gene_7165	3453	3816	3477
gene_7166	7412	7623	6822
gene_7167	1222	1327	1263
gene_7168	943	1001	926
gene_7169	711	900	698
gene_7170	29	13	20
gene_7171	390	427	296
gene_7172	220	261	226
gene_7173	5194	5674	5234
gene_7174	1454	1651	1585
gene_7175	19442	21984	20329
gene_7176	26032	31894	28778
gene_7177	839	1004	865
gene_7178	0	2	0
gene_7179	0	0	2
gene_7180	73	45	39
gene_7181	662	675	592
gene_7182	36	39	50
gene_7183	37	28	24
gene_7184	4853	5192	5173
gene_7185	41423	42626	39943
gene_7186	1663	1903	1764
gene_7187	9797	11302	10483
gene_7188	1166	1273	1215
gene_7189	143	110	97
gene_7190	2976	3415	3244
gene_7191	740	833	840
gene_7192	93	134	127
gene_7193	685	793	713
gene_7194	853	916	848
gene_7195	2727	3009	2723
gene_7196	1343	1564	1379
gene_7197	819	981	783
gene_7198	1957	2043	1825
gene_7199	1358	1565	1284
gene_7200	1047	1205	1027
gene_7201	2408	2034	2334
gene_7202	2340	2656	2475
gene_7203	3441	3396	3171
gene_7204	1106	1170	1005
gene_7205	4	0	0
gene_7206	1118	1101	1006
gene_7208	20	10	6
gene_7209	12449	13083	12261
gene_7210	1503	1556	1343
gene_7211	4216	4603	4478
gene_7212	38593	42870	39795
gene_7213	3483	3615	3346
gene_7214	8721	9413	8284
gene_7215	775	825	718
gene_7216	189	207	199
gene_7217	1523	1563	1667
gene_7218	2434	2445	2225
gene_7220	1365	1479	1433
gene_7221	973	1076	1023
gene_7222	453	507	532
gene_7223	0	1	2
gene_7224	2	0	0
gene_7225	413	585	489
gene_7226	5827	6231	5442
gene_7227	488	463	492
gene_7228	955	964	927
gene_7229	562	638	629
gene_7230	1249	1220	1278
gene_7231	1694	1988	1883
gene_7232	384	455	393
gene_7233	759	794	671
gene_7234	657	748	574
gene_7235	0	0	0
gene_7236	1569	1861	1621
gene_7237	2094	2393	2281
gene_7238	527	585	531
gene_7239	996	1095	1120
gene_7240	5463	6006	5622
gene_7241	298	246	250
gene_7242	12884	14872	14207
gene_7243	101	94	79
gene_7244	5832	6557	5967
gene_7245	0	0	0
gene_7246	0	0	0
gene_7247	0	0	0
gene_7248	0	0	0
gene_7249	433	520	502
gene_7250	847	1063	915
gene_7251	2538	2805	2379
gene_7252	2484	2620	2436
gene_7253	1239	1410	1226
gene_7254	904	994	993
gene_7255	1949	2319	2000
gene_7256	2274	2573	2205
gene_7257	1424	1578	1368
gene_7258	34	9	14
gene_7259	0	0	0
gene_7260	643	541	502
gene_7261	2615	3006	2709
gene_7262	342	367	330
gene_7263	287	263	257
gene_7264	81	75	70
gene_7265	86	118	95
gene_7266	96	125	129
gene_7267	28	13	24
gene_7268	14	14	23
gene_7269	2618	2892	2714
gene_7270	1390	1371	1398
gene_7273	0	0	0
gene_7274	0	0	0
gene_7275	2406	2955	2625
gene_7277	3591	4095	3902
gene_7278	4	0	0
gene_7280	1027	936	981
gene_7281	2660	2491	2565
gene_7282	1190	1309	1249
gene_7283	0	0	0
gene_7284	2063	2144	2244
gene_7285	2872	3029	2816
gene_7286	1	3	3
gene_7287	4	9	4
gene_7288	5717	6112	5650
gene_7289	3785	4494	4046
gene_7290	0	0	0
gene_7291	0	0	0
gene_7292	2426	2559	2329
gene_7293	6	1	4
gene_7294	7	0	1
gene_7295	0	0	0
gene_7296	1788	1869	1612
gene_7297	289	230	310
gene_7298	581	811	597
gene_7299	656	712	651
gene_7300	75	59	65
gene_7301	553	617	594
gene_7302	537	505	463
gene_7303	4	2	0
gene_7304	864	922	746
gene_7305	2604	2880	2449
gene_7306	15502	18658	16789
gene_7307	0	0	0
gene_7308	3014	3174	2882
gene_7309	1008	1119	970
gene_7310	23063	25378	23132
gene_7311	1331	1431	1351
gene_7312	1296	1416	1194
gene_7313	970	1048	812
gene_7314	1644	1651	1768
gene_7315	33775	37525	34572
gene_7316	1087	1088	1023
gene_7317	0	0	1
gene_7318	0	0	0
gene_7319	0	0	0
gene_7320	0	0	0
gene_7321	1998	2012	2009
gene_7322	3187	3273	2698
gene_7323	1020	1302	1015
gene_7324	1831	2103	1928
gene_7325	64	109	95
gene_7326	5004	5261	4712
gene_7327	742	842	709
gene_7328	1785	2034	1632
gene_7329	49	61	57
gene_7330	499	514	597
gene_7331	13664	15190	14304
gene_7332	21813	24227	20120
gene_7333	275	360	273
gene_7334	32	22	18
gene_7335	26	26	14
gene_7337	8	0	1
gene_7338	0	0	0
gene_7339	241	264	256
gene_7340	109	172	114
gene_7341	3117	3622	3125
gene_7342	371	457	467
gene_7343	0	0	2
gene_7344	1368	1328	1259
gene_7345	430	473	432
gene_7346	397	307	449
gene_7347	1241	1392	1370
gene_7348	1156	1057	1035
gene_7349	5903	5604	5489
gene_7350	439	556	380
gene_7351	0	0	0
gene_7352	623	696	594
gene_7353	725	780	728
gene_7354	1492	1761	1536
gene_7355	2462	2538	2449
gene_7356	1061	1153	972
gene_7357	216	278	231
gene_7358	298	403	320
gene_7359	6	2	16
gene_7360	2497	2537	2153
gene_7361	6544	8669	7301
gene_7362	1021	1056	1047
gene_7363	2426	2647	2510
gene_7364	2453	2763	2601
gene_7365	791	818	959
gene_7366	152	145	126
gene_7368	7136	7712	7275
gene_7369	19	26	19
gene_7370	65	44	63
gene_7371	2592	2736	2389
gene_7372	537	711	695
gene_7373	329	397	324
gene_7374	1325	1475	1230
gene_7375	625	791	621
gene_7376	140	142	114
gene_7377	401	400	339
gene_7378	701	788	615
gene_7379	1042	1371	1173
gene_7380	2286	2020	2106
gene_7381	4652	5069	4698
gene_7382	342	476	352
gene_7383	586	788	774
gene_7384	1144	1213	1300
gene_7385	1233	1328	1217
gene_7386	1585	1490	1412
gene_7387	765	990	841
gene_7388	1911	2106	1839
gene_7389	595	699	677
gene_7390	219	261	212
gene_7391	421	356	392
gene_7392	10	0	3
gene_7393	3060	3101	2823
gene_7394	507	540	481
gene_7395	1430	1597	1569
gene_7396	857	846	934
gene_7397	89	99	105
gene_7398	431	430	527
gene_7399	978	1026	1079
gene_7400	3102	3019	2929
gene_7401	2870	3079	3007
gene_7402	1375	1328	1507
gene_7403	229	280	241
gene_7404	3197	3162	3008
gene_7405	512	489	562
gene_7406	957	1078	912
gene_7407	2867	3028	3003
gene_7408	3320	3932	3712
gene_7409	5724	6299	6090
gene_7410	2633	2559	2347
gene_7411	1754	2038	1918
