Gene	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
gene_262	2764	3078	2591
gene_263	470	438	387
gene_264	616	714	747
gene_265	752	798	705
gene_266	10240	10816	10717
gene_267	125	151	169
gene_268	3369	4281	3543
gene_269	3795	4174	3833
gene_270	1182	1273	1207
gene_271	3659	3769	3759
gene_272	17816	20002	18957
gene_273	6587	6670	6400
gene_274	287	189	284
gene_276	0	0	1
gene_277	562	704	668
gene_278	1319	1399	1250
gene_279	1335	1700	1571
gene_280	1783	1856	1669
gene_281	1158	1309	1406
gene_282	924	1112	819
gene_283	22	48	67
gene_284	1112	1150	1010
gene_285	1575	1946	1617
gene_286	533	566	594
gene_287	2349	2532	2283
gene_289	5045	5180	4999
gene_290	768	896	759
gene_291	228	255	231
gene_292	2851	3329	3125
gene_293	1608	1982	1790
gene_294	509	601	510
gene_295	156	162	136
gene_296	2796	2959	2646
gene_297	5	11	2
gene_298	860	964	882
gene_299	2420	2479	2191
gene_300	9095	10009	9219
gene_301	1795	2110	1974
gene_302	7	9	10
gene_303	1020	1015	1122
gene_304	36	23	27
gene_305	2303	2582	2478
gene_306	357	409	386
gene_307	7674	8904	8464
gene_308	4092	4110	3734
gene_309	71	57	71
gene_310	984	1055	1098
gene_311	699	838	819
gene_312	368	475	465
gene_313	1218	1431	1292
gene_314	627	740	653
gene_315	285	425	347
gene_316	2675	3044	2784
gene_318	3612	3429	3267
gene_319	0	0	0
gene_320	1	0	0
gene_321	0	0	0
gene_322	339	307	355
gene_323	5217	5705	5402
gene_324	3446	3885	3848
gene_325	5728	6276	6119
gene_326	1941	1981	2077
gene_327	12	3	10
gene_328	8701	9696	8992
gene_329	1270	1331	1194
gene_330	21738	25645	22639
gene_331	1720	1859	1753
gene_332	8460	9628	9198
gene_333	864	876	879
gene_334	1631	1678	1443
gene_335	124	154	135
gene_336	332	428	303
gene_337	1098	1224	1174
gene_338	73	117	129
gene_339	264	248	235
gene_340	0	0	0
gene_341	1721	1973	1885
gene_342	21021	22867	21533
gene_343	2004	2378	2015
gene_344	4403	5273	4531
gene_345	1087	1294	1269
gene_346	3514	4073	3835
gene_347	1503	1603	1626
gene_348	2024	2199	1822
gene_349	1715	1794	1591
gene_350	1424	1392	1197
gene_353	3133	3405	3066
gene_354	87	101	59
gene_355	2087	2349	2215
gene_356	3444	3451	3395
gene_357	553	549	552
gene_358	2459	2607	2414
gene_359	935	1067	864
gene_360	14055	15574	14001
gene_361	759	840	775
gene_362	3397	4128	3532
gene_363	1561	1491	1476
gene_364	920	915	926
gene_365	1256	1393	1099
gene_366	6063	6265	6051
gene_367	560	543	581
gene_368	230	364	297
gene_369	813	850	888
gene_370	6216	7100	6463
