Gene	Par_Ac_1	Par_Ac_2	Par_Ac_3
gene_1143	2145	2091	1839
gene_1144	2414	2081	2321
gene_1145	711	690	624
gene_1147	6349	6104	5749
gene_1148	1918	2097	1592
gene_1149	2492	2540	2339
gene_1150	1637	1892	1571
gene_1151	3053	3068	2653
gene_1152	678	737	651
gene_1153	1310	1448	1079
gene_1154	405	449	468
gene_1155	23009	23031	19260
gene_1156	3677	3779	3355
gene_1157	774	790	693
gene_1158	6623	6612	5625
gene_1159	4220	4230	3814
gene_1160	3840	3392	3014
gene_1161	868	869	718
gene_1162	592	743	607
gene_1163	0	8	2
gene_1164	2	7	4
gene_1165	1467	1553	1292
gene_1166	5567	5678	5045
gene_1167	23	25	19
gene_1168	1254	1306	1128
gene_1169	1089	1128	984
gene_1170	425	520	466
gene_1171	2271	2179	1930
gene_1172	4823	4816	4014
gene_1173	1054	1086	950
gene_1174	1766	1833	1560
gene_1175	1238	1099	990
gene_1176	1016	983	888
gene_1177	222	191	235
gene_1178	1724	1750	1624
gene_1179	5955	5536	7103
gene_1180	1612	1612	1572
gene_1181	3538	3620	3203
gene_1182	958	1083	886
gene_1183	1217	1254	1054
gene_1186	4763	4900	4348
gene_1187	22	33	42
gene_1188	3732	3987	3271
gene_1189	1444	1302	1270
gene_1190	1051	1016	871
gene_1191	665	602	490
gene_1192	457	525	382
gene_1193	36	38	42
gene_1194	9	0	0
gene_1195	1157	1181	1035
gene_1196	12	13	9
gene_1197	2765	2874	2602
gene_1198	218	225	175
gene_1199	1265	1387	1164
gene_1200	3234	3173	2636
gene_1201	1025	981	669
gene_1202	3670	3651	2787
gene_1203	2066	1947	1663
gene_1204	4	15	6
gene_1205	3487	3637	3059
gene_1206	2151	1954	2035
gene_1207	1092	1304	1084
gene_1208	941	1102	945
gene_1209	3988	3664	3564
gene_1210	923	931	836
gene_1211	15	27	11
gene_1213	1021	860	768
gene_1214	2098	1874	1748
gene_1215	667	658	560
gene_1216	498	490	335
gene_1217	277	333	257
gene_1218	3196	3240	2638
gene_1219	5612	5683	5127
gene_1220	2294	2288	2178
gene_1221	31	34	54
gene_1222	405	371	353
gene_1223	1511	1357	1059
gene_1224	4001	3476	3670
gene_1225	77	60	85
gene_1226	1122	1015	906
gene_1227	28	36	48
gene_1228	4148	4419	3767
gene_1229	1232	1457	1269
gene_1230	0	0	0
gene_1233	0	1	0
gene_1234	2	0	0
gene_1235	0	2	4
gene_1236	2391	2366	2162
gene_1237	4338	4273	3822
gene_1238	5853	5844	4859
gene_1239	4325	4231	3704
gene_1241	111	158	136
gene_1242	3135	3434	2920
gene_1243	1064	1193	1012
gene_1244	6	5	0
gene_1245	0	0	0
gene_1246	0	0	0
gene_1247	0	0	0
gene_1248	417	458	438
gene_1249	5671	5514	4948
gene_1250	3376	3047	2997
gene_1251	3663	3987	3164
gene_1252	0	0	0
gene_1253	2	6	0
gene_1254	1631	1597	1374
gene_1255	2894	3281	2425
gene_1256	3663	3963	3389
gene_1257	0	0	0
gene_1258	0	0	5
gene_1259	0	2	0
gene_1260	203	215	192
gene_1261	286	336	266
gene_1262	3414	3244	3332
gene_1263	12699	13234	10890
gene_1264	0	2	0
gene_1266	6	0	0
gene_1268	0	0	0
gene_1269	5	0	0
gene_1270	192	189	177
gene_1271	4276	4109	4007
gene_1272	1115	1107	940
gene_1273	819	754	797
gene_1274	661	824	752
gene_1275	2	6	5
gene_1276	1349	1496	1211
gene_1277	1867	2211	1781
gene_1278	2494	2745	2171
gene_1279	833	880	739
gene_1280	832	859	688
gene_1281	854	855	899
gene_1282	1202	1395	1130
gene_1283	881	872	757
gene_1284	438	344	376
gene_1285	183	201	182
gene_1286	71	45	60
gene_1287	8	4	3
gene_1288	434	375	280
gene_1289	71	41	28
gene_1290	17	21	22
gene_1291	104	66	96
gene_1292	11	7	9
gene_1293	40	56	59
gene_1294	68	127	80
gene_6461	1082	1198	846
gene_6462	1155	1271	1021
gene_6463	5	10	17
gene_6464	7088	6695	6355
gene_6465	2608	2702	2346
gene_6466	33	26	15
gene_6467	3248	3642	3181
gene_6468	1127	1190	1069
gene_6469	234	184	183
gene_6470	148	151	149
gene_6471	126686	122283	117429
gene_6472	11332	11848	10378
gene_6473	232016	245635	201156
gene_6474	888	918	773
gene_6475	570	716	559
gene_6476	969	905	799
gene_6477	1620	1795	1555
gene_6478	127	153	171
gene_6479	588	635	573
gene_6480	3266	2663	3199
gene_6481	195	155	174
gene_6482	668	810	668
gene_6484	6292	6077	5518
gene_6485	223	264	221
gene_6486	268	262	261
gene_6487	97	85	72
gene_6488	353	333	287
gene_6489	1452	1351	1219
gene_6490	1501	1406	1254
gene_6491	5971	5933	4716
gene_6492	7479	7710	6589
gene_6493	1650	1915	1485
gene_6494	662	618	579
gene_6495	395	405	238
gene_6496	784	710	703
gene_6497	5072	5282	4332
gene_6498	4	16	4
gene_6499	79	58	44
gene_6500	1980	1993	1714
gene_6501	2615	2496	2243
gene_6502	2110	2435	1787
gene_6503	1905	1814	1666
gene_6504	3847	4150	3283
gene_6505	427	461	459
gene_6506	3435	3430	3176
gene_6508	3319	3311	2875
gene_6509	912	964	725
gene_6510	15146	16037	13724
gene_6511	897	970	724
gene_6512	679	706	618
gene_6513	529	498	481
gene_6514	11008	9781	10360
gene_6515	246	310	240
gene_6517	126	115	122
gene_6518	1458	1440	1185
gene_6519	75	94	89
gene_6520	4560	4877	3852
gene_6522	56305	59595	47258
gene_6523	439	415	355
gene_6524	1751	1737	1607
gene_6525	552	591	521
gene_6526	1834	1940	1973
gene_6528	3203	3491	2904
gene_6529	2750	2836	2288
gene_6530	6757	7322	5765
gene_6531	7703	7664	6966
gene_6532	6579	6853	5925
gene_6533	6095	6002	5287
gene_6534	1544	1642	1483
gene_6535	4546	4442	3666
gene_6536	12845	12780	11392
gene_6537	1328	1472	1394
gene_6538	861	1043	909
gene_6539	8322	8239	7213
gene_6540	5304	5368	4724
gene_6541	28	4	9
gene_6542	70	42	24
gene_6543	700	792	714
gene_6544	913	896	748
gene_6546	2804	2737	2718
gene_6548	15202	14237	14380
gene_6549	1161	1327	972
gene_6551	36976	35090	34548
gene_6552	20314	19571	18923
gene_6553	278	217	219
gene_6555	2144	1845	1589
gene_6556	1006	1040	794
gene_6557	2684	2787	2446
gene_6558	577	545	482
gene_6559	22434	19377	22496
gene_6560	3401	3828	3150
gene_6561	3809	3457	3630
gene_6562	2016	2212	1695
gene_6563	1445	1553	1356
gene_6564	2087	2032	1887
gene_6565	14907	15544	12999
gene_6566	4018	3973	3331
gene_6567	15034	14882	12831
gene_6568	310	319	266
gene_6569	3509	3515	3115
gene_6570	715	614	566
gene_6571	1910	2054	1699
gene_6572	348	284	216
gene_6573	4205	4218	3512
gene_6575	3000	2767	3181
gene_6576	1059	1090	909
gene_6577	2305	2365	2084
gene_6578	87	135	102
gene_6579	5106	4764	4335
gene_6580	4295	4188	4250
gene_6581	1240	1328	1077
gene_6582	3070	2906	2752
gene_6583	1359	1322	1135
gene_6584	833	794	682
gene_6585	740	763	574
gene_6586	290	332	246
gene_6587	3861	3901	3359
gene_6588	1367	1548	1219
gene_6589	0	0	0
gene_6590	3	10	0
gene_6591	1475	1581	1307
gene_6592	1839	1702	1476
gene_6593	22603	22230	20255
gene_6594	2235	2344	2007
gene_6595	848	920	752
gene_6596	559	521	425
gene_6597	2	0	2
gene_6599	2693	2801	2540
gene_6600	402	484	399
gene_6601	61	48	43
gene_6602	1369	1294	1113
gene_6603	4412	4526	3587
gene_6604	1102	1068	951
gene_6605	99	107	105
gene_6606	11	4	7
gene_6608	4702	4805	3806
gene_6609	7936	8602	6940
gene_6610	3777	4210	3419
gene_6611	706	648	628
gene_6612	1099	1124	1000
gene_6613	2281	2304	2017
gene_6614	3535	3406	3367
gene_6615	1797	2043	1763
gene_6616	229	261	193
gene_6617	2577	2637	2313
gene_6618	1698	1806	2446
gene_6619	541	432	386
gene_6620	2415	2646	2253
gene_6621	735	704	635
gene_6622	2503	2440	2434
gene_6623	2414	2768	2191
gene_6624	3379	3142	3104
gene_6626	275	249	237
gene_6627	821	771	712
gene_6628	990	737	723
gene_6629	713	594	625
gene_6630	444	500	415
gene_6631	20	17	36
gene_6632	369	342	270
gene_6635	955	1087	958
gene_6636	2031	1939	1677
gene_6637	428	356	316
gene_6638	1378	1398	1164
gene_6639	3328	2999	3268
gene_6640	852	806	719
gene_6641	296	363	303
gene_6642	480	397	362
gene_6643	1725	1985	1722
gene_6644	136	107	103
gene_6645	1830	1899	1652
gene_6646	228	171	220
gene_6647	611	564	477
gene_6648	0	0	0
gene_6649	0	0	0
gene_6650	2	0	0
gene_6651	882	1039	750
gene_6652	3134	3151	2674
gene_6653	2462	2269	2164
gene_6654	33	63	31
gene_6655	14167	15126	12674
gene_6656	858	994	837
gene_6657	474	450	415
gene_6658	0	12	0
gene_6659	0	0	3
gene_6660	113	93	97
gene_6661	840	808	597
gene_6662	1875	1960	1535
gene_6663	2585	2454	2402
gene_6664	2019	2183	1787
gene_6665	900	953	756
gene_6666	1735	1733	1272
gene_6667	1439	1446	1142
gene_6668	3747	3365	3772
gene_6669	780	751	777
gene_6670	1627	1557	1425
gene_6671	1812	2047	1693
gene_6672	1688	1728	1546
gene_6673	8948	8934	8530
gene_6675	13247	14234	11191
gene_6676	1631	1531	1423
gene_6678	1806	1552	1648
gene_6679	132	124	132
gene_6680	1523	1419	1348
gene_6681	5031	4930	4163
gene_6682	323	253	256
gene_6683	15079	13797	14539
gene_6684	4035	4621	4134
gene_6685	773	967	749
gene_6686	2998	3250	2758
gene_6688	0	2	0
gene_6689	1024	1001	875
gene_6690	2214	1832	1937
gene_6691	2668	2794	2164
gene_6692	26205	26472	21793
gene_6693	169	161	185
gene_6694	4707	4810	4338
gene_6695	710	818	618
gene_6697	297	269	191
gene_6698	179	241	158
gene_6699	2842	2549	3114
gene_6700	1857	1758	1775
gene_6701	2139	2489	2071
gene_6702	4817	4643	4269
gene_6703	8843	8635	7950
gene_6704	1331	1390	1196
gene_6705	2020	2261	1851
gene_6706	1377	1366	1131
gene_6707	261	217	243
gene_6708	8807	9060	7983
gene_6709	1098	1175	899
gene_6710	3368	3437	3121
gene_6711	3263	3660	2958
gene_6712	6755	7107	5535
gene_6713	484	534	460
gene_6714	2867	3076	2681
gene_6715	438	372	364
gene_6716	1579	1687	1373
gene_6717	770	747	632
gene_6718	1638	1880	1464
gene_6719	0	0	0
gene_6721	2	2	0
gene_6722	1022	1067	933
gene_6723	1693	1729	1451
gene_6724	986	1079	877
gene_6725	1805	1717	1493
gene_6726	305	397	285
gene_6727	536	589	453
gene_6729	5089	5189	4588
gene_6730	0	0	0
gene_6731	4	6	0
gene_6732	0	0	0
gene_6733	0	2	2
gene_6734	9177	9271	7438
gene_6735	9779	9728	8605
gene_6736	1109	1024	1046
gene_6737	517	513	456
gene_6738	1991	1885	2427
gene_6739	1211	1222	1204
gene_6740	0	0	0
gene_6741	1795	1865	1553
gene_6744	2225	2400	1894
gene_6745	66	81	71
gene_6746	2977	3302	2597
gene_6747	4259	4591	4015
gene_6748	2335	2034	2381
gene_6749	644	709	775
gene_6750	2021	1849	1846
gene_6751	0	0	0
gene_6752	177	169	116
gene_6753	290	360	242
gene_6754	2	9	5
gene_6755	1709	1727	1480
gene_6756	351	439	304
gene_6757	9113	9570	8778
gene_6758	777	763	717
gene_6759	22	31	35
gene_6760	2	4	2
gene_6761	126	167	175
gene_6762	2918	2865	2484
gene_6764	0	0	2
gene_6765	709	680	533
gene_6766	2878	3046	2576
gene_6767	26	8	14
gene_6768	1342	1535	1113
gene_6769	3597	3830	3302
gene_6770	2047	2070	1603
gene_6771	936	1058	811
gene_6772	3051	3226	2618
gene_6773	7066	7725	6321
gene_6774	7642	8018	6592
gene_6775	3156	3187	2715
gene_6776	3699	4048	3229
gene_6777	13969	14899	12020
gene_6778	694	761	573
gene_6779	694	683	634
gene_6780	1173	1194	1061
gene_6781	27825	29778	23796
gene_6782	326	403	316
gene_6783	1568	1603	1373
gene_6784	2205	2101	1808
gene_6785	25145	24798	23036
gene_6786	783	710	704
gene_6788	356	438	401
gene_6789	3725	4014	3302
gene_6790	1105	1069	974
gene_6791	3053	3017	2325
gene_6792	678	784	627
gene_6793	6257	5526	6460
gene_6794	525	494	380
gene_6795	1814	1673	1857
gene_6796	483	492	459
gene_6797	1141	1165	998
gene_6798	1895	1736	1681
gene_6799	550	545	378
gene_6800	188	235	180
gene_6801	735	732	638
gene_6802	2434	2548	2111
gene_6803	3998	4140	3410
gene_6804	2	5	10
gene_6805	2	0	0
gene_6806	3764	3888	3497
gene_6807	1187	1120	1048
gene_6808	335	369	344
gene_6809	21	2	3
gene_6810	12195	12650	10686
gene_6811	6455	7036	5463
gene_6813	0	0	2
gene_6814	6775	6873	6750
gene_6815	1529	1577	1357
gene_6816	3626	3608	3158
gene_6817	1043	1089	989
gene_6818	5632	5441	4832
gene_6819	1381	1309	1176
gene_6820	780	738	602
gene_6821	1415	1590	1371
gene_6823	0	0	0
gene_6824	2196	2283	1809
gene_6825	1760	1933	1617
gene_6826	3004	3066	2425
gene_6827	2217	1967	1748
gene_6828	1098	1061	997
gene_6829	0	0	0
gene_6830	896	858	708
gene_6831	2330	2586	2231
gene_6832	793	802	728
gene_6833	106	96	62
gene_6834	10559	10379	9589
gene_6835	0	3	0
gene_6836	0	3	0
gene_6837	689	629	653
gene_6838	150	141	108
gene_6839	9639	9634	8197
gene_6841	2819	2849	2666
gene_6842	20601	22004	18387
gene_6843	2049	1991	1867
gene_6844	2702	2912	2348
gene_6845	0	0	0
gene_6846	0	0	0
gene_6849	12805	11365	13431
gene_6850	376	350	280
gene_6851	1984	2016	1717
gene_6852	4564	4938	4363
gene_6853	0	1	0
gene_6855	2	0	0
gene_6856	2368	2364	2113
gene_6857	711	777	710
gene_6858	6	4	1
gene_6860	166	206	167
gene_6861	815	780	766
gene_6862	277	285	248
gene_6863	39	42	38
gene_6864	94	120	104
gene_6865	17	18	4
gene_6867	0	0	0
gene_6868	0	0	0
gene_6869	0	0	0
gene_6870	0	0	0
gene_6871	570	757	537
gene_6872	1248	1127	989
gene_6873	2020	2176	1617
gene_6874	580	440	428
gene_6875	1141	1354	1006
gene_6876	755	885	819
gene_6877	2214	2082	2042
gene_6878	377	495	357
gene_6879	36	61	50
gene_6880	4	6	13
gene_6881	2	12	0
gene_6882	5	1	4
gene_6883	0	0	0
gene_6884	0	2	0
gene_6885	0	14	5
gene_6886	4	6	3
gene_6887	611	539	541
gene_6888	844	764	578
gene_6889	0	0	0
gene_6890	1062	1004	806
gene_6891	79	82	53
gene_6892	0	0	2
gene_6893	0	8	0
gene_6894	4	2	0
gene_6895	2	0	0
gene_6896	0	0	0
gene_6897	169	159	152
gene_6898	1233	1164	1029
gene_6899	10	6	4
gene_6900	18	12	5
gene_6901	0	0	0
gene_6902	13	3	5
gene_6903	364	254	267
gene_6904	5	4	0
gene_6905	2	1	0
gene_6906	2	6	6
gene_6907	194	177	195
gene_6908	3	1	0
gene_6911	1382	1320	1154
gene_6912	104	119	91
gene_6913	238	277	197
gene_6914	354	365	294
gene_6915	18	11	15
gene_6916	1	4	1
gene_6917	1103	1140	969
gene_6918	0	0	8
gene_6919	168	181	149
gene_6920	2770	3005	2351
gene_6921	743	775	714
gene_6922	21	17	13
gene_6923	972	922	781
gene_6924	2988	3231	2533
gene_6925	665	749	575
gene_6926	67	68	44
gene_6927	649	682	547
gene_6928	0	0	2
gene_6929	4	6	2
gene_6931	256	375	282
gene_6932	5475	6065	4850
gene_6933	865	1051	791
gene_6934	249	214	190
gene_6935	98	78	66
gene_6936	6	4	10
gene_6937	1432	1408	1231
gene_6938	574	731	525
gene_6939	733	725	696
gene_6940	955	881	736
gene_6941	804	797	616
gene_6943	1464	1489	1367
gene_6944	2556	2738	2352
gene_6945	81	61	56
gene_6946	1013	1020	956
gene_6947	1108	994	962
gene_6948	3846	3748	3244
gene_6949	0	0	2
gene_6951	0	0	0
gene_6953	21	13	20
gene_6954	481	558	497
gene_6955	43	50	27
gene_6956	1442	1435	1304
gene_6957	1886	1708	2207
gene_6958	5909	5069	6259
gene_6959	2166	2280	1804
gene_6960	24636	26918	21664
gene_6961	645	483	476
gene_6962	140	125	139
gene_6963	0	0	0
gene_6964	3	7	2
gene_6965	1027	1064	893
gene_6966	0	0	0
gene_6967	26	17	27
gene_6969	7602	7699	6987
gene_6971	761	841	766
gene_6972	1579	1699	1298
gene_6973	1682	1764	1365
gene_6974	379	291	315
gene_6975	678	776	653
gene_6977	109	105	55
gene_6978	3028	2776	2907
gene_6979	3000	2993	2467
gene_6980	2663	2686	2270
gene_6981	4829	4434	4979
gene_6982	2169	2102	1888
gene_6983	0	4	0
gene_6984	2	0	2
gene_6985	13687	13684	12048
gene_6986	4299	4107	3987
gene_6987	58	42	51
gene_6988	5812	6258	4673
gene_6989	610	655	676
gene_6990	1884	2061	1778
gene_6991	50	49	40
gene_6992	439	438	353
gene_6993	42	20	38
gene_6994	11	0	1
gene_6995	2767	3102	2234
gene_6996	3438	3658	3160
gene_6997	766	899	667
gene_6998	5834	6436	4953
gene_6999	1710	1976	1624
gene_7000	26	26	16
gene_7001	2800	3075	2462
gene_7002	6082	6566	5236
gene_7003	561	615	535
gene_7004	2745	2650	2161
gene_7005	1164	1316	1085
gene_7006	0	0	0
gene_7007	0	0	0
gene_7008	0	0	0
gene_7009	1949	1826	1426
gene_7010	3471	3446	2925
gene_7011	1407	1641	1375
gene_7012	1246	1185	1027
gene_7013	3306	3367	2975
gene_7014	2	2	0
gene_7015	16	12	4
gene_7016	4727	4691	4054
gene_7017	1826	1820	1719
gene_7018	3641	3760	3208
gene_7019	789	630	596
gene_7020	2025	1575	1704
gene_7021	705	708	618
gene_7022	19208	21243	16701
gene_7023	4960	5018	4420
gene_7024	1273	1273	961
gene_7025	3301	3062	3373
gene_7026	1383	1571	1133
gene_7027	1527	1686	1283
gene_7029	58424	58811	52030
gene_7030	9617	8955	8632
gene_7034	1052	989	943
gene_7035	852	828	632
gene_7036	1262	1182	1196
gene_7037	1621	1656	1471
gene_7038	2883	2765	2544
gene_7039	2058	2079	1802
gene_7040	0	0	2
gene_7041	840	1011	630
gene_7042	5316	5267	4640
gene_7043	497	436	418
gene_7044	663	657	534
gene_7045	46	60	43
gene_7046	645	731	738
gene_7047	1030	1253	1004
gene_7050	333	318	320
gene_7049	300	301	290
gene_7052	6461	5868	5438
gene_7053	238	244	256
gene_7054	4730	4644	3921
gene_7055	1133	1254	1084
gene_7056	278	316	270
gene_7057	18	24	14
gene_7058	2893	3001	2681
gene_7059	3127	3217	2647
gene_7060	1389	1501	1241
gene_7061	4590	4726	3844
gene_7062	5315	5224	4584
gene_7063	2960	3412	2426
gene_7064	5042	4981	4196
gene_7065	3898	3824	3241
gene_7066	2661	2730	2375
gene_7067	168	205	170
gene_7068	855	855	641
gene_7069	313	390	271
gene_7070	884	796	797
gene_7071	58	108	43
gene_7072	744	793	635
gene_7073	5824	6190	5080
gene_7074	638	731	628
gene_7075	1046	1224	926
gene_7076	2708	2944	2319
gene_7077	1807	1894	1718
gene_7078	1293	1231	978
gene_7079	1103	1042	921
gene_7080	3428	3733	2920
gene_7081	1684	1661	1469
gene_7082	347	425	278
gene_7083	1962	1951	1841
gene_7084	964	1038	872
gene_7085	3430	3402	2918
gene_7086	1926	2022	1740
gene_7087	1335	1358	1160
gene_7088	475	655	531
gene_7089	330	355	305
gene_7090	1467	1757	1352
gene_7091	3827	4014	3193
gene_7092	1800	1833	1534
gene_7093	2999	3193	2797
gene_7094	1603	1606	1219
gene_7095	1489	1594	1383
gene_7096	2170	2599	1969
gene_7097	1665	1681	1430
gene_7098	5026	5506	4314
gene_7099	3138	3231	2723
gene_7100	2628	2773	2280
gene_7101	3458	3285	3171
gene_7102	703	482	521
gene_7103	6354	5788	6174
gene_7105	3199	3145	2546
gene_7106	144	178	80
gene_7108	914	946	821
gene_7109	20384	21077	17607
gene_7110	1369	1419	1202
gene_7111	3079	3449	2716
gene_7112	8200	7892	6574
gene_7113	25938	27730	22823
gene_7114	197	236	154
gene_7115	8772	9335	7526
gene_7116	3054	3256	2815
gene_7117	1316	1300	1052
gene_7118	4612	4614	3739
gene_7119	30314	30752	26231
gene_7120	1239	1213	1173
gene_7121	2572	2769	2230
gene_7122	0	0	0
gene_7123	0	0	0
gene_7124	0	0	0
gene_7125	4352	4296	3768
gene_7126	5627	5411	4694
gene_7127	403	409	312
gene_7129	0	0	0
gene_7130	1241	1192	1024
gene_7131	5069	5251	4437
gene_7132	2758	2864	2183
gene_7133	37	53	28
gene_7134	11	16	19
gene_7135	968	902	837
gene_7136	1470	1454	1232
gene_7137	1053	914	844
gene_7138	16	2	15
gene_7139	7	3	9
gene_7140	4068	3822	3794
gene_7141	1275	1380	1124
gene_7142	3767	3606	3237
gene_7143	0	2	0
gene_7144	1	0	0
gene_7145	0	0	0
gene_7146	0	0	0
gene_7147	1262	1311	1214
gene_7148	459	478	356
gene_7150	0	3	0
gene_7152	303	322	290
gene_7153	870	919	754
gene_7154	359	453	326
gene_7155	2548	2588	2147
gene_7156	1582	1775	1466
gene_7157	196	203	160
gene_7158	5	1	2
gene_7159	8248	7385	7422
gene_7160	25	16	21
gene_7161	1731	1946	1595
gene_7162	1262	1482	1158
gene_7163	1354	1381	1153
gene_7164	10359	9996	9596
gene_7165	4325	4583	3817
gene_7166	6513	6045	6412
gene_7167	1727	1759	1650
gene_7168	970	1195	932
gene_7169	690	576	507
gene_7170	5	11	4
gene_7171	791	943	792
gene_7172	284	325	299
gene_7173	4846	5202	4317
gene_7174	1552	1558	1291
gene_7175	19746	21084	16482
gene_7176	34847	35168	30684
gene_7177	847	852	747
gene_7178	0	0	0
gene_7179	0	3	0
gene_7180	43	63	25
gene_7181	774	792	675
gene_7182	15	32	25
gene_7183	21	24	31
gene_7184	4612	4647	4067
gene_7185	36484	38482	30961
gene_7186	1478	1479	1331
gene_7187	12600	12996	11035
gene_7188	1340	1274	1062
gene_7189	129	71	130
gene_7190	2320	2461	2132
gene_7191	1050	1003	1026
gene_7192	168	201	122
gene_7193	1179	1082	1040
gene_7194	1121	1312	936
gene_7195	1833	1967	1669
gene_7196	1662	1570	1232
gene_7197	1176	1063	1062
gene_7198	1786	1773	1430
gene_7199	1443	1437	1346
gene_7200	1267	1129	1174
gene_7201	3332	3091	2552
gene_7202	1942	2148	1865
gene_7203	2927	2913	2750
gene_7204	924	781	736
gene_7205	4	0	0
gene_7206	1021	1163	944
gene_7208	8	4	3
gene_7209	9283	9791	8111
gene_7210	1360	1429	1161
gene_7211	4157	4156	3415
gene_7212	39275	39274	35852
gene_7213	1858	1792	1521
gene_7214	12277	12630	10489
gene_7215	1277	1411	1118
gene_7216	669	654	608
gene_7217	2909	2691	2547
gene_7218	2187	2474	1843
gene_7220	1168	1385	1089
gene_7221	1378	1414	1236
gene_7222	778	828	672
gene_7223	2	8	3
gene_7224	10	0	0
gene_7225	629	581	599
gene_7226	5174	5624	4764
gene_7227	598	682	519
gene_7228	942	997	730
gene_7229	422	421	399
gene_7230	1756	1865	1600
gene_7231	1577	1820	1262
gene_7232	143	139	84
gene_7233	1569	1602	1455
gene_7234	790	815	576
gene_7235	0	0	0
gene_7236	2017	2022	1710
gene_7237	2771	3048	2574
gene_7238	850	893	885
gene_7239	1190	1225	1101
gene_7240	5610	5802	4667
gene_7241	291	345	293
gene_7242	14578	15318	12222
gene_7243	65	84	75
gene_7244	8949	8583	7824
gene_7245	0	0	16
gene_7246	0	0	0
gene_7247	0	0	0
gene_7248	0	0	0
gene_7249	541	562	535
gene_7250	1017	1091	970
gene_7251	2653	2764	2541
gene_7252	2655	2403	2457
gene_7253	1634	1520	1467
gene_7254	753	1000	600
gene_7255	1655	1634	1373
gene_7256	2600	2479	2402
gene_7257	1482	1657	1298
gene_7258	29	14	15
gene_7259	8	2	4
gene_7260	1406	1328	1331
gene_7261	3645	3715	3267
gene_7262	392	489	365
gene_7263	195	217	158
gene_7264	55	58	39
gene_7265	83	89	78
gene_7266	126	139	135
gene_7267	17	25	17
gene_7268	25	18	6
gene_7269	4044	3642	3475
gene_7270	1613	1454	1493
gene_7273	0	0	0
gene_7274	0	0	0
gene_7275	2254	2427	2043
gene_7277	2573	2759	2217
gene_7278	12	0	8
gene_7280	1122	958	1007
gene_7281	3177	3161	3082
gene_7282	726	689	537
gene_7283	0	0	0
gene_7284	2875	3011	2515
gene_7285	3534	3422	3416
gene_7286	4	10	2
gene_7287	15	5	4
gene_7288	4466	4833	3615
gene_7289	4320	4260	4292
gene_7290	0	0	0
gene_7291	0	0	0
gene_7292	2252	2258	1891
gene_7293	0	6	4
gene_7294	0	2	12
gene_7295	0	0	0
gene_7296	1611	1656	1272
gene_7297	301	308	269
gene_7298	608	722	488
gene_7299	371	539	413
gene_7300	49	56	27
gene_7301	317	304	255
gene_7302	334	337	296
gene_7303	0	2	8
gene_7304	673	821	649
gene_7305	2167	2284	1941
gene_7306	2246	2366	1899
gene_7307	0	0	0
gene_7308	4016	4171	3634
gene_7309	397	541	389
gene_7310	26210	26272	23757
gene_7311	1277	1355	1080
gene_7312	1448	1195	1198
gene_7313	1066	1029	958
gene_7314	1381	1393	1176
gene_7315	31479	32023	28622
gene_7316	1133	1121	1008
gene_7317	0	0	0
gene_7318	0	0	0
gene_7319	0	0	0
gene_7320	0	0	0
gene_7321	824	892	810
gene_7322	1251	1339	1156
gene_7323	751	799	728
gene_7324	618	579	497
gene_7325	38	19	38
gene_7326	3152	3153	2500
gene_7327	438	530	337
gene_7328	1243	1103	818
gene_7329	27	24	16
gene_7330	566	462	440
gene_7331	8991	9358	7740
gene_7332	11685	12838	10143
gene_7333	239	318	194
gene_7334	35	23	22
gene_7335	36	20	26
gene_7337	2	0	1
gene_7338	0	0	0
gene_7339	547	544	443
gene_7340	127	111	93
gene_7341	3985	4130	3410
gene_7342	529	595	460
gene_7343	1	1	1
gene_7344	1851	1553	1480
gene_7345	2940	2761	2652
gene_7346	847	996	857
gene_7347	1345	1386	1213
gene_7348	985	926	1033
gene_7349	5795	5142	5429
gene_7350	764	829	719
gene_7351	0	0	1
gene_7352	963	776	786
gene_7353	635	692	570
gene_7354	1751	1590	1433
gene_7355	1949	2122	1722
gene_7356	435	457	420
gene_7357	411	402	424
gene_7358	325	342	321
gene_7359	10	7	10
gene_7360	3571	4119	3282
gene_7361	15701	14889	13614
gene_7362	1048	1076	930
gene_7363	2502	2824	2403
gene_7364	4107	3817	3300
gene_7365	1524	1542	1362
gene_7366	145	140	133
gene_7368	5686	5000	5354
gene_7369	22	22	27
gene_7370	46	42	46
gene_7371	2333	2204	1849
gene_7372	896	858	777
gene_7373	532	450	371
gene_7374	1226	1345	1016
gene_7375	971	793	710
gene_7376	115	94	120
gene_7377	1327	1188	1483
gene_7378	749	706	553
gene_7379	1792	1892	1505
gene_7380	4621	4726	4687
gene_7381	5030	5068	4288
gene_7382	280	340	294
gene_7383	1211	1279	1067
gene_7384	1253	1344	1214
gene_7385	1254	1336	1150
gene_7386	2157	2178	1918
gene_7387	1030	1045	841
gene_7388	2020	2147	1852
gene_7389	1112	1238	1067
gene_7390	302	296	211
gene_7391	601	657	575
gene_7392	10	7	9
gene_7393	2403	2430	1911
gene_7394	484	460	403
gene_7395	1568	1370	1189
gene_7396	281	303	205
gene_7397	20	42	24
gene_7398	412	476	291
gene_7399	771	949	585
gene_7400	2282	2464	1934
gene_7401	2663	2632	2457
gene_7402	2091	2169	1888
gene_7403	381	405	386
gene_7404	2710	2601	2150
gene_7405	460	415	369
gene_7406	1225	1111	921
gene_7407	3076	3106	2492
gene_7408	2982	3354	2683
gene_7409	6807	6959	5605
gene_7410	2848	3151	2595
