Gene	Par_Ac_1	Par_Ac_2	Par_Ac_3
gene_263	480	425	516
gene_264	868	945	775
gene_265	861	863	719
gene_266	16132	17357	14421
gene_267	181	211	125
gene_268	5413	5591	4775
gene_269	4472	4688	3704
gene_270	1058	1061	832
gene_271	4136	3944	3852
gene_272	21822	21115	19065
gene_273	6124	5916	5562
gene_274	459	382	363
gene_276	0	1	0
gene_277	525	588	450
gene_278	718	729	683
gene_279	3413	3308	2885
gene_280	2764	2584	2675
gene_281	1801	1946	1566
gene_282	276	351	269
gene_283	41	54	31
gene_284	1726	1767	1532
gene_285	2976	2923	2655
gene_286	1034	1027	946
gene_287	2937	2778	2572
gene_289	5404	5395	5245
gene_290	908	969	920
gene_291	437	381	315
gene_292	3006	3126	2673
gene_293	1991	2022	1628
gene_294	581	482	488
gene_295	309	230	290
gene_296	2276	2874	2246
gene_297	0	2	0
gene_298	755	783	660
gene_299	3397	3180	2797
gene_300	9876	8876	8933
gene_301	1651	1426	1438
gene_302	5	6	14
gene_303	756	916	757
gene_304	41	22	30
gene_305	2118	2202	1935
gene_306	431	420	315
gene_307	4533	5225	3729
gene_308	5368	5086	5426
gene_309	55	110	43
gene_310	1594	1651	1510
gene_311	1539	1498	1319
gene_312	356	370	262
gene_313	1488	1284	1353
gene_314	1483	1476	1339
gene_315	611	625	629
gene_316	2058	1956	1598
gene_318	3304	2987	3299
gene_319	0	1	0
gene_320	0	0	2
gene_321	0	0	0
gene_322	35	7	6
gene_323	227	106	101
gene_324	1000	1030	814
gene_325	6050	5966	5131
gene_326	2214	2265	1907
gene_327	22	37	31
gene_328	11247	11632	10266
gene_329	1689	1503	1256
gene_330	27254	28980	24028
gene_331	2435	2343	1957
gene_332	8645	9080	7473
gene_333	994	1105	853
gene_334	2498	2603	2324
gene_335	228	222	229
gene_336	448	601	489
gene_337	1127	1203	977
gene_338	91	94	111
gene_339	357	353	286
gene_340	0	4	0
gene_341	2340	2430	1872
gene_342	29007	29777	25791
gene_343	1954	1881	1771
gene_344	4832	5177	4299
gene_345	1776	1949	1624
gene_346	6400	6361	6088
gene_347	1300	1300	1183
gene_348	2365	2395	1998
gene_349	2078	2074	1827
gene_350	1461	1438	1232
gene_353	5804	5516	5501
gene_354	65	90	56
gene_355	3415	3466	2945
gene_356	4308	4156	4278
gene_357	666	714	636
gene_358	1494	1387	1205
gene_359	664	807	593
gene_360	7902	8226	6485
gene_361	554	513	447
gene_362	4258	4232	3811
gene_363	2056	1919	1933
gene_364	715	843	718
gene_365	1095	1067	861
gene_366	5277	5959	4665
gene_367	874	963	825
gene_368	283	236	266
gene_369	1024	953	849
gene_370	5469	5617	4494
gene_371	1252	1323	1087
gene_372	10974	12077	10110
gene_373	19	30	27
gene_374	4983	5080	4366
gene_375	2274	2476	2003
gene_376	3315	3624	2950
gene_377	1354	1350	1210
gene_378	2428	2294	2285
gene_379	294	225	195
gene_380	47	43	35
gene_381	2448	2689	2065
gene_382	2323	2223	2078
gene_383	2982	3363	2629
gene_384	6788	7224	6334
gene_385	2647	2522	2220
gene_386	3587	3622	3115
gene_387	10541	10672	9466
gene_388	3551	3649	2967
gene_389	13548	14199	12053
gene_390	4010	4120	3256
gene_391	1710	2029	1665
gene_392	16502	17824	14621
gene_393	3607	3605	2948
