Gene	ATS_wo_1	ATS_wo_2	ATS_wo_3
gene_261	1075	1106	1151
gene_262	2340	2953	2390
gene_263	534	524	471
gene_264	943	1033	903
gene_265	1093	1137	1074
gene_266	11575	13269	13640
gene_267	175	192	207
gene_268	4129	4708	4430
gene_269	3240	4035	3730
gene_270	1560	1577	1582
gene_271	3794	3889	3759
gene_272	28388	29770	32102
gene_273	7404	7838	8096
gene_274	308	252	281
gene_276	2	0	1
gene_277	668	893	702
gene_278	1260	1539	1345
gene_279	2183	2948	2581
gene_280	1609	1489	1542
gene_281	1030	1098	1045
gene_282	961	1202	1019
gene_283	96	71	83
gene_284	970	1275	1138
gene_285	1634	1625	1811
gene_286	568	610	730
gene_287	2710	3327	2934
gene_289	6109	6705	6455
gene_290	1005	1157	1095
gene_291	410	529	495
gene_292	2661	3094	2856
gene_293	1807	2004	2004
gene_294	325	468	427
gene_295	203	273	282
gene_296	2900	3788	3372
gene_297	2	13	12
gene_298	990	1128	1050
gene_299	1914	1915	1871
gene_300	10476	11187	10897
gene_301	2541	2747	2772
gene_302	5	0	15
gene_303	985	1199	1054
gene_304	10	34	50
gene_305	2533	3120	2783
gene_306	615	672	727
gene_307	31323	36362	33056
gene_308	6221	6265	6215
gene_309	84	84	108
gene_310	2107	2426	2555
gene_311	1787	1998	1967
gene_312	620	733	736
gene_313	1693	1937	1750
gene_314	883	929	1027
gene_315	351	391	387
gene_316	2891	3699	3327
gene_318	3733	3559	3784
gene_319	0	0	4
gene_320	0	0	0
gene_321	0	0	0
gene_322	384	447	348
gene_323	5474	6607	5779
gene_324	10142	11884	11481
gene_325	8841	9438	9643
gene_326	2128	2689	2507
gene_327	7	6	0
gene_328	10105	11472	11012
gene_329	1338	1669	1478
gene_330	21037	24601	24433
gene_331	1464	1795	1707
gene_332	9185	10030	8733
gene_333	912	1123	921
gene_334	2301	2898	2473
gene_335	206	292	282
gene_336	444	556	510
gene_337	1148	1270	1170
gene_338	107	68	105
gene_339	300	338	279
gene_340	0	0	0
gene_341	2604	2756	2870
gene_342	41459	47413	47430
gene_343	2422	2603	2454
gene_344	5784	6541	6439
gene_345	1060	1274	1260
gene_346	3905	3637	4116
gene_347	1438	1605	1429
gene_348	1952	2287	2249
gene_349	1375	1488	1712
gene_350	1561	1503	1499
gene_353	2791	2635	3215
gene_354	104	88	155
gene_355	2503	2764	2789
gene_356	3824	3981	3756
gene_357	560	776	654
gene_358	2934	3410	2973
gene_359	1671	1960	1911
gene_360	20678	23443	21779
gene_361	678	831	781
gene_362	4113	3783	4273
gene_363	2777	2625	2622
gene_364	771	1022	1006
gene_365	1474	1619	1412
gene_366	8280	9491	8938
gene_367	1003	1112	1196
gene_368	339	344	412
gene_369	1981	2009	2006
gene_370	9187	11018	9504
gene_371	1458	1863	1529
gene_372	19891	21566	20864
gene_373	54	35	49
gene_374	7255	8876	7421
gene_375	2533	3056	2620
gene_376	2348	2979	2621
gene_377	686	851	736
gene_378	1987	2247	2148
gene_379	169	207	229
gene_380	185	197	194
gene_381	1882	2326	2104
gene_382	1987	2392	2221
gene_383	3037	3596	3315
gene_384	7070	8748	7615
gene_385	2760	3458	3111
gene_386	3701	4583	4177
gene_387	10775	13664	12015
gene_388	3473	4265	3711
gene_389	13632	17431	14174
gene_390	3576	4595	3876
gene_391	1798	2102	1755
gene_392	14873	17820	16010
gene_393	3513	4231	3797
gene_394	5116	6876	6035
gene_395	891	882	865
gene_396	11801	13987	12072
gene_397	3356	4171	3677
gene_398	1251	1430	1464
gene_399	6861	8677	7262
gene_400	792	878	806
gene_401	4905	5664	5383
gene_402	3175	3633	3125
gene_403	6142	7331	6886
gene_404	384	433	489
gene_405	5519	6422	5397
gene_406	278	335	295
gene_407	1802	2163	1886
gene_408	2823	3495	2995
gene_409	71079	87379	74080
gene_410	2616	3110	2648
gene_411	2120	2426	2101
gene_412	14459	16450	16106
gene_413	44	94	98
gene_414	55914	63082	61647
gene_415	1338	1876	1528
gene_416	5532	6228	5893
gene_417	6194	7567	6668
gene_418	1471	1779	1576
gene_419	893	1100	1032
gene_420	5955	6371	5596
gene_421	807	1029	773
gene_422	10350	10981	10931
gene_423	310	463	390
gene_424	610	851	670
gene_425	166	206	196
gene_426	3362	4037	3664
gene_427	982	960	950
gene_428	3070	3462	3195
gene_429	2308	3141	2772
gene_430	1657	1656	1605
gene_431	261	382	288
gene_432	0	0	0
gene_433	7143	8630	7624
gene_434	2773	3041	3041
gene_435	2445	2994	2573
gene_436	1875	1565	1866
gene_437	3724	4563	3737
gene_439	4032	4270	4334
gene_440	390	444	416
gene_441	132	201	154
gene_442	14969	18443	15878
gene_443	1611	1449	1747
gene_444	8973	9840	9525
gene_445	14444	15396	15982
gene_446	6281	6519	6343
gene_448	792	737	867
gene_449	288	336	283
gene_450	12576	14204	14071
gene_451	2015	2435	2307
gene_452	1837	2182	2177
gene_453	1298	1336	1232
gene_454	799	1046	914
gene_455	61	37	63
gene_456	492	565	587
gene_457	934	1125	1282
gene_458	734	881	809
gene_459	2620	2837	3038
gene_460	1150	1536	1285
gene_461	1787	2238	2259
gene_462	1136	1217	1101
gene_463	461	468	407
gene_464	1774	2292	2039
gene_465	7069	8674	7274
gene_466	17464	16919	20032
gene_467	439	591	423
gene_468	21491	24874	22709
gene_469	2541	3082	2902
gene_470	968	1123	1166
gene_471	3120	3583	3427
gene_472	823	1005	940
gene_473	2307	2482	2626
gene_474	2371	2653	2414
gene_475	1038	1299	1039
gene_476	2569	2869	2924
gene_477	1232	1507	1300
gene_478	3425	3955	3789
gene_479	12	23	31
gene_480	939	940	923
