Gene	ATS_wo_1	ATS_wo_2	ATS_wo_3
gene_1131	4014	4958	4220
gene_1132	4391	4735	4507
gene_1133	2051	2012	1982
gene_1134	2218	2577	2300
gene_1135	1475	1511	1302
gene_1136	1167	1348	1125
gene_1137	1467	1578	1545
gene_1138	1178	1310	1113
gene_1139	942	1184	1117
gene_1140	17706	19108	20453
gene_1141	6	2	5
gene_1142	0	0	0
gene_1143	1804	1851	1703
gene_1144	2011	2195	2105
gene_1145	876	1052	888
gene_1147	8169	9096	8107
gene_1148	3443	3996	3712
gene_1149	2298	2559	2582
gene_1150	1472	1726	1602
gene_1151	2113	2411	2271
gene_1152	982	1086	1083
gene_1153	1282	1686	1442
gene_1154	278	341	386
gene_1155	25335	30100	28132
gene_1156	3156	3823	3523
gene_1157	378	492	447
gene_1158	7014	8760	7711
gene_1159	5861	6474	6417
gene_1160	3764	4103	3957
gene_1161	636	687	693
gene_1162	465	538	542
gene_1163	2	1	2
gene_1164	2	7	5
gene_1165	1373	1504	1476
gene_1166	4083	4513	4562
gene_1167	10	28	10
gene_1168	1714	1899	1839
gene_1169	923	958	975
gene_1170	331	358	363
gene_1171	1966	2471	2073
gene_1172	4825	5620	5125
gene_1173	925	1031	878
gene_1174	1059	1023	1198
gene_1175	1098	1464	1277
gene_1176	1102	1258	1178
gene_1177	156	117	151
gene_1178	1627	1843	1726
gene_1179	5762	4243	5178
gene_1180	2069	2605	2333
gene_1181	3144	3508	3454
gene_1182	1000	1124	1158
gene_1183	1430	1614	1401
gene_1186	5941	6935	6295
gene_1187	34	35	27
gene_1188	6783	8186	7776
gene_1189	1901	2416	2167
gene_1190	1030	1283	1128
gene_1191	1337	1535	1303
gene_1192	804	950	996
gene_1193	38	46	22
gene_1194	1	0	1
gene_1195	1138	1330	1266
gene_1196	4	23	19
gene_1197	2799	3062	2769
gene_1198	565	638	579
gene_1199	1005	1148	1020
gene_1200	6440	6893	6955
gene_1201	753	730	835
gene_1202	2794	2918	2695
gene_1203	1792	2238	1942
gene_1204	21	20	14
gene_1205	2385	2986	2492
gene_1206	1989	1859	2114
gene_1207	754	916	760
gene_1208	630	753	738
gene_1209	5488	5117	5506
gene_1210	782	1019	960
gene_1211	23	5	28
gene_1213	1104	1251	1149
gene_1214	1169	1156	1159
gene_1215	364	498	382
gene_1216	329	433	456
gene_1217	263	291	312
gene_1218	1766	2359	1923
gene_1219	3536	3792	3492
gene_1220	1082	1159	1142
gene_1221	75	53	73
gene_1222	527	628	586
gene_1223	1163	1508	1490
gene_1224	2474	2775	3013
gene_1225	413	371	502
gene_1226	966	1155	1091
gene_1227	18	7	6
gene_1228	3828	4840	4355
gene_1229	1430	1555	1490
gene_1230	0	0	0
gene_1233	0	0	0
gene_1234	0	0	0
gene_1235	0	0	10
gene_1236	4905	5571	4939
gene_1237	4541	4737	5012
gene_1238	6004	7680	6612
gene_1239	3023	3424	3037
gene_1241	78	70	99
gene_1242	2382	2790	2390
gene_1243	1340	1517	1315
gene_1244	2	4	0
gene_1245	0	0	0
gene_1246	0	0	0
gene_1247	0	0	0
gene_1248	482	563	550
gene_1249	6796	7640	7214
gene_1250	2623	2439	2576
gene_1251	4342	5314	4747
gene_1252	0	0	0
gene_1253	0	1	2
gene_1254	1305	1452	1613
gene_1255	3395	4101	3559
gene_1256	5145	6354	5716
gene_1257	0	0	0
gene_1258	5	4	0
gene_1259	5	0	0
gene_1260	243	241	280
gene_1261	345	330	361
gene_1262	3198	3186	3150
gene_1263	16079	17906	16193
gene_1264	0	3	3
gene_1266	0	0	0
gene_1268	0	0	0
gene_1269	0	0	0
gene_1270	65	71	85
gene_1271	3090	3465	3195
gene_1272	1198	1548	1332
gene_1273	414	602	555
gene_1274	196	240	279
gene_1275	20	10	0
gene_1276	1045	1253	1083
gene_1277	1602	1900	1645
gene_1278	1519	2036	1782
gene_1279	402	569	547
gene_1280	703	884	819
gene_1281	979	991	982
gene_1282	1469	1603	1570
gene_1283	681	752	706
gene_1284	541	724	534
gene_1285	139	168	137
gene_1286	44	89	73
gene_1287	4	2	29
gene_1288	604	607	608
gene_1289	74	87	99
gene_1290	185	211	207
gene_1291	657	845	856
gene_1292	89	91	67
gene_1293	513	526	543
gene_1294	139	153	154
gene_6461	907	1051	1019
gene_6462	989	1139	1059
gene_6463	8	28	10
gene_6464	8245	8936	8136
gene_6465	2639	3211	3161
gene_6466	31	67	19
gene_6467	1075	1086	1229
gene_6468	946	1158	1060
gene_6469	501	620	585
gene_6470	168	162	120
gene_6471	116745	129828	115348
gene_6472	7262	9461	8045
gene_6473	288106	361906	315950
gene_6474	1278	1580	1321
gene_6475	635	706	709
gene_6476	743	836	874
gene_6477	1929	2286	2218
gene_6478	172	219	224
gene_6479	940	931	822
gene_6480	6236	5350	6002
gene_6481	276	268	363
gene_6482	971	1061	1112
gene_6484	10926	11209	11056
gene_6485	323	405	373
gene_6486	144	128	120
gene_6487	88	97	99
gene_6488	714	839	736
gene_6489	2128	2701	2382
gene_6490	1362	1544	1452
gene_6491	13678	15468	14654
gene_6492	6758	8292	7961
gene_6493	2931	3354	3071
gene_6494	737	713	732
gene_6495	252	287	307
gene_6496	449	465	362
gene_6497	3882	4378	4323
gene_6498	6	4	2
gene_6499	102	135	149
gene_6500	1601	1811	1624
gene_6501	3943	3814	4176
gene_6502	2466	2952	2760
gene_6503	2094	2182	2364
gene_6504	4158	5209	4497
gene_6505	343	487	495
gene_6506	2834	2871	2878
gene_6508	3216	3709	3674
gene_6509	1163	1231	1392
gene_6510	28008	31559	31137
gene_6511	1158	1292	1246
gene_6512	1138	1305	1222
gene_6513	807	919	808
gene_6514	8456	8392	9335
gene_6515	379	479	363
gene_6517	1649	2192	1975
gene_6518	1622	1885	1731
gene_6519	127	155	128
gene_6520	4774	5211	4779
gene_6522	16262	17306	17423
gene_6523	539	674	616
gene_6524	2605	2538	2573
gene_6525	665	808	808
gene_6526	1845	2338	1876
gene_6528	2701	3105	2808
gene_6529	2334	2634	2356
gene_6530	7221	8557	7799
gene_6531	13112	12985	12983
gene_6532	14814	18286	16127
gene_6533	6475	7616	6567
gene_6534	1467	1944	1540
gene_6535	5279	5944	5212
gene_6536	4953	5696	5248
gene_6537	1460	1773	1656
gene_6538	820	907	931
gene_6539	5774	6827	6278
gene_6540	5412	6463	6011
gene_6541	6	26	13
gene_6542	77	94	68
gene_6543	639	644	649
gene_6544	956	1138	1206
gene_6546	1563	1624	1889
gene_6548	26592	28549	26893
gene_6549	1959	2139	2005
gene_6551	28883	30899	32073
gene_6552	24772	25419	26194
gene_6553	351	423	392
gene_6555	1364	1717	1324
gene_6556	605	736	835
gene_6557	3093	3466	3040
gene_6558	359	521	367
gene_6559	15185	14620	16295
gene_6560	2216	2531	2219
gene_6561	8720	9282	8540
gene_6562	2313	2687	2668
gene_6563	2583	3498	3190
gene_6564	1959	2365	2353
gene_6565	9845	11777	10510
gene_6566	3638	3921	3771
gene_6567	22542	26863	23825
gene_6568	600	701	660
gene_6569	7116	8490	7553
gene_6570	1123	1329	1086
gene_6571	2753	3157	2939
gene_6572	252	356	345
gene_6573	3895	4502	3490
gene_6575	2024	2112	2265
gene_6576	935	1253	1150
gene_6577	1852	2333	2195
gene_6578	149	157	155
gene_6579	3744	4123	3816
gene_6580	4137	4494	4268
gene_6581	1591	1894	1618
gene_6582	3531	3628	3845
gene_6583	1048	1408	1194
gene_6584	550	689	617
gene_6585	946	1093	1046
gene_6586	354	346	370
gene_6587	3856	4648	3962
gene_6588	1224	1462	1284
gene_6589	0	0	0
gene_6590	0	0	0
gene_6591	2234	2356	2507
gene_6592	2218	2664	2472
gene_6593	46949	53038	50660
gene_6594	1226	1446	1557
gene_6595	899	906	927
gene_6596	593	625	584
gene_6597	5	12	0
gene_6599	1064	1324	1141
gene_6600	237	306	316
gene_6601	53	67	79
gene_6602	2324	2764	2532
gene_6603	5996	7321	6419
gene_6604	1132	1221	1153
gene_6605	105	161	100
gene_6606	9	10	8
gene_6608	4450	5315	4712
gene_6609	10154	12236	10935
gene_6610	19030	21905	20783
gene_6611	898	804	918
gene_6612	1862	2070	1938
gene_6613	2248	2564	2338
gene_6614	1664	2089	1704
gene_6615	2187	2546	2451
gene_6616	299	336	312
gene_6617	2213	2306	2232
gene_6618	1278	927	1023
gene_6619	274	432	298
gene_6620	5950	7528	6385
gene_6621	542	614	541
gene_6622	2410	2789	2339
gene_6623	1460	1953	1719
gene_6624	2070	2075	2435
gene_6626	214	292	210
gene_6627	864	1036	1023
gene_6628	1243	1335	1191
gene_6629	885	977	1014
gene_6630	440	477	457
gene_6631	38	45	27
gene_6632	290	366	318
gene_6635	515	676	540
gene_6636	1773	1923	1795
gene_6637	327	413	407
gene_6638	1744	1848	1707
gene_6639	3332	3392	3464
gene_6640	1101	1329	1341
gene_6641	263	271	257
gene_6642	570	516	615
gene_6643	1560	1645	1628
gene_6644	110	147	138
gene_6645	1738	2174	2072
gene_6646	549	664	739
gene_6647	629	736	702
gene_6648	0	0	0
gene_6649	0	0	0
gene_6650	0	0	0
gene_6651	849	1033	845
gene_6652	3514	3759	3673
gene_6653	1585	1999	1741
gene_6654	138	93	128
gene_6655	13121	16526	15362
gene_6656	833	1001	876
gene_6657	1556	2038	2035
gene_6658	6	6	0
gene_6659	1	0	0
gene_6660	67	109	83
gene_6661	936	1059	944
gene_6662	1618	1931	1616
gene_6663	2285	2613	2395
gene_6664	2021	2278	2228
gene_6665	928	1178	1096
gene_6666	1577	1840	1705
gene_6667	1115	1358	1266
gene_6668	2128	2072	2173
gene_6669	712	663	606
gene_6670	524	513	461
gene_6671	1881	2055	2124
gene_6672	2549	2885	2917
gene_6673	18527	19330	21346
gene_6675	12151	14652	13575
gene_6676	1887	2255	2023
gene_6678	1935	2278	2104
gene_6679	106	142	148
gene_6680	1787	2082	2232
gene_6681	3203	3418	3675
gene_6682	488	472	557
gene_6683	12040	12507	14227
gene_6684	3634	4142	3547
gene_6685	477	528	465
gene_6686	3177	3841	3356
gene_6688	0	0	0
gene_6689	594	712	580
gene_6690	1903	1806	2055
gene_6691	3148	3899	3258
gene_6692	30948	33214	34520
gene_6693	19	24	42
gene_6694	5077	5609	5537
gene_6695	807	957	760
gene_6697	676	811	824
gene_6698	273	278	301
gene_6699	3068	2615	2821
gene_6700	1316	1672	1471
gene_6701	1938	2164	1828
gene_6702	5492	5656	5701
gene_6703	5411	6004	5599
gene_6704	983	1244	998
gene_6705	2120	2637	2306
gene_6706	1697	2162	2132
gene_6707	260	312	272
gene_6708	10667	12400	11361
gene_6709	938	1144	1000
gene_6710	3671	3619	3971
gene_6711	3227	3492	3397
gene_6712	5312	6208	6297
gene_6713	663	699	713
gene_6714	2008	2324	2279
gene_6715	258	321	289
gene_6716	1661	2055	1763
gene_6717	841	1089	946
gene_6718	1812	1842	1816
gene_6719	0	0	0
gene_6721	0	4	10
gene_6722	885	1017	818
gene_6723	1053	1226	1257
gene_6724	915	888	978
gene_6725	1843	1874	2034
gene_6726	571	652	578
gene_6727	982	977	797
gene_6729	4337	5398	5062
gene_6730	0	0	0
gene_6731	0	0	2
gene_6732	0	0	0
gene_6733	0	0	0
gene_6734	8523	10041	8540
gene_6735	21774	23590	23757
gene_6736	591	661	748
gene_6737	1968	2170	2035
gene_6738	1593	1443	1545
gene_6739	830	918	888
gene_6740	0	0	0
gene_6741	1623	1865	1798
gene_6744	2785	2864	3112
gene_6745	65	84	54
gene_6746	4840	5756	5056
gene_6747	4790	5112	5008
gene_6748	1552	1227	1484
gene_6749	681	675	782
gene_6750	2704	2590	3149
gene_6751	0	0	0
gene_6752	168	148	213
gene_6753	431	510	516
gene_6754	0	11	9
gene_6755	2137	2592	2278
gene_6756	489	593	604
gene_6757	11796	12159	12742
gene_6758	1146	1216	1217
gene_6759	13	24	26
gene_6760	4	2	8
gene_6761	354	468	352
gene_6762	4360	5100	4341
gene_6764	1	0	4
gene_6765	738	857	793
gene_6766	2544	2754	2601
gene_6767	9	18	6
gene_6768	1329	1614	1441
gene_6769	3573	4129	4007
gene_6770	1298	1359	1201
gene_6771	1109	1264	1092
gene_6772	3577	4145	3706
gene_6773	11348	13686	12181
gene_6774	11395	13052	11663
gene_6775	2829	3547	3021
gene_6776	3584	4358	3681
gene_6777	18603	21733	18681
gene_6778	889	1024	926
gene_6779	955	948	947
gene_6780	836	911	955
gene_6781	11317	13379	12180
gene_6782	344	434	461
gene_6783	1442	1770	1719
gene_6784	1363	1758	1623
gene_6785	20820	22413	20126
gene_6786	1311	1513	1361
gene_6788	338	437	456
gene_6789	3383	3992	3987
gene_6790	1121	1336	1114
gene_6791	4429	4796	4728
gene_6792	1606	1933	1615
gene_6793	6307	6062	6114
gene_6794	438	482	484
gene_6795	1605	1744	1539
gene_6796	474	493	534
gene_6797	1339	1619	1326
gene_6798	2015	1984	2101
gene_6799	360	436	381
gene_6800	207	221	216
gene_6801	943	1113	959
gene_6802	2543	3261	2749
gene_6803	4002	4533	3841
gene_6804	124	106	121
gene_6805	6	1	0
gene_6806	6493	6234	6863
gene_6807	1243	1332	1395
gene_6808	191	325	199
gene_6809	12	3	12
gene_6810	10498	13010	12099
gene_6811	6274	7506	6822
gene_6813	2	15	1
gene_6814	11749	12239	12368
gene_6815	833	929	1019
gene_6816	3345	4501	3858
gene_6817	967	1064	988
gene_6818	2784	3380	3244
gene_6819	1447	1745	1592
gene_6820	942	1275	1130
gene_6821	2967	3627	3223
gene_6823	0	0	0
gene_6824	1624	2021	1709
gene_6825	1681	2156	2025
gene_6826	3039	3577	3429
gene_6827	2202	2452	2504
gene_6828	1148	1276	1172
gene_6829	0	0	0
gene_6830	910	1072	1087
gene_6831	2755	3491	3084
gene_6832	517	587	661
gene_6833	191	257	180
gene_6834	10072	11264	10613
gene_6835	1	6	0
gene_6836	0	2	0
gene_6837	919	972	965
gene_6838	125	172	166
gene_6839	8735	10195	9485
gene_6841	15069	16302	16000
gene_6842	6857	7647	6920
gene_6843	1369	1444	1476
gene_6844	3663	4282	3992
gene_6845	0	0	1
gene_6846	0	0	0
gene_6849	11906	11655	12571
gene_6850	253	212	279
gene_6851	2754	3328	2877
gene_6852	4173	4933	4117
gene_6853	0	0	4
gene_6855	0	0	0
gene_6856	2965	3196	3184
gene_6857	530	619	730
gene_6858	17	24	5
gene_6860	301	240	323
gene_6861	819	822	833
gene_6862	519	574	584
gene_6863	104	88	65
gene_6864	369	429	369
gene_6865	17	12	9
gene_6867	0	0	0
gene_6868	0	0	0
gene_6869	0	0	0
gene_6870	0	0	0
gene_6871	633	738	637
gene_6872	688	758	735
gene_6873	1959	2336	2063
gene_6874	278	293	267
gene_6875	1461	1546	1561
gene_6876	2031	2252	1932
gene_6877	3127	3018	3031
gene_6878	962	976	1002
gene_6879	152	183	159
gene_6880	123	141	135
gene_6881	1	4	0
gene_6882	0	0	17
gene_6883	0	1	0
gene_6884	0	0	0
gene_6885	15	10	3
gene_6886	9	10	9
gene_6887	893	1050	873
gene_6888	928	1088	978
gene_6889	0	4	0
gene_6890	1544	1784	1514
gene_6891	108	114	154
gene_6892	0	6	0
gene_6893	0	0	0
gene_6894	0	0	0
gene_6895	0	4	0
gene_6896	0	0	0
gene_6897	172	237	210
gene_6898	905	1150	1060
gene_6899	18	22	47
gene_6900	12	18	38
gene_6901	0	0	0
gene_6902	2	7	4
gene_6903	261	313	384
gene_6904	6	0	0
gene_6905	0	8	0
gene_6906	4	0	0
gene_6907	2852	2778	2884
gene_6908	5	7	5
gene_6911	1762	1798	1613
gene_6912	541	664	622
gene_6913	232	280	285
gene_6914	377	396	397
gene_6915	14	19	32
gene_6916	8	0	15
gene_6917	1897	1881	1966
gene_6918	2	2	9
gene_6919	728	838	832
gene_6920	1965	2280	2044
gene_6921	537	659	556
gene_6922	9	0	7
gene_6923	972	1137	1138
gene_6924	2961	3786	3261
gene_6925	985	1324	1129
gene_6926	103	107	93
gene_6927	1108	1013	1031
gene_6928	0	0	0
gene_6929	2	28	12
gene_6931	519	615	437
gene_6932	9287	11065	10070
gene_6933	1430	1793	1505
gene_6934	310	346	372
gene_6935	115	118	64
gene_6936	0	8	4
gene_6937	1809	2347	1911
gene_6938	598	894	658
gene_6939	767	813	718
gene_6940	1035	1100	1077
gene_6941	719	758	867
gene_6943	941	1015	1030
gene_6944	2309	2577	2438
gene_6945	54	71	81
gene_6946	788	799	786
gene_6947	1153	1209	1212
gene_6948	3007	3613	2963
gene_6949	1	2	0
gene_6951	0	0	0
gene_6953	40	33	33
gene_6954	827	947	1007
gene_6955	57	80	64
gene_6956	2071	2164	2366
gene_6957	2116	1939	2141
gene_6958	5596	4840	5447
gene_6959	1168	1426	1393
gene_6960	3216	4083	3953
gene_6961	864	1138	1207
gene_6962	223	227	317
gene_6963	0	0	0
gene_6964	4	1	0
gene_6965	347	479	372
gene_6966	0	0	0
gene_6967	19	6	24
gene_6969	4790	5766	4905
gene_6971	931	1135	1008
gene_6972	1782	2216	1977
gene_6973	1871	2346	2062
gene_6974	397	573	500
gene_6975	1430	1718	1611
gene_6977	218	324	295
gene_6978	4479	4854	4557
gene_6979	3094	3442	3271
gene_6980	6404	7739	6923
gene_6981	5459	5151	5802
gene_6982	2127	2485	2494
gene_6983	0	0	0
gene_6984	0	0	4
gene_6985	23495	25800	25924
gene_6986	5137	5225	5133
gene_6987	85	93	105
gene_6988	11387	12294	12483
gene_6989	495	501	535
gene_6990	1654	1791	1668
gene_6991	71	100	103
gene_6992	512	804	726
gene_6993	18	8	3
gene_6994	2	0	0
gene_6995	2181	2647	2524
gene_6996	2959	3543	3655
gene_6997	751	930	753
gene_6998	6923	8193	7392
gene_6999	3464	4093	3472
gene_7000	41	42	25
gene_7001	5623	6447	6307
gene_7002	5710	6531	6571
gene_7003	709	946	801
gene_7004	1665	2031	2114
gene_7005	1182	1523	1159
gene_7006	0	0	0
gene_7007	0	0	0
gene_7008	0	0	0
gene_7009	1675	1931	1739
gene_7010	2804	3534	3280
gene_7011	1591	1926	1830
gene_7012	1126	1242	1311
gene_7013	4431	5067	5000
gene_7014	0	0	0
gene_7015	12	8	33
gene_7016	10500	11365	10679
gene_7017	2185	2514	2469
gene_7018	3467	4150	3984
gene_7019	4311	4359	5008
gene_7020	3374	3156	3268
gene_7021	812	1063	800
gene_7022	121265	143916	130623
gene_7023	17309	18964	19913
gene_7024	5724	5757	5969
gene_7025	4265	3745	3998
gene_7026	1739	1931	1713
gene_7027	3011	3701	3433
gene_7029	76490	84586	80980
gene_7030	5185	5583	5810
gene_7034	1208	1277	1274
gene_7035	666	720	689
gene_7036	1634	1501	1796
gene_7037	830	1041	922
gene_7038	2996	3293	3317
gene_7039	1703	2075	2008
gene_7040	0	0	0
gene_7041	1410	1767	1618
gene_7042	7279	9291	8079
gene_7043	699	731	839
gene_7044	894	960	825
gene_7045	72	49	64
gene_7046	779	965	920
gene_7047	785	1064	949
gene_7050	414	416	371
gene_7049	406	408	339
gene_7052	11048	11634	11901
gene_7053	306	333	325
gene_7054	6430	7249	7188
gene_7055	1381	1568	1502
gene_7056	554	641	587
gene_7057	21	20	22
gene_7058	2723	3098	2875
gene_7059	3318	4007	3537
gene_7060	1270	1539	1272
gene_7061	4806	5551	4830
gene_7062	8075	8710	8565
gene_7063	8443	10526	9453
gene_7064	4055	5196	4113
gene_7065	3921	4219	4133
gene_7066	2746	3092	2908
gene_7067	234	299	276
gene_7068	660	805	702
gene_7069	292	388	333
gene_7070	663	805	805
gene_7071	322	424	317
gene_7072	991	1105	1102
gene_7073	8733	10214	9040
gene_7074	755	883	755
gene_7075	1255	1500	1607
gene_7076	3195	4000	3708
gene_7077	2480	2744	2754
gene_7078	1593	1537	1461
gene_7079	1233	1527	1301
gene_7080	3647	4592	4057
gene_7081	1423	1307	1268
gene_7082	356	386	436
gene_7083	2316	2630	2391
gene_7084	1754	1890	1936
gene_7085	4757	5153	4798
gene_7086	1221	1386	1137
gene_7087	1046	1273	1323
gene_7088	401	491	405
gene_7089	272	362	358
gene_7090	1802	1947	1855
gene_7091	2867	3646	2857
gene_7092	1807	2347	1923
gene_7093	3462	3634	3664
gene_7094	2000	2227	2121
gene_7095	1846	1953	1901
gene_7096	2257	2767	2360
gene_7097	2084	2641	2309
gene_7098	6491	7167	6649
gene_7099	3266	3738	3635
gene_7100	2757	3041	2978
gene_7101	2689	2808	2420
gene_7102	392	504	521
gene_7103	5415	5361	6033
gene_7105	2831	3245	2844
gene_7106	140	160	147
gene_7108	680	1013	787
gene_7109	15168	17921	15812
gene_7110	2042	2122	2238
gene_7111	2697	3575	3410
gene_7112	11638	12682	12147
gene_7113	27642	32639	28862
gene_7114	206	236	227
gene_7115	9997	11816	10772
gene_7116	3069	3813	3309
gene_7117	1352	1490	1207
gene_7118	4132	4613	4085
gene_7119	25136	30367	28561
gene_7120	849	1065	1122
gene_7121	1825	2332	1879
gene_7122	0	0	0
gene_7123	0	0	0
gene_7124	0	0	0
gene_7125	4456	5080	4287
gene_7126	4012	4646	4119
gene_7127	370	508	412
gene_7129	0	0	0
gene_7130	1184	1212	1180
gene_7131	4270	5074	4730
gene_7132	2213	3081	2777
gene_7133	36	36	30
gene_7134	19	47	43
gene_7135	1223	1507	1476
gene_7136	1603	2033	1722
gene_7137	892	1045	1175
gene_7138	17	8	20
gene_7139	14	7	1
gene_7140	4197	4111	4389
gene_7141	1231	1506	1439
gene_7142	3392	3712	3565
gene_7143	0	0	0
gene_7144	0	0	0
gene_7145	0	0	0
gene_7146	0	0	4
gene_7147	392	506	434
gene_7148	705	755	681
gene_7150	4	3	0
gene_7152	292	391	289
gene_7153	1360	1520	1458
gene_7154	717	780	841
gene_7155	2772	3173	3123
gene_7156	1138	1341	1164
gene_7157	131	181	168
gene_7158	9	0	6
gene_7159	5466	6085	6393
gene_7160	21	32	30
gene_7161	1955	2393	2092
gene_7162	1710	1878	1876
gene_7163	1318	1502	1332
gene_7164	9878	10670	11510
gene_7165	3247	3647	3146
gene_7166	8226	8694	8210
gene_7167	1308	1364	1381
gene_7168	933	1068	1074
gene_7169	693	890	798
gene_7170	19	9	10
gene_7171	561	754	734
gene_7172	392	480	377
gene_7173	4740	5506	4907
gene_7174	2162	2270	2146
gene_7175	24070	28838	26400
gene_7176	30276	36433	34205
gene_7177	1064	1373	1296
gene_7178	0	0	0
gene_7179	1	0	0
gene_7180	67	67	41
gene_7181	1010	893	1297
gene_7182	31	73	41
gene_7183	62	69	24
gene_7184	4124	5684	5062
gene_7185	33370	40475	36648
gene_7186	2097	2354	1903
gene_7187	10518	12871	11531
gene_7188	1217	1354	1284
gene_7189	138	139	148
gene_7190	6559	7801	6635
gene_7191	622	721	598
gene_7192	115	185	146
gene_7193	970	911	1079
gene_7194	870	975	928
gene_7195	2394	2819	2346
gene_7196	1752	1879	1728
gene_7197	882	1216	976
gene_7198	1695	2279	2050
gene_7199	2247	2317	2398
gene_7200	1155	1238	1379
gene_7201	2253	2593	2514
gene_7202	2713	3182	2685
gene_7203	3675	4531	4214
gene_7204	1353	1428	1530
gene_7205	4	0	0
gene_7206	1056	1404	1046
gene_7208	11	15	17
gene_7209	14147	18419	15640
gene_7210	1641	1725	1676
gene_7211	4454	5344	5095
gene_7212	39341	46193	40654
gene_7213	2988	3629	3424
gene_7214	2787	3086	2931
gene_7215	889	956	978
gene_7216	501	733	687
gene_7217	1837	2141	2166
gene_7218	2251	2796	2508
gene_7220	1197	1515	1483
gene_7221	1222	1260	1044
gene_7222	469	492	442
gene_7223	2	7	12
gene_7224	0	0	0
gene_7225	673	816	742
gene_7226	5732	6776	6014
gene_7227	482	619	516
gene_7228	1095	1261	1208
gene_7229	530	653	604
gene_7230	2153	2312	2588
gene_7231	2139	2377	2258
gene_7232	353	504	318
gene_7233	788	977	824
gene_7234	1313	1495	1519
gene_7235	0	1	0
gene_7236	1931	2261	2113
gene_7237	2546	3229	2986
gene_7238	679	832	946
gene_7239	1404	1696	1517
gene_7240	5479	6496	6286
gene_7241	154	179	150
gene_7242	30427	32042	33502
gene_7243	66	100	112
gene_7244	5211	5770	5719
gene_7245	0	0	0
gene_7246	0	0	0
gene_7247	0	0	0
gene_7248	0	0	0
gene_7249	1062	1153	1021
gene_7250	1170	1284	1136
gene_7251	2495	3006	2600
gene_7252	3421	4033	3587
gene_7253	1485	1681	1628
gene_7254	1308	1466	1317
gene_7255	2167	2445	2419
gene_7256	1905	2189	2083
gene_7257	1060	1256	1381
gene_7258	13	20	27
gene_7259	0	0	0
gene_7260	589	669	790
gene_7261	3007	3459	3200
gene_7262	620	634	681
gene_7263	289	477	425
gene_7264	105	76	73
gene_7265	94	90	124
gene_7266	130	131	130
gene_7267	53	72	43
gene_7268	25	30	43
gene_7269	2246	2797	2664
gene_7270	2060	1924	2008
gene_7273	0	0	0
gene_7274	0	0	0
gene_7275	2253	2510	2349
gene_7277	3393	3825	3349
gene_7278	0	0	0
gene_7280	1154	1335	1207
gene_7281	3301	3722	3888
gene_7282	875	1062	1000
gene_7283	0	0	0
gene_7284	2253	2627	2313
gene_7285	3135	3345	3498
gene_7286	2	1	1
gene_7287	5	2	0
gene_7288	5066	6343	5646
gene_7289	4124	4558	4591
gene_7290	0	0	0
gene_7291	0	0	0
gene_7292	2523	3270	2766
gene_7293	0	8	0
gene_7294	0	9	0
gene_7295	0	0	0
gene_7296	1422	1924	1557
gene_7297	282	302	282
gene_7298	701	927	1038
gene_7299	641	778	656
gene_7300	62	85	96
gene_7301	589	670	638
gene_7302	369	468	376
gene_7303	4	0	3
gene_7304	525	659	627
gene_7305	2805	3071	3062
gene_7306	20261	22417	22109
gene_7307	0	0	0
gene_7308	3172	3520	3586
gene_7309	1372	1441	1474
gene_7310	23393	24618	27731
gene_7311	1485	1727	1583
gene_7312	1290	1276	1173
gene_7313	746	785	729
gene_7314	1513	1725	1446
gene_7315	32736	35102	32418
gene_7316	689	754	674
gene_7317	0	0	0
gene_7318	0	0	0
gene_7319	0	0	0
gene_7320	0	0	0
gene_7321	1501	1867	1770
gene_7322	1387	1616	1408
gene_7323	799	816	739
gene_7324	832	936	1017
gene_7325	19	16	39
gene_7326	2180	2378	2606
gene_7327	697	872	740
gene_7328	1730	2045	1718
gene_7329	48	60	39
gene_7330	535	636	551
gene_7331	13204	15871	13967
gene_7332	25102	29730	26268
gene_7333	370	352	361
gene_7334	33	19	34
gene_7335	31	28	16
gene_7337	92	128	142
gene_7338	4	4	4
gene_7339	801	910	848
gene_7340	269	241	232
gene_7341	3446	4097	3777
gene_7342	576	685	525
gene_7343	7	0	10
gene_7344	1668	1857	1811
gene_7345	1461	1446	1721
gene_7346	709	766	826
gene_7347	1709	1967	1958
gene_7348	1093	1207	1103
gene_7349	6006	5770	6080
gene_7350	668	462	572
gene_7351	0	0	0
gene_7352	629	678	701
gene_7353	879	1056	974
gene_7354	1888	2099	2149
gene_7355	3117	3515	3262
gene_7356	1206	1342	1362
gene_7357	352	395	420
gene_7358	557	541	590
gene_7359	5	12	30
gene_7360	3449	4142	3912
gene_7361	14279	16260	16365
gene_7362	1559	1825	1943
gene_7363	2114	2155	2077
gene_7364	2398	2858	2434
gene_7365	613	655	706
gene_7366	194	194	241
gene_7368	7228	6852	7023
gene_7369	14	31	33
gene_7370	85	69	49
gene_7371	2122	2516	2121
gene_7372	611	729	712
gene_7373	340	355	413
gene_7374	1383	1555	1352
gene_7375	693	896	779
gene_7376	132	157	103
gene_7377	507	432	440
gene_7378	715	889	757
gene_7379	1624	1855	1764
gene_7380	2072	1720	2172
gene_7381	3807	4592	3742
gene_7382	363	417	402
gene_7383	819	934	796
gene_7384	1447	1680	1516
gene_7385	1017	1338	1109
gene_7386	1460	1585	1863
gene_7387	894	1130	972
gene_7388	1888	2091	2173
gene_7389	701	702	885
gene_7390	126	228	179
