Gene	Par_wo_1	Par_wo_2	Par_wo_3
gene_1143	4174	3876	4013
gene_1144	2708	2241	2655
gene_1145	1330	1036	1178
gene_1147	14572	13532	14240
gene_1148	3184	2891	3726
gene_1149	2937	2602	2524
gene_1150	1450	1275	1334
gene_1151	2848	2464	2484
gene_1152	1129	1000	1182
gene_1153	980	897	1054
gene_1154	343	241	335
gene_1155	17346	16386	20164
gene_1156	3675	3154	3881
gene_1157	626	487	599
gene_1158	8067	7719	8697
gene_1159	7279	6953	7643
gene_1160	3258	3226	3475
gene_1161	945	960	1099
gene_1162	893	705	824
gene_1163	11	4	2
gene_1164	8	11	12
gene_1165	1202	1039	1332
gene_1166	3685	2789	3132
gene_1167	27	24	44
gene_1168	2107	1975	1988
gene_1169	567	491	528
gene_1170	326	301	403
gene_1171	1629	1587	1859
gene_1172	5003	4760	4931
gene_1173	678	551	691
gene_1174	1299	1019	1185
gene_1175	1450	1359	1665
gene_1176	1039	924	993
gene_1177	153	154	104
gene_1178	1520	1230	1678
gene_1179	9062	8084	7253
gene_1180	2312	2228	2376
gene_1181	5911	5616	6577
gene_1182	630	412	475
gene_1183	924	836	1059
gene_1186	7417	6470	7113
gene_1187	43	22	39
gene_1188	6501	5535	5937
gene_1189	2648	2287	2588
gene_1190	843	762	810
gene_1191	757	708	732
gene_1192	503	334	340
gene_1193	32	14	16
gene_1194	0	0	0
gene_1195	821	645	675
gene_1196	6	9	4
gene_1197	1922	1734	1951
gene_1198	345	317	274
gene_1199	910	787	971
gene_1200	7230	6377	6368
gene_1201	822	722	795
gene_1202	1521	1278	1381
gene_1203	2267	2255	2093
gene_1204	30	9	10
gene_1205	3509	2759	3189
gene_1206	2266	1808	2060
gene_1207	1512	1303	1452
gene_1208	679	519	554
gene_1209	4722	4447	4618
gene_1210	1108	976	1134
gene_1211	41	14	37
gene_1213	1359	1273	1238
gene_1214	1802	1483	1568
gene_1215	556	486	581
gene_1216	573	429	574
gene_1217	341	333	335
gene_1218	2401	2248	2482
gene_1219	3433	3062	3081
gene_1220	1208	1098	975
gene_1221	89	45	72
gene_1222	390	399	399
gene_1223	1628	1356	1427
gene_1224	10718	9793	10188
gene_1225	361	357	375
gene_1226	2733	2405	2654
gene_1227	17	15	14
gene_1228	6119	5759	6766
gene_1229	2656	2395	2698
gene_1230	0	0	0
gene_1233	0	0	0
gene_1234	2	0	0
gene_1235	2	1	0
gene_1236	13105	13204	14788
gene_1237	2331	2395	2618
gene_1238	5766	5270	6468
gene_1239	4840	4618	4717
gene_1241	164	123	98
gene_1242	2606	2158	2265
gene_1243	932	874	985
gene_1244	17	2	12
gene_1245	0	0	0
gene_1246	0	0	2
gene_1247	0	0	0
gene_1248	225	264	271
gene_1249	8563	8108	9052
gene_1250	3203	2773	2814
gene_1251	3614	3212	3664
gene_1252	0	1	0
gene_1253	1	0	2
gene_1254	3273	2917	3367
gene_1255	3357	3036	3180
gene_1256	3381	3058	3643
gene_1257	1	0	0
gene_1258	0	0	6
gene_1259	0	0	0
gene_1260	137	150	178
gene_1261	185	181	226
gene_1262	3098	2657	2895
gene_1263	15580	13434	14620
gene_1264	0	1	0
gene_1266	2	0	2
gene_1268	0	2	0
gene_1269	0	0	1
gene_1270	122	88	159
gene_1271	8978	8394	10091
gene_1272	706	618	760
gene_1273	569	503	543
gene_1274	384	255	376
gene_1275	0	0	22
gene_1276	1101	936	1237
gene_1277	1507	1448	1593
gene_1278	1603	1443	1640
gene_1279	500	395	451
gene_1280	634	546	584
gene_1281	782	716	734
gene_1282	1219	1075	1317
gene_1283	714	590	799
gene_1284	432	355	400
gene_1285	154	141	134
gene_1286	56	70	48
gene_1287	15	7	11
gene_1288	293	209	251
gene_1289	72	38	80
gene_1290	166	148	139
gene_1291	843	537	508
gene_1292	97	91	48
gene_1293	260	235	265
gene_1294	234	151	164
gene_6461	1303	1015	1294
gene_6462	1168	1005	1247
gene_6463	14	5	25
gene_6464	8711	7744	8453
gene_6465	2867	2547	3117
gene_6466	26	21	20
gene_6467	10140	10496	10586
gene_6468	2613	2423	2806
gene_6469	238	244	310
gene_6470	111	94	133
gene_6471	105505	93822	107969
gene_6472	7709	6986	8594
gene_6473	270419	234435	279962
gene_6474	947	880	1095
gene_6475	467	387	404
gene_6476	578	536	581
gene_6477	1446	1172	1259
gene_6478	126	139	139
gene_6479	654	588	772
gene_6480	7645	6563	7122
gene_6481	605	489	400
gene_6482	1157	1010	1050
gene_6484	7093	6678	7556
gene_6485	250	236	278
gene_6486	141	117	147
gene_6487	73	81	69
gene_6488	520	396	447
gene_6489	1595	1242	1578
gene_6490	1168	1031	1096
gene_6491	10346	8628	9411
gene_6492	14958	13660	17388
gene_6493	1261	1214	1268
gene_6494	840	751	860
gene_6495	348	298	400
gene_6496	318	293	280
gene_6497	3581	2886	3084
gene_6498	0	4	26
gene_6499	119	110	110
gene_6500	1583	1469	1548
gene_6501	1999	1557	1661
gene_6502	1726	1409	1648
gene_6503	10771	10339	11628
gene_6504	3603	3195	3681
gene_6505	381	344	422
gene_6506	4710	4370	4447
gene_6508	4377	4029	4513
gene_6509	1387	1387	1469
gene_6510	35924	28901	31829
gene_6511	742	610	746
gene_6512	2981	2875	3092
gene_6513	1322	1138	1200
gene_6514	19477	17245	19200
gene_6515	275	247	228
gene_6517	480	396	489
gene_6518	1476	1316	1690
gene_6519	112	89	113
gene_6520	12925	11976	13130
gene_6522	63910	52610	57722
gene_6523	1769	1637	1845
gene_6524	4907	4390	4104
gene_6525	933	806	1119
gene_6526	1222	1004	1037
gene_6528	2163	1550	1945
gene_6529	3223	2876	3332
gene_6530	8568	8024	8210
gene_6531	9240	8449	9358
gene_6532	6583	6336	7031
gene_6533	7415	6446	7029
gene_6534	1888	1746	1928
gene_6535	6250	5401	5482
gene_6536	5568	4768	5926
gene_6537	1776	1742	2067
gene_6538	949	929	1093
gene_6539	10779	9645	10291
gene_6540	4793	4244	4984
gene_6541	12	2	20
gene_6542	26	29	33
gene_6543	462	446	481
gene_6544	2584	2732	2721
gene_6546	2418	2051	1992
gene_6548	29184	27839	29399
gene_6549	2348	1888	2060
gene_6551	36912	33034	36018
gene_6552	21718	19212	19775
gene_6553	386	312	379
gene_6555	1607	1504	1812
gene_6556	867	930	971
gene_6557	2640	2579	2871
gene_6558	729	541	624
gene_6559	27470	24678	24508
gene_6560	2079	1861	1923
gene_6561	4695	3805	3845
gene_6562	2715	2399	2864
gene_6563	2035	1757	2093
gene_6564	2104	1833	2052
gene_6565	11835	11192	12305
gene_6566	4184	3574	4200
gene_6567	17209	15643	17087
gene_6568	542	426	398
gene_6569	3143	2875	3181
gene_6570	596	431	527
gene_6571	1584	1260	1424
gene_6572	279	248	218
gene_6573	3223	3093	3429
gene_6575	2498	2064	2071
gene_6576	1099	925	1079
gene_6577	2861	2424	2906
gene_6578	98	66	107
gene_6579	4909	4627	4849
gene_6580	3804	3746	3893
gene_6581	1464	1207	1649
gene_6582	2804	2643	2776
gene_6583	975	836	951
gene_6584	571	473	448
gene_6585	541	583	619
gene_6586	264	176	230
gene_6587	3928	3602	3693
gene_6588	1393	1196	1426
gene_6589	0	0	0
gene_6590	0	0	0
gene_6591	1603	1345	1557
gene_6592	2090	1761	1677
gene_6593	77358	66658	69268
gene_6594	1650	1540	1802
gene_6595	496	558	567
gene_6596	534	322	431
gene_6597	0	0	2
gene_6599	1386	1363	1426
gene_6600	669	713	717
gene_6601	47	39	45
gene_6602	2911	2324	2559
gene_6603	7047	5780	6886
gene_6604	931	811	1067
gene_6605	655	603	702
gene_6606	81	63	86
gene_6608	5156	4679	5388
gene_6609	9813	8779	9627
gene_6610	22445	18088	19931
gene_6611	2522	2498	2796
gene_6612	1728	1627	1715
gene_6613	2597	2187	2500
gene_6614	2196	1892	2237
gene_6615	5840	5501	6326
gene_6616	256	207	221
gene_6617	2721	2439	2789
gene_6618	1734	1462	1455
gene_6619	233	221	238
gene_6620	2284	2011	2219
gene_6621	1949	1968	2117
gene_6622	1940	1669	1782
gene_6623	1933	2044	2164
gene_6624	2127	1999	1937
gene_6626	218	190	203
gene_6627	784	742	973
gene_6628	777	654	837
gene_6629	632	565	555
gene_6630	475	360	536
gene_6631	18	12	27
gene_6632	215	154	190
gene_6635	1094	835	855
gene_6636	1664	1522	1703
gene_6637	420	467	492
gene_6638	1172	1069	1198
gene_6639	3087	2532	2666
gene_6640	866	750	891
gene_6641	359	458	455
gene_6642	1105	1107	1047
gene_6643	2042	1745	2028
gene_6644	225	174	186
gene_6645	1655	1553	1815
gene_6646	263	221	249
gene_6647	493	450	516
gene_6648	0	0	0
gene_6649	0	0	0
gene_6650	0	2	0
gene_6651	1283	1162	1400
gene_6652	7669	7364	7691
gene_6653	2448	2314	2553
gene_6654	224	195	231
gene_6655	30739	28211	33329
gene_6656	1008	806	956
gene_6657	3933	3161	3702
gene_6658	2	1	2
gene_6659	0	1	0
gene_6660	30	76	47
gene_6661	680	502	645
gene_6662	974	835	972
gene_6663	4125	3814	3878
gene_6664	1912	1757	1845
gene_6665	808	589	746
gene_6666	1666	1328	1672
gene_6667	1367	1032	1214
gene_6668	6260	5509	6227
gene_6669	764	631	698
gene_6670	679	642	678
gene_6671	1496	1212	1413
gene_6672	2961	2489	2846
gene_6673	20365	17882	19874
gene_6675	33966	31533	38332
gene_6676	967	843	1088
gene_6678	3807	3631	3826
gene_6679	327	337	357
gene_6680	2842	2500	2651
gene_6681	4336	3660	4104
gene_6682	1154	1019	1171
gene_6683	30149	27428	31774
gene_6684	5013	4730	5126
gene_6685	465	366	550
gene_6686	2708	2509	2669
gene_6688	0	0	0
gene_6689	813	588	618
gene_6690	2599	2371	2615
gene_6691	3044	2753	3395
gene_6692	38057	31689	33631
gene_6693	37	49	53
gene_6694	4713	4063	4734
gene_6695	717	643	748
gene_6697	344	364	370
gene_6698	165	167	159
gene_6699	3607	2860	2921
gene_6700	1434	1368	1554
gene_6701	1358	1432	1472
gene_6702	5089	4784	5087
gene_6703	7746	7033	7080
gene_6704	935	889	975
gene_6705	1762	1602	1891
gene_6706	1515	1355	1340
gene_6707	409	414	412
gene_6708	11340	9683	12298
gene_6709	660	588	691
gene_6710	3718	3116	3509
gene_6711	4505	4023	4656
gene_6712	6045	5394	5892
gene_6713	547	467	532
gene_6714	2519	2178	2311
gene_6715	727	682	793
gene_6716	1736	1544	1975
gene_6717	1297	1208	1447
gene_6718	4240	4428	4865
gene_6719	0	0	0
gene_6721	0	0	0
gene_6722	638	532	659
gene_6723	802	742	743
gene_6724	803	693	790
gene_6725	1916	1748	1841
gene_6726	291	304	299
gene_6727	1416	1258	1402
gene_6729	8292	7009	8187
gene_6730	0	0	0
gene_6731	0	1	0
gene_6732	0	0	0
gene_6733	0	0	3
gene_6734	8912	7900	8911
gene_6735	18933	16872	17232
gene_6736	538	517	494
gene_6737	862	616	754
gene_6738	1810	1696	1756
gene_6739	541	516	571
gene_6740	0	0	6
gene_6741	1309	1183	1313
gene_6744	2007	1679	1957
gene_6745	67	43	45
gene_6746	4116	3571	4139
gene_6747	7814	7203	7246
gene_6748	1888	1659	1649
gene_6749	338	344	327
gene_6750	2457	2057	2354
gene_6751	0	0	0
gene_6752	195	190	233
gene_6753	259	251	213
gene_6754	15	19	29
gene_6755	4669	4035	4261
gene_6756	375	269	339
gene_6757	20145	18227	21135
gene_6758	1590	1475	1464
gene_6759	43	37	57
gene_6760	8	2	3
gene_6761	216	174	196
gene_6762	3354	2950	3463
gene_6764	6	2	3
gene_6765	861	655	782
gene_6766	3274	2704	3034
gene_6767	8	8	19
gene_6768	1104	972	1105
gene_6769	4008	3782	4689
gene_6770	1401	1276	1521
gene_6771	1095	958	938
gene_6772	2312	1997	2339
gene_6773	12491	11648	13976
gene_6774	9697	7723	9044
gene_6775	2970	2426	2858
gene_6776	1904	1924	1994
gene_6777	16989	15088	16200
gene_6778	776	647	734
gene_6779	755	592	701
gene_6780	1003	800	986
gene_6781	14669	13014	14393
gene_6782	277	198	292
gene_6783	1663	1466	1767
gene_6784	1580	1300	1379
gene_6785	21021	19555	20646
gene_6786	1030	976	1027
gene_6788	258	194	211
gene_6789	4080	3705	4039
gene_6790	1536	1516	1680
gene_6791	6815	6540	6643
gene_6792	500	540	508
gene_6793	5929	5229	5629
gene_6794	451	370	475
gene_6795	1550	1358	1285
gene_6796	1452	1424	1592
gene_6797	953	708	951
gene_6798	3056	2891	2865
gene_6799	501	416	480
gene_6800	128	115	120
gene_6801	688	672	785
gene_6802	2616	2664	2798
gene_6803	3921	3350	3468
gene_6804	4	3	9
gene_6805	6	10	10
gene_6806	13134	12623	13213
gene_6807	1223	1121	1378
gene_6808	354	402	374
gene_6809	11	32	4
gene_6810	24210	22845	26122
gene_6811	11081	10607	13090
gene_6813	3	3	12
gene_6814	14252	13570	13688
gene_6815	1412	1315	1501
gene_6816	4216	3539	4167
gene_6817	960	1009	1099
gene_6818	3965	3831	4684
gene_6819	1103	993	1039
gene_6820	592	560	521
gene_6821	1875	1644	2016
gene_6823	0	0	0
gene_6824	1405	1414	1609
gene_6825	1987	1918	2114
gene_6826	3420	2797	3588
gene_6827	1790	1530	1909
gene_6828	601	452	529
gene_6829	0	0	0
gene_6830	775	709	857
gene_6831	2460	2306	2686
gene_6832	1801	1825	1789
gene_6833	67	49	56
gene_6834	11068	9338	9713
gene_6835	0	2	1
gene_6836	10	0	2
gene_6837	2567	2592	2894
gene_6838	397	273	424
gene_6839	20543	18481	22698
gene_6841	15169	12606	13840
gene_6842	12404	11948	13476
gene_6843	3291	3031	3103
gene_6844	3283	2589	3203
gene_6845	1	0	0
gene_6846	0	0	0
gene_6849	19938	18168	19318
gene_6850	434	358	453
gene_6851	2564	2481	2707
gene_6852	3717	3548	4240
gene_6853	0	1	0
gene_6855	0	0	0
gene_6856	2219	1874	1855
gene_6857	300	247	255
gene_6858	6	0	13
gene_6860	226	197	207
gene_6861	424	341	472
gene_6862	274	216	255
gene_6863	42	32	37
gene_6864	196	154	201
gene_6865	463	339	385
gene_6867	0	0	0
gene_6868	0	0	0
gene_6869	0	0	0
gene_6870	0	0	0
gene_6871	485	325	433
gene_6872	988	828	953
gene_6873	1382	1147	1333
gene_6874	285	329	268
gene_6875	808	712	737
gene_6876	1064	1155	1126
gene_6877	3691	3229	3217
gene_6878	873	656	718
gene_6879	109	123	128
gene_6880	39	31	38
gene_6881	2	5	0
gene_6882	0	0	2
gene_6883	2	1	0
gene_6884	0	0	1
gene_6885	3	4	10
gene_6886	6	11	10
gene_6887	558	460	606
gene_6888	949	794	765
gene_6889	0	0	4
gene_6890	1164	1207	1254
gene_6891	65	80	95
gene_6892	0	0	0
gene_6893	0	0	2
gene_6894	0	0	0
gene_6895	4	0	0
gene_6896	0	0	0
gene_6897	85	99	69
gene_6898	924	774	838
gene_6899	24	10	17
gene_6900	9	6	13
gene_6901	0	4	1
gene_6902	1	4	8
gene_6903	127	92	140
gene_6904	0	4	3
gene_6905	0	0	0
gene_6906	0	4	2
gene_6907	1065	860	992
gene_6908	3	2	5
gene_6911	1090	910	947
gene_6912	206	184	157
gene_6913	146	107	180
gene_6914	270	171	197
gene_6915	10	13	15
gene_6916	0	5	3
gene_6917	1224	918	1050
gene_6918	5	3	7
gene_6919	1190	789	1012
gene_6920	2214	1939	2223
gene_6921	689	553	733
gene_6922	11	12	5
gene_6923	819	707	830
gene_6924	2028	1975	2121
gene_6925	561	462	607
gene_6926	46	22	34
gene_6927	635	572	598
gene_6928	0	0	0
gene_6929	0	2	7
gene_6931	171	181	161
gene_6932	6928	5778	6197
gene_6933	927	699	890
gene_6934	254	215	231
gene_6935	83	63	63
gene_6936	10	11	8
gene_6937	979	826	1084
gene_6938	379	286	332
gene_6939	822	704	776
gene_6940	668	567	718
gene_6941	823	580	612
gene_6943	472	575	544
gene_6944	3177	2657	3171
gene_6945	32	19	14
gene_6946	976	722	817
gene_6947	1036	899	999
gene_6948	2987	2819	3064
gene_6949	0	0	0
gene_6951	0	0	0
gene_6953	98	87	137
gene_6954	2532	2562	2985
gene_6955	94	62	101
gene_6956	1691	1471	1619
gene_6957	1955	1493	1629
gene_6958	6529	5496	5208
gene_6959	1890	1627	1734
gene_6960	4962	4086	4434
gene_6961	1651	1280	1289
gene_6962	184	196	237
gene_6963	0	0	0
gene_6964	0	2	2
gene_6965	370	305	451
gene_6966	0	0	0
gene_6967	20	16	33
gene_6969	5587	5004	5251
gene_6971	904	776	982
gene_6972	1367	1401	1481
gene_6973	1750	1834	1949
gene_6974	540	404	472
gene_6975	915	796	893
gene_6977	240	220	162
gene_6978	4337	4360	4497
gene_6979	2614	2563	2717
gene_6980	2448	2295	2575
gene_6981	6062	5674	5468
gene_6982	1272	971	808
gene_6983	0	0	1
gene_6984	0	0	0
gene_6985	55331	44165	49395
gene_6986	6358	5807	6253
gene_6987	185	117	164
gene_6988	27155	21736	23582
gene_6989	938	731	785
gene_6990	2633	2302	2678
gene_6991	64	74	96
gene_6992	603	591	671
gene_6993	15	29	42
gene_6994	4	8	8
gene_6995	1431	1305	1226
gene_6996	8204	7514	8309
gene_6997	825	651	850
gene_6998	6170	5314	6409
gene_6999	3050	2836	3249
gene_7000	13	8	17
gene_7001	2902	2860	2780
gene_7002	6048	6154	6972
gene_7003	1309	1158	1389
gene_7004	846	794	923
gene_7005	1107	831	944
gene_7006	0	0	0
gene_7007	0	0	0
gene_7008	0	0	0
gene_7009	1241	987	1095
gene_7010	2067	1577	1750
gene_7011	3039	2465	3011
gene_7012	1333	1087	1426
gene_7013	4482	4141	4595
gene_7014	0	0	8
gene_7015	8	6	26
gene_7016	8527	8266	8385
gene_7017	2175	1795	1850
gene_7018	7371	6398	7125
gene_7019	11858	11658	13180
gene_7020	4782	4365	4468
gene_7021	538	501	518
gene_7022	137873	130031	148152
gene_7023	31505	26015	29703
gene_7024	18879	15705	17576
gene_7025	4547	4408	4541
gene_7026	1340	1223	1448
gene_7027	1573	1507	1631
gene_7029	63502	55399	56053
gene_7030	20643	20226	22539
gene_7034	3896	3613	3796
gene_7035	901	852	1033
gene_7036	2362	2150	2155
gene_7037	882	721	957
gene_7038	2273	1939	2474
gene_7039	1306	1057	1236
gene_7040	0	0	2
gene_7041	1095	952	1184
gene_7042	4759	4350	4654
gene_7043	654	586	679
gene_7044	494	514	598
gene_7045	102	62	117
gene_7046	884	771	910
gene_7047	1031	994	1046
gene_7050	330	230	324
gene_7049	312	202	313
gene_7052	8155	6913	7298
gene_7053	184	186	157
gene_7054	17129	16774	18209
gene_7055	773	723	797
gene_7056	1107	1131	1252
gene_7057	8	31	14
gene_7058	2465	2252	2424
gene_7059	3395	2915	3407
gene_7060	1161	1030	1351
gene_7061	4885	4369	5305
gene_7062	6233	5805	6057
gene_7063	14271	14192	16306
gene_7064	6129	5382	5773
gene_7065	4910	4434	4923
gene_7066	2163	1862	2005
gene_7067	306	258	333
gene_7068	971	913	863
gene_7069	324	266	325
gene_7070	1236	1243	1396
gene_7071	163	127	183
gene_7072	1757	1808	2137
gene_7073	8539	8392	8693
gene_7074	780	643	807
gene_7075	1151	888	981
gene_7076	2731	2589	2820
gene_7077	1990	1729	1949
gene_7078	1337	1154	1143
gene_7079	2428	2377	2520
gene_7080	2963	2587	2969
gene_7081	1073	960	1003
gene_7082	410	316	449
gene_7083	1695	1504	1685
gene_7084	4274	4095	4836
gene_7085	3988	3568	3686
gene_7086	1233	1087	1230
gene_7087	1684	1544	1812
gene_7088	753	701	742
gene_7089	523	510	550
gene_7090	1297	1179	1454
gene_7091	3268	2785	2843
gene_7092	1262	1044	1228
gene_7093	2583	2331	2517
gene_7094	1627	1588	1572
gene_7095	1329	1244	1267
gene_7096	2661	2293	2400
gene_7097	1536	1239	1489
gene_7098	4327	3661	3965
gene_7099	3404	3169	3739
gene_7100	3158	2758	3278
gene_7101	4482	4319	4196
gene_7102	434	347	354
gene_7103	13542	13446	13597
gene_7105	4006	3608	4104
gene_7106	153	158	145
gene_7108	1080	967	1141
gene_7109	30154	28506	33924
gene_7110	2022	1696	2050
gene_7111	2246	1865	2192
gene_7112	14900	13271	14628
gene_7113	31646	28219	31677
gene_7114	249	237	305
gene_7115	17065	16668	19389
gene_7116	6673	6388	6907
gene_7117	1980	1799	2065
gene_7118	5560	4774	5214
gene_7119	56702	53237	61724
gene_7120	2245	2128	2515
gene_7121	2450	2173	2259
gene_7122	0	0	0
gene_7123	0	0	2
gene_7124	0	0	0
gene_7125	4188	3927	4396
gene_7126	4421	3656	4377
gene_7127	446	279	379
gene_7129	0	0	0
gene_7130	848	667	796
gene_7131	4244	3831	4174
gene_7132	2434	2036	2476
gene_7133	22	11	29
gene_7134	9	11	17
gene_7135	962	908	1078
gene_7136	1194	923	1160
gene_7137	872	825	842
gene_7138	5	5	8
gene_7139	8	13	12
gene_7140	4351	3918	4532
gene_7141	1026	1014	1029
gene_7142	3877	3475	3709
gene_7143	0	0	0
gene_7144	0	0	0
gene_7145	0	0	0
gene_7146	0	0	0
gene_7147	906	724	852
gene_7148	356	316	349
gene_7150	0	0	3
gene_7152	466	363	415
gene_7153	1256	1282	1324
gene_7154	1164	1103	1294
gene_7155	3192	2926	3012
gene_7156	1507	1428	1609
gene_7157	152	193	171
gene_7158	18	2	9
gene_7159	16469	14443	15476
gene_7160	38	14	32
gene_7161	1026	873	1014
gene_7162	1306	1167	1429
gene_7163	1109	949	933
gene_7164	14662	13099	14418
gene_7165	4140	3825	4231
gene_7166	8390	7463	8178
gene_7167	1763	1612	1594
gene_7168	575	429	550
gene_7169	650	583	701
gene_7170	22	8	20
gene_7171	1563	1369	1752
gene_7172	543	513	613
gene_7173	3514	3175	3414
gene_7174	1731	1456	1526
gene_7175	20208	16424	18545
gene_7176	41316	37870	43884
gene_7177	916	879	947
gene_7178	0	0	0
gene_7179	0	0	0
gene_7180	83	75	76
gene_7181	1613	1161	1287
gene_7182	50	19	32
gene_7183	27	52	22
gene_7184	2451	2240	2475
gene_7185	18665	15804	17549
gene_7186	1925	1716	1717
gene_7187	20685	18756	21663
gene_7188	1365	1278	1379
gene_7189	213	183	181
gene_7190	13313	11397	13360
gene_7191	955	765	939
gene_7192	131	79	56
gene_7193	2535	2238	2264
gene_7194	954	902	964
gene_7195	1846	1582	1740
gene_7196	999	857	949
gene_7197	581	597	619
gene_7198	1352	1187	1292
gene_7199	1859	1760	1897
gene_7200	871	768	991
gene_7201	2500	2064	2419
gene_7202	2184	2015	2403
gene_7203	3068	2608	3529
gene_7204	721	631	669
gene_7205	0	0	2
gene_7206	1313	1177	1389
gene_7208	19	9	24
gene_7209	10955	9941	11687
gene_7210	1471	1300	1453
gene_7211	4364	4342	4864
gene_7212	46468	41526	49417
gene_7213	1405	1158	1186
gene_7214	11962	10823	11768
gene_7215	2185	2062	2268
gene_7216	2312	2300	2517
gene_7217	1733	1368	1444
gene_7218	2489	2210	2551
gene_7220	1012	1030	1080
gene_7221	1108	883	952
gene_7222	500	454	481
gene_7223	2	2	0
gene_7224	0	0	2
gene_7225	625	577	668
gene_7226	5310	4802	5458
gene_7227	585	468	597
gene_7228	968	914	1138
gene_7229	432	413	334
gene_7230	3056	3099	3147
gene_7231	1751	1554	1491
gene_7232	160	119	142
gene_7233	1900	1766	1848
gene_7234	2849	2678	3198
gene_7235	0	0	0
gene_7236	2008	1659	1823
gene_7237	3867	3324	3661
gene_7238	1480	1383	1550
gene_7239	1153	1028	1017
gene_7240	5640	4729	5038
gene_7241	975	622	703
gene_7242	69653	53080	56476
gene_7243	72	78	84
gene_7244	6244	5599	6068
gene_7245	0	0	0
gene_7246	0	0	0
gene_7247	0	0	0
gene_7248	0	0	2
gene_7249	1499	1428	1777
gene_7250	1267	1042	1277
gene_7251	2233	2040	2159
gene_7252	3973	3600	3748
gene_7253	2195	1730	2005
gene_7254	1355	1192	1283
gene_7255	1839	1348	1617
gene_7256	1121	1097	1238
gene_7257	896	747	875
gene_7258	21	23	25
gene_7259	4	0	0
gene_7260	874	763	662
gene_7261	5479	5531	6172
gene_7262	463	522	591
gene_7263	301	278	341
gene_7264	87	45	53
gene_7265	78	74	81
gene_7266	103	123	129
gene_7267	101	89	113
gene_7268	13	9	17
gene_7269	3997	3767	4018
gene_7270	3890	3356	3505
gene_7273	0	0	0
gene_7274	0	0	0
gene_7275	2449	2473	2638
gene_7277	2034	1796	2000
gene_7278	2	0	0
gene_7280	654	668	743
gene_7281	2566	2270	2483
gene_7282	524	439	408
gene_7283	0	0	0
gene_7284	3042	2828	2765
gene_7285	3186	2684	2836
gene_7286	1	4	3
gene_7287	8	6	10
gene_7288	3725	3378	3981
gene_7289	5111	4779	4850
gene_7290	0	0	0
gene_7291	0	0	1
gene_7292	1860	2002	2098
gene_7293	2	0	4
gene_7294	5	0	5
gene_7295	0	1	0
gene_7296	1039	950	1055
gene_7297	165	135	130
gene_7298	336	256	318
gene_7299	379	371	420
gene_7300	47	45	45
gene_7301	487	443	463
gene_7302	242	197	308
gene_7303	3	0	1
gene_7304	318	210	214
gene_7305	1568	1417	1502
gene_7306	1702	1575	1555
gene_7307	0	0	0
gene_7308	3743	3376	3630
gene_7309	504	354	418
gene_7310	16781	15952	17604
gene_7311	1120	1021	1107
gene_7312	821	702	789
gene_7313	513	419	517
gene_7314	917	858	788
gene_7315	22579	19399	21894
gene_7316	631	533	720
gene_7317	0	0	2
gene_7318	0	0	0
gene_7319	0	0	0
gene_7320	0	0	0
gene_7321	864	794	865
gene_7322	670	739	831
gene_7323	450	395	468
gene_7324	350	348	408
gene_7325	2	6	11
gene_7326	1662	1300	1504
gene_7327	360	249	268
gene_7328	804	697	749
gene_7329	24	20	33
gene_7330	829	536	550
gene_7331	16767	13944	15730
gene_7332	26471	21709	26047
gene_7333	286	296	309
gene_7334	37	29	17
gene_7335	54	26	41
gene_7337	62	62	77
gene_7338	0	0	0
gene_7339	2954	2600	2905
gene_7340	174	213	216
gene_7341	4170	3718	4348
gene_7342	628	599	605
gene_7343	1	3	1
gene_7344	2021	1749	1845
gene_7345	3425	2535	2813
gene_7346	1798	1840	1909
gene_7347	1416	1227	1431
gene_7348	1135	1010	1249
gene_7349	5396	4586	5053
gene_7350	383	359	382
gene_7351	0	0	5
gene_7352	444	315	467
gene_7353	700	629	819
gene_7354	1828	1651	1662
gene_7355	1647	1283	1591
gene_7356	852	803	955
gene_7357	530	447	487
gene_7358	507	392	420
gene_7359	19	15	41
gene_7360	7419	6725	7940
gene_7361	37165	33860	39000
gene_7362	2468	2185	2429
gene_7363	1890	1683	2014
gene_7364	3558	3112	3654
gene_7365	670	520	716
gene_7366	246	238	212
gene_7368	4971	4456	4610
gene_7369	34	18	15
gene_7370	74	61	77
gene_7371	1619	1583	1614
gene_7372	610	474	590
gene_7373	277	224	326
gene_7374	780	692	773
gene_7375	525	444	635
gene_7376	88	91	104
gene_7377	2685	2659	2107
gene_7378	585	513	634
gene_7379	1440	1155	1249
gene_7380	2805	2450	2177
gene_7381	3358	2854	3269
gene_7382	248	157	221
gene_7383	1230	1106	1171
gene_7384	1562	1347	1433
gene_7385	914	684	751
gene_7386	2081	1758	1817
gene_7387	683	579	656
gene_7388	1401	1316	1419
gene_7389	1269	1103	1255
gene_7390	217	183	191
gene_7391	547	555	706
gene_7392	3	7	8
gene_7393	2712	2413	2743
gene_7394	510	472	501
gene_7395	1576	1366	1612
gene_7396	567	435	432
gene_7397	80	54	44
gene_7398	416	451	498
gene_7399	970	1019	1044
gene_7400	2954	2835	3143
gene_7401	3268	2709	2978
gene_7402	2300	2006	2259
gene_7403	258	282	251
gene_7404	3290	2858	3005
gene_7405	434	297	345
gene_7406	1622	1453	1565
gene_7407	3813	3341	3536
gene_7408	9009	8724	10003
gene_7409	5514	4380	5023
gene_7410	4189	4128	4602
gene_7411	1780	1624	1999
