Gene	Par_wo_1	Par_wo_2	Par_wo_3
gene_265	669	599	696
gene_266	15951	13859	14408
gene_267	132	119	120
gene_268	4080	3327	3683
gene_269	2791	2583	2744
gene_270	1118	900	913
gene_271	4735	4355	4343
gene_272	28307	23591	24939
gene_273	3633	3458	3518
gene_274	223	180	239
gene_276	2	0	0
gene_277	326	213	304
gene_278	603	587	657
gene_279	8492	7983	8674
gene_280	1502	1472	1517
gene_281	782	769	919
gene_282	413	484	441
gene_283	119	142	130
gene_284	1390	1215	1410
gene_285	2133	1937	1977
gene_286	974	757	941
gene_287	3346	3021	3124
gene_289	6545	5760	6201
gene_290	1020	900	1030
gene_291	705	563	607
gene_292	2405	2165	2280
gene_293	1869	1765	2042
gene_294	237	222	274
gene_295	592	593	599
gene_296	2999	2885	3397
gene_297	0	6	9
gene_298	641	617	673
gene_299	1906	1927	2022
gene_300	9337	8001	8509
gene_301	2120	1888	1948
gene_302	1	10	5
gene_303	509	460	545
gene_304	34	4	28
gene_305	1996	1957	2329
gene_306	4209	3762	4405
gene_307	171978	179113	192209
gene_308	12268	11027	11711
gene_309	125	104	96
gene_310	2693	2321	2296
gene_311	3603	3565	3915
gene_312	719	668	761
gene_313	2132	1593	1934
gene_314	1148	967	1072
gene_315	470	319	376
gene_316	2199	1759	2105
gene_318	5997	5461	5327
gene_319	0	2	0
gene_320	0	0	1
gene_321	0	0	8
gene_322	114	137	149
gene_323	544	460	700
gene_324	7796	5591	6822
gene_325	11279	9986	9578
gene_326	2272	2130	2361
gene_327	6	2	4
gene_328	11255	9699	11096
gene_329	2599	2307	2606
gene_330	27989	25178	28241
gene_331	1112	882	1082
gene_332	9745	9093	9634
gene_333	1453	1360	1343
gene_334	6244	5254	5315
gene_335	433	357	377
gene_336	690	695	681
gene_337	1055	903	907
gene_338	141	103	94
gene_339	358	299	364
gene_340	0	0	2
gene_341	2994	2839	2991
gene_342	39429	34069	36942
gene_343	1270	1291	1251
gene_344	5106	4729	4971
gene_345	1269	1064	1348
gene_346	3188	2642	2992
gene_347	837	637	857
gene_348	1670	1606	1845
gene_349	1438	1289	1292
gene_350	2197	1943	2326
gene_353	2439	2206	2676
gene_354	112	127	177
gene_355	3291	2813	3025
gene_356	6591	5946	6091
gene_357	560	438	568
gene_358	2191	2238	2168
gene_359	971	811	937
gene_360	12101	10518	11408
gene_361	621	462	545
gene_362	5166	5089	5286
gene_363	4103	3898	4511
gene_364	792	777	720
gene_365	1097	1017	967
gene_366	17934	16652	18652
gene_367	2336	2021	2215
gene_368	569	495	453
gene_369	1159	1036	998
gene_370	8936	8008	8999
gene_371	2104	1986	2147
gene_372	16131	15849	16671
gene_373	32	32	42
gene_374	4764	4480	5198
gene_375	1739	1751	1690
gene_376	3465	3044	3492
gene_377	1674	1479	1665
gene_378	2099	1907	1845
gene_379	377	357	349
gene_380	214	148	181
gene_381	2572	2420	2973
gene_382	1827	1398	1656
gene_383	3267	2976	3247
gene_384	8379	7616	9008
gene_385	4209	3769	4200
gene_386	2911	2533	2772
gene_387	18344	17259	19353
gene_388	6949	6505	7368
gene_389	22111	21025	22296
gene_390	3254	3013	3481
gene_391	2933	2588	2606
gene_392	39374	35870	41914
gene_393	6765	6444	7173
gene_394	6942	5921	7106
gene_395	522	523	647
gene_396	12006	11835	12824
gene_397	4371	4041	4433
gene_398	1336	1110	1245
gene_399	7834	6928	8372
gene_400	884	781	816
gene_401	6448	5762	6991
gene_402	2661	2374	2824
gene_403	8142	7307	7626
gene_404	1484	1648	1714
gene_405	5469	5116	4989
gene_406	257	174	234
gene_407	2060	1816	2008
gene_408	1759	1613	1904
gene_409	45911	40969	45025
gene_410	1515	1291	1515
gene_411	1485	1207	1493
gene_412	17535	15929	17412
gene_413	58	39	44
gene_414	54222	45876	52106
gene_415	1244	1235	1487
gene_416	18631	16450	18574
gene_417	6736	6187	7011
gene_418	1224	1083	1194
gene_419	838	749	788
gene_420	7954	7484	7543
gene_421	952	876	959
gene_422	15023	13996	15382
gene_423	437	444	548
gene_424	523	524	633
gene_425	222	187	187
gene_426	2779	2465	3014
gene_427	1516	1377	1743
gene_428	5795	5160	5595
gene_429	2526	2325	2581
gene_430	1241	1096	1175
gene_431	273	197	237
gene_432	0	5	6
gene_433	211	176	183
gene_434	985	747	942
gene_435	1508	1390	1652
gene_436	1366	1058	1217
gene_437	3580	3303	3935
gene_439	3428	2995	3562
gene_440	558	522	585
gene_441	214	215	273
gene_442	12503	11152	13070
gene_443	2478	2068	2068
gene_444	18218	16057	19217
gene_445	18617	16823	19171
gene_446	11436	11873	11817
gene_448	1662	1597	1551
gene_449	230	287	222
gene_450	15862	13937	15017
gene_451	2332	2026	2416
gene_452	2748	2463	3070
gene_453	956	790	1011
gene_454	592	512	594
gene_455	61	20	39
gene_456	335	247	237
gene_457	411	262	337
gene_458	1734	1572	1909
gene_459	2954	2649	3129
gene_460	1021	998	1102
gene_461	4111	3937	5116
gene_462	903	799	815
gene_463	269	227	263
gene_464	1736	1382	1740
gene_465	10139	9966	10964
gene_466	22963	21443	21907
gene_467	259	247	242
gene_468	42367	42243	47864
gene_469	3465	3194	3661
gene_470	1201	1062	1272
gene_471	2692	2307	2288
gene_472	755	682	728
gene_473	1989	1724	1981
gene_474	5388	5597	6044
gene_475	1161	1106	1269
gene_476	3734	3329	3788
gene_477	1218	1163	1382
gene_478	3157	2521	2351
gene_479	23	24	11
gene_480	497	406	434
gene_484	177	152	176
gene_485	65	66	85
gene_486	1805	1913	2043
gene_487	127	159	222
gene_488	1006	1000	1080
gene_489	573	581	613
gene_493	12855	12044	12339
gene_494	1081	904	949
gene_495	2746	2625	2605
gene_496	4151	4054	4010
gene_497	686	538	462
gene_498	7410	6515	7040
gene_499	732	602	662
gene_500	4946	4753	5198
gene_501	22	11	36
gene_502	2077	1845	1743
gene_503	101	90	76
gene_505	2	0	1
gene_506	547	521	530
gene_507	2772	2696	2699
gene_508	1014	961	1044
gene_509	2787	2509	2901
gene_511	2327	1991	2193
gene_512	96	66	93
gene_513	4813	4099	4529
gene_514	1676	1589	1432
gene_515	3560	3278	3832
gene_516	6585	6219	7210
gene_517	775	812	978
gene_518	2163	2069	2142
gene_519	1312	944	983
gene_520	687	586	467
gene_521	305	260	343
gene_522	0	0	6
gene_524	0	0	0
gene_525	1634	1425	1508
gene_526	1282	914	958
gene_527	1603	1495	1841
gene_528	11817	9841	12038
gene_529	124417	106028	119778
gene_530	1443	1163	1376
gene_531	508	453	514
gene_532	2281	1895	1846
gene_533	998	890	1039
gene_534	1651	1241	1433
gene_535	1059	1018	1226
gene_538	2301	1998	2481
gene_539	1144	1018	1110
gene_540	11865	10805	10786
gene_541	10	1	12
gene_542	568	559	596
gene_543	47	31	27
gene_544	2	5	4
gene_545	954	896	983
gene_546	1731	1493	1565
gene_547	1835	1746	2006
gene_549	771	663	736
gene_550	0	0	0
gene_551	0	0	0
gene_552	6813	5568	5281
gene_554	2523	2276	2275
gene_555	17	8	14
gene_556	2326	2150	2311
gene_557	5835	5405	6485
gene_558	3875	3351	3550
gene_559	2322	2097	2598
gene_560	6390	6419	7016
gene_561	3969	3714	3948
gene_562	0	0	0
gene_563	1578	1282	1610
gene_564	778	643	717
gene_565	85	93	84
gene_566	1566	1351	1560
gene_567	482	374	448
gene_568	12627	11288	12768
gene_569	524	452	516
gene_570	1115	973	1067
gene_571	1772	1688	2060
gene_572	3512	3062	3195
gene_573	207	160	231
gene_574	2145	1704	1942
gene_575	3908	3583	3723
gene_576	2606	2107	2347
gene_577	939	868	993
gene_578	582	513	641
gene_579	2249	2072	2122
gene_580	13110	11730	12315
gene_581	1034	923	1123
gene_582	1070	993	973
gene_583	1686	1502	1586
gene_584	3638	3263	3389
gene_585	730	654	610
gene_586	1062	949	1060
gene_587	4876	4563	5097
gene_588	1722	1727	1727
gene_589	3550	3340	3494
gene_590	5771	5573	5911
gene_591	37016	36742	39526
gene_592	3814	3098	3761
gene_593	8190	7485	8327
gene_594	14604	13781	15132
gene_595	2125	1930	2326
gene_596	2263	2124	2286
gene_597	2064	1946	1964
gene_598	20018	17939	20397
gene_599	641	645	687
gene_601	1963	1819	2196
gene_602	2755	2726	3205
gene_603	553	505	388
gene_604	3525	3061	3062
gene_605	988	861	834
gene_606	2095	1992	2197
gene_607	7593	7189	7345
gene_608	0	0	0
gene_609	452	440	452
gene_610	918	682	893
gene_611	1754	1548	1699
gene_612	4204	3916	3895
gene_613	634	608	605
gene_614	216	224	224
gene_615	41	7	35
gene_616	60	38	45
gene_617	439	443	512
gene_618	276	245	275
gene_619	1831	1638	1825
gene_620	1395	1375	1347
gene_621	1476	1233	1492
gene_622	84	50	86
gene_623	33524	32688	37500
gene_624	772	766	792
gene_625	2587	2335	2487
gene_626	307	339	392
gene_627	1902	1788	2054
gene_628	586	437	556
gene_629	1348	1255	1500
gene_630	562	538	617
gene_631	2345	2244	2408
gene_632	3004	2852	2902
gene_633	8546	7935	9224
gene_634	136	103	144
gene_635	1914	1904	1876
gene_636	4864	4192	4752
gene_637	2011	1624	1812
gene_638	1782	1528	1570
gene_639	4187	3559	4363
gene_640	724	525	585
gene_641	377	390	443
gene_642	35252	33869	38510
gene_643	5380	4819	5013
gene_644	2354	2278	2369
gene_645	1222	1089	1174
gene_646	1567	1265	1598
gene_647	2940	2748	3079
gene_648	1267	1080	1078
gene_649	973	930	896
gene_650	2252	1900	2105
gene_651	4	4	6
gene_652	3723	3293	3764
gene_653	25374	22430	24916
gene_654	1889	1529	1712
gene_655	3517	2791	2725
gene_656	276	182	199
gene_657	2449	2484	2978
gene_658	35673	30975	30911
gene_659	2352	1835	2115
gene_660	1796	1610	2023
gene_661	1047	886	1042
gene_662	8924	8164	8537
gene_663	883	817	863
gene_664	3838	3120	3572
gene_665	1301	1004	1179
gene_666	1465	1396	1642
gene_667	772	746	655
gene_668	555	533	607
gene_669	2921	2806	3070
gene_670	2863	2653	2733
gene_671	1151	1160	1165
gene_672	1799	1413	1599
gene_673	558	448	553
gene_674	611	538	559
gene_675	1571	1500	1795
gene_676	7682	6538	7577
gene_677	2043	1708	2064
gene_678	778	673	832
gene_679	4155	4025	4305
gene_680	2045	1943	2195
gene_682	415	245	370
gene_683	8782	8196	8372
gene_684	1769	1523	1814
gene_685	1389	1175	1322
gene_686	425	385	427
gene_687	1674	1284	1562
gene_688	22	30	15
gene_689	993	846	984
