#node	identifier	node_degree
491414	STRG0A79TGQ.491414	0
491490	STRG0A79TGQ.491490	0
491498	STRG0A79TGQ.491498	68
491537	STRG0A79TGQ.491537	1
491601	STRG0A79TGQ.491601	6
491608	STRG0A79TGQ.491608	65
491829	STRG0A79TGQ.491829	81
491901	STRG0A79TGQ.491901	9
492040	STRG0A79TGQ.492040	82
492108	STRG0A79TGQ.492108	0
492211	STRG0A79TGQ.492211	0
492304	STRG0A79TGQ.492304	0
492420	STRG0A79TGQ.492420	7
492589	STRG0A79TGQ.492589	22
492599	STRG0A79TGQ.492599	1
492621	STRG0A79TGQ.492621	0
493032	STRG0A79TGQ.493032	8
493108	STRG0A79TGQ.493108	42
493163	STRG0A79TGQ.493163	0
493242	STRG0A79TGQ.493242	48
493388	STRG0A79TGQ.493388	0
493510	STRG0A79TGQ.493510	12
493530	STRG0A79TGQ.493530	73
493623	STRG0A79TGQ.493623	65
493921	STRG0A79TGQ.493921	4
493994	STRG0A79TGQ.493994	56
494295	STRG0A79TGQ.494295	70
494568	STRG0A79TGQ.494568	76
494674	STRG0A79TGQ.494674	0
494782	STRG0A79TGQ.494782	0
494802	STRG0A79TGQ.494802	0
495007	STRG0A79TGQ.495007	1
495693	STRG0A79TGQ.495693	5
495771	STRG0A79TGQ.495771	7
496105	STRG0A79TGQ.496105	81
496176	STRG0A79TGQ.496176	63
496228	STRG0A79TGQ.496228	11
496386	STRG0A79TGQ.496386	0
496495	STRG0A79TGQ.496495	30
497105	STRG0A79TGQ.497105	48
497162	STRG0A79TGQ.497162	0
497663	STRG0A79TGQ.497663	7
498311	STRG0A79TGQ.498311	64
498733	STRG0A79TGQ.498733	0
498910	STRG0A79TGQ.498910	49
499010	STRG0A79TGQ.499010	2
499067	STRG0A79TGQ.499067	8
499239	STRG0A79TGQ.499239	77
499275	STRG0A79TGQ.499275	0
500140	STRG0A79TGQ.500140	0
500591	STRG0A79TGQ.500591	60
500652	STRG0A79TGQ.500652	23
501365	STRG0A79TGQ.501365	23
501697	STRG0A79TGQ.501697	5
502040	STRG0A79TGQ.502040	0
503524	STRG0A79TGQ.503524	0
504802	STRG0A79TGQ.504802	28
507347	STRG0A79TGQ.507347	20
507372	STRG0A79TGQ.507372	0
507526	STRG0A79TGQ.507526	0
507780	STRG0A79TGQ.507780	5
508083	STRG0A79TGQ.508083	7
508138	STRG0A79TGQ.508138	0
508539	STRG0A79TGQ.508539	4
508744	STRG0A79TGQ.508744	0
509293	STRG0A79TGQ.509293	47
509551	STRG0A79TGQ.509551	8
510013	STRG0A79TGQ.510013	0
510191	STRG0A79TGQ.510191	0
510747	STRG0A79TGQ.510747	0
510790	STRG0A79TGQ.510790	4
510802	STRG0A79TGQ.510802	0
510988	STRG0A79TGQ.510988	0
511786	STRG0A79TGQ.511786	6
512079	STRG0A79TGQ.512079	0
512225	STRG0A79TGQ.512225	0
512367	STRG0A79TGQ.512367	0
512371	STRG0A79TGQ.512371	13
512912	STRG0A79TGQ.512912	50
513559	STRG0A79TGQ.513559	0
515418	STRG0A79TGQ.515418	0
515772	STRG0A79TGQ.515772	0
518666	STRG0A79TGQ.518666	5
522523	STRG0A79TGQ.522523	0
522936	STRG0A79TGQ.522936	27
52801	STRG0A79TGQ.52801	0
529511	STRG0A79TGQ.529511	0
532705	STRG0A79TGQ.532705	0
534078	STRG0A79TGQ.534078	77
534468	STRG0A79TGQ.534468	73
534674	STRG0A79TGQ.534674	47
534687	STRG0A79TGQ.534687	94
53482	STRG0A79TGQ.53482	11
534821	STRG0A79TGQ.534821	25
535042	STRG0A79TGQ.535042	0
536675	STRG0A79TGQ.536675	64
537102	STRG0A79TGQ.537102	84
537287	STRG0A79TGQ.537287	2
537425	STRG0A79TGQ.537425	4
538108	STRG0A79TGQ.538108	0
538438	STRG0A79TGQ.538438	80
538502	STRG0A79TGQ.538502	0
538818	STRG0A79TGQ.538818	0
539074	STRG0A79TGQ.539074	69
539738	STRG0A79TGQ.539738	0
540450	STRG0A79TGQ.540450	70
541350	STRG0A79TGQ.541350	43
541550	STRG0A79TGQ.541550	46
541693	STRG0A79TGQ.541693	4
541713	STRG0A79TGQ.541713	2
541856	STRG0A79TGQ.541856	2
542018	STRG0A79TGQ.542018	25
542305	STRG0A79TGQ.542305	80
543113	STRG0A79TGQ.543113	1
545106	STRG0A79TGQ.545106	0
545315	STRG0A79TGQ.545315	2
545429	STRG0A79TGQ.545429	0
546719	STRG0A79TGQ.546719	4
548660	STRG0A79TGQ.548660	15
548724	STRG0A79TGQ.548724	25
548774	STRG0A79TGQ.548774	12
55409	STRG0A79TGQ.55409	0
61042	STRG0A79TGQ.61042	2
64504	STRG0A79TGQ.64504	2
67269	STRG0A79TGQ.67269	0
84496	STRG0A79TGQ.84496	13
84801	STRG0A79TGQ.84801	0
90357	STRG0A79TGQ.90357	70
93554	STRG0A79TGQ.93554	4
98680	STRG0A79TGQ.98680	1
