r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p],0.00069245359052325
r_0061,3-isopropylmalate dehydrogenase,"(2R,3S)-3-isopropylmalate[c] + NAD[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]",0.00788415593892761
r_0163,alcohol dehydrogenase (ethanol to acetaldehyde),ethanol[c] + NAD[c] => acetaldehyde[c] + H+[c] + NADH[c],1.1006828661947
r_0165,mitochondrial alcohol dehydrogenase,acetaldehyde[m] + H+[m] + NADH[m] => ethanol[m] + NAD[m],-1.1006828661947
r_0166,"aldehyde dehydrogenase (2-methylbutanol, NAD)",2-methylbutanal[c] + H+[c] + NADH[c] => 2-methylbutanol[c] + NAD[c],-2.11212134210157e-05
r_0167,"aldehyde dehydrogenase (2-methylbutanol, NAD)",2-methylbutanal[m] + H+[m] + NADH[m] => 2-methylbutanol[m] + NAD[m],-4.99017914920338e-06
r_0174,"aldehyde dehydrogenase (acetylaldehyde, NAD)",acetaldehyde[m] + H2O[m] + NAD[m] => acetate[m] + 2 H+[m] + NADH[m],0.00309642857162703
r_0179,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",3-methylbutanal[c] + H+[c] + NADH[c] => isoamylol[c] + NAD[c],-1.77824692070802e-05
r_0180,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",3-methylbutanal[m] + H+[m] + NADH[m] => isoamylol[m] + NAD[m],-4.09467981318105e-06
r_0182,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",H+[c] + isobutyraldehyde[c] + NADH[c] => isobutanol[c] + NAD[c],-2.81519274783557e-05
r_0183,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",H+[m] + isobutyraldehyde[m] + NADH[m] => isobutanol[m] + NAD[m],-5.72620263132816e-06
r_0186,"aldehyde dehydrogenase (tryptophol, NAD)",H+[c] + indol-3-ylacetaldehyde[c] + NADH[c] => NAD[c] + tryptophol[c],-1.00764181043161e-05
r_0187,"aldehyde dehydrogenase (tryptophol, NAD)",H+[m] + indol-3-ylacetaldehyde[m] + NADH[m] => NAD[m] + tryptophol[m],-5.46630640025561e-06
r_0235,C-3 sterol dehydrogenase (4-methylzymosterol),4beta-methylzymosterol-4alpha-carboxylic acid[c] + NAD[c] => 3-dehydro-4-methylzymosterol[c] + carbon dioxide[c] + H+[c] + NADH[c],0.000505889511506629
r_0445,formate dehydrogenase,formate[c] + NAD[c] => carbon dioxide[c] + NADH[c],0.00298341348369773
r_0470,glutamate dehydrogenase (NAD),H2O[c] + L-glutamate[c] + NAD[c] => 2-oxoglutarate[c] + ammonium[c] + H+[c] + NADH[c],0.00116752693823411
r_0472,glutamate synthase (NADH2),2-oxoglutarate[c] + H+[c] + L-glutamine[c] + NADH[c] => 2 L-glutamate[c] + NAD[c],-0.088695195883395
r_0486,glyceraldehyde-3-phosphate dehydrogenase,"glyceraldehyde 3-phosphate[c] + NAD[c] + phosphate[c] <=> 1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c]",0.953380053514617
r_0491,glycerol-3-phosphate dehydrogenase (NAD),dihydroxyacetone phosphate[c] + H+[c] + NADH[c] => glycerol 3-phosphate[c] + NAD[c],-0.025725149730842
r_0492,glycerol-3-phosphate dehydrogenase (NAD),dihydroxyacetone phosphate[m] + H+[m] + NADH[m] => glycerol 3-phosphate[m] + NAD[m],-0.0024219758621734
r_0501,glycine cleavage system,"L-glycine[m] + NAD[m] + THF[m] => 5,10-methylenetetrahydrofolate[m] + ammonium[m] + carbon dioxide[m] + NADH[m]",0.0138261176993631
r_0505,glycine-cleavage complex (lipoamide),dihydrolipoamide[m] + NAD[m] => H+[m] + lipoamide[m] + NADH[m],0.473699127365789
r_0508,glycine-cleavage complex (lipoylprotein),dihydrolipoylprotein[m] + NAD[m] => H+[m] + lipoylprotein[m] + NADH[m],0.000308739846840072
r_0530,heme O monooxygenase,heme o[m] + NADH[m] + oxygen[m] => H2O[m] + heme a[m] + NAD[m],-4.19819854863572e-08
r_0536,histidinol dehydrogenase,H2O[c] + L-histidinol[c] + 2 NAD[c] => 3 H+[c] + L-histidine[c] + 2 NADH[c],0.0111384371502335
r_0545,homoisocitrate dehydrogenase,homoisocitrate[m] + NAD[m] => 2-oxoadipic acid[m] + carbon dioxide[m] + H+[m] + NADH[m],0.00891557858701694
r_0546,homoserine dehydrogenase (NADH),H+[c] + L-aspartate 4-semialdehyde[c] + NADH[c] => L-homoserine[c] + NAD[c],-0.0198609931999493
r_0565,IMP dehydrogenase,H2O[c] + IMP[c] + NAD[c] => H+[c] + NADH[c] + xanthosine-5-phosphate[c],0.000256367192571044
r_0658,isocitrate dehydrogenase (NAD+),isocitrate[m] + NAD[m] => 2-oxoglutarate[m] + carbon dioxide[m] + NADH[m],0.0114656596929779
r_0713,malate dehydrogenase,(S)-malate[m] + NAD[m] <=> H+[m] + NADH[m] + oxaloacetate[m],2.57660675927819
r_0714,"malate dehydrogenase, cytoplasmic",(S)-malate[c] + NAD[c] <=> H+[c] + NADH[c] + oxaloacetate[c],-2.60193635927937
r_0715,"malate dehydrogenase, peroxisomal",(S)-malate[p] + NAD[p] <=> H+[p] + NADH[p] + oxaloacetate[p],-0.00493247640860256
r_0718,malic enzyme (NAD),(S)-malate[m] + NAD[m] => carbon dioxide[m] + NADH[m] + pyruvate[m],0.0115879464844205
