Gene_gattii	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
CGB_C0430W	0.239588727080919	0.270218517362965	0.35128289159299	0.362412513962296	0.412299217439118	0.360958676845808	0.926360058180195	1	0.861810155706927	0.609212351805446	0.82659992642305	0.467678232022534
CGB_I2110W	1	0.781800402106537	0.864823736127086	0.509062973776578	0.490493043239203	0.436187046627279	0.709077773633473	0.494060023455249	0.38869879607599	0.375054465150001	0.265118740489385	0.654480617535363
CGB_H0480W	0.838929231233735	0.792335994283645	0.801749962985452	1	0.892537058462311	0.925515300820549	0.861867393806413	0.878725870641494	0.784447806920383	0.885579385566639	0.893134565735471	0.859424064211951
CGB_D4010W	0.466557894621818	0.44042721566967	0.440963253562723	0.754263994863352	0.796241034108547	0.738228114842533	0.725249909132837	0.797601916891493	0.72294812326275	0.962478562671488	0.962978337117232	1
CGB_N0230W	1	0.687709270145695	0.598247744670263	0.303506380029397	0.321326033223998	0.326929199485255	0.706172284219561	0.615044477979414	0.901924694915947	0.700391086084169	0.497379042681443	0.554621825705239
CGB_C2210W	0.647332698865242	0.731289274856029	0.725056984352399	0.888964243913402	0.929537778523668	0.89291913782293	0.989955711433639	1	0.97762920955592	0.8860636843364	0.964196708256731	0.967361571168691
CGB_B1090C	1	0.704902001899335	0.756004855422351	0.483306811412882	0.471286990341282	0.799676252150011	0.639588151817391	0.883132291926257	0.780023935368708	0.471996509108263	0.745278237153495	0.646537891594399
CGB_C9150C	0.755961074537838	0.764321579741063	0.775524537593756	0.866930763182396	0.839236276917497	0.78202268992657	0.885879896735702	1	0.985846383724555	0.951346008579386	0.93340817248545	0.9425515137685
CGB_A7480W	0.688334810577351	0.577815727831992	0.597712695682509	0.817345763467845	0.846440509111938	0.805336576562334	0.632096085682902	0.679720960659865	0.642533952969162	0.861089461387469	1	0.986093948725883
CGB_E6580C	0.932131981725032	0.909378000549643	0.974828743358344	0.925175185487511	0.951457586458515	0.910275832727752	0.958450482352803	1	0.95162193321042	0.804884029611732	0.940835668894561	0.892777327621293
CGB_A6470C	0.964463192203933	1	0.889752460083111	0.218382719257912	0.195278444607133	0.287977774334217	0.144348411279763	0.101339070458929	0.137548051990438	0.0855150194010215	0.0665544786269681	0.0782942343560125
CGB_E4600W	0.362822186409627	0.323468024370165	0.373854381946934	0.325562255176611	0.291109905596846	0.237200100968161	0.771617963723057	0.890384161012948	0.750700219545331	1	0.843196053634585	0.904258556597182
CGB_E6090C	0.824445732802193	0.884938204162389	0.843441507743243	0.998648779071208	1	0.960393832046974	0.593365086867449	0.637973843301929	0.737276974417246	0.495918483886703	0.573154881895981	0.544167594884964
CGB_E5650C	1	0.910046807178144	0.833071899814749	0.707535681925882	0.624780586892714	0.719065557794137	0.210846849743111	0.188464472672045	0.203011120399308	0.227302730053363	0.235109409357611	0.23796209627697
CGB_E5660W	0.963839676711028	0.871937917423324	0.772300448698045	0.788616258958261	0.666565802459378	1	0.248344461940161	0.164703662154461	0.193819173880958	0.274772587440776	0.186139693290863	0.223815469210567
CGB_E6070C	0.883054274944281	0.925308415505263	0.910365479486515	0.896997501334353	1	0.89952384541391	0.678760600974881	0.738339062548781	0.688181919097419	0.801820454910416	0.833352604804429	0.796670989637414
CGB_E5540C	0.972501309683038	1	0.986360642048992	0.849850223254483	0.821403831432509	0.854676696862418	0.615288222546572	0.603775014089145	0.564169600248748	0.599068425625029	0.59426078440763	0.588429028570216
CGB_E4600W	0.496638207513512	0.503761299061873	0.510152372327649	0.721990329073848	0.739614694536249	0.654848592340176	0.582308695882995	0.594505198231241	0.585629978865932	0.90227369618123	1	0.892668922812176
CGB_F0350C	0.489989723268554	1	0.564471786511361	0.124435005991727	0.169876437316704	0.19902635961672	0.256245878683455	0.304334591529123	0.12942347927506	0.182734568992933	0.217746291983652	0.0260939550134341
CGB_E5070C	1	0.956427643912851	0.964537354327964	0.854296182179884	0.867236092810767	0.847829252871115	0.753183417995436	0.71909572490915	0.764762415845565	0.734593723547427	0.734533906510062	0.733696516475569
CGB_E4620W	0.952430457604304	0.865725514165278	0.889800513605345	0.921880805939593	0.987731329497845	0.931987509260332	0.843599742496886	0.817235443596063	0.790800139694286	0.980050037855765	1	0.938776532264205
CGB_E5310W	0.963985865354327	1	0.98897446636117	0.821591645035877	0.863281286239754	0.918625461088079	0.908733188567806	0.870095265350484	0.96399535135829	0.725221252419161	0.778728374336957	0.78106784826847
CGB_E4190C	0.575173588637367	0.537334922718044	0.618259588192635	0.389264267594071	0.42458269347659	0.426110378035537	0.84103683555487	0.925479721658915	0.903474426973765	1	0.955827506203428	0.906793712879915
CGB_E4330W	0.8835798923398	0.865841764318109	0.804497928546956	0.953127531013625	1	0.973415300801046	0.640140693410889	0.639128943781996	0.698500020041517	0.634618695600469	0.621248237330596	0.663901075629069
CGB_C6230C	0.701199995355127	0.644886475326489	0.63803834767659	0.992258117483234	0.999398426252979	1	0.708472751527873	0.703575289570137	0.703849183665476	0.647795234585892	0.762899888088031	0.680965526148697
CGB_M0350C	0.358182763211888	0.473422308833338	0.385528547149316	0.255310458093821	0.316613314931782	0.284283591509225	0.832098129524698	0.906465920485778	0.817001696663097	0.89656462340165	1	0.794347924530983
