Rxn	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
r_0001	0.814685236298838	0.891152371981755	0.847556196692784	1	0.956913628262403	0.954904192746154	0.723949326619322	0.765286151963972	0.699795696333314	0.85996346298242	0.922625823479681	0.885569237838188
r_0002	0.88443559888435	1	0.964276624072392	0.742169809909982	0.782966721784626	0.71511850699821	0.813976303341328	0.872463799679158	0.817892336641445	0.8716248405854	0.916505568338203	0.889815260698284
r_0004	0.95888236135223	0.955468962244927	1	0.493390712003263	0.506255802433259	0.477071435779683	0.860160665284848	0.847546823136107	0.82644254312483	0.597668135749607	0.601530407262625	0.617072577667735
r_0005	0.805123002244524	0.815830538006505	0.726283058481664	0.882047867739509	0.789128884077871	1	0.521568332944997	0.426712646191103	0.441684686320785	0.606455665845916	0.530537263005149	0.573586470611616
r_0006	0.954597115961151	1	0.92321428961141	0.811109608604266	0.826419519192779	0.809193453906627	0.714579007734772	0.691306752057939	0.745453140796016	0.661911016937612	0.706256908821691	0.716538485466356
r_0007	0.80236144376076	0.922284953136165	1	0.686284716075509	0.909175073058324	0.734071661260671	0.580962496809494	0.383395086704593	0.402873571455459	0.46174966185456	0.396052322078186	0.392752097715712
r_0013	0.947254540922214	0.99833405784709	1	0.580268236352756	0.594461683233942	0.690228891210634	0.433881648924604	0.463042324071613	0.559745048413614	0.377372798179025	0.388241028174458	0.380077126556563
r_0014	0.96035604715906	0.933806178421059	1	0.439564096334886	0.416995082760885	0.379477822713294	0.59017503681637	0.423211963660287	0.396503500610908	0.283738945999267	0.230097865326066	0.331584638998146
r_0015	0.471752698750068	0.430487396884073	0.482014271342083	0.805080426313507	0.780597550874022	0.810024750297584	0.807104167727366	0.708545414204989	0.743390700201691	0.916452735390922	0.833803208767245	1
r_0016	0.954625038607416	0.989819893162619	1	0.322825079111351	0.303227941505703	0.330498939681624	0.41621171564059	0.410674167906084	0.382236303011259	0.213225251235009	0.214694971923853	0.188496974707499
r_0017	0.580229000444513	0.532668688254485	0.494723076623135	0.769719423464062	0.767072719705409	0.7558945149737	0.931614285706579	0.881883786821565	0.884234841798705	0.92716589587043	1	0.963235878590077
r_0018	0.596358747192914	0.646375372683568	0.639036197987817	0.345456163892211	0.341776899263624	0.363901132218613	1	0.989104452231419	0.960229414719603	0.661316343816634	0.6419140463155	0.660022369449645
r_0019	1	0.994536228933748	0.955024276629232	0.690677146461012	0.628544530599053	0.617730295913003	0.658217902757956	0.620838883689592	0.658329225186476	0.67671676265366	0.745036162648363	0.692246287345586
r_0020	0.942741376739583	0.976214676933708	1	0.696417182939096	0.686650648239815	0.62810485213226	0.470945009771211	0.520902338818128	0.46371733290792	0.346165037485215	0.432729062436401	0.382850058405336
r_0021	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0022	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0023	0.95883056489345	1	0.936417545513818	0.348721384662578	0.326666222456264	0.394322805907705	0.677108969651304	0.641756902688722	0.727258157667809	0.406238452650998	0.436805683391705	0.398585068163413
r_0024	0.920475676140803	1	0.951914931417335	0.562082254108281	0.5201634755936	0.556076320053385	0.526624773849373	0.524849581700745	0.540680482305317	0.466588547881447	0.507056604373627	0.524992611265236
