Gene,Par_wo_1,Par_wo_2,Par_wo_3,Par_Ac_1,Par_Ac_2,Par_Ac_3,ATS_wo_1,ATS_wo_2,ATS_wo_3,ATS_Ac_1,ATS_Ac_2,ATS_Ac_3,Norm_Par_wo_1,Norm_Par_wo_2,Norm_Par_wo_3,Norm_Par_Ac_1,Norm_Par_Ac_2,Norm_Par_Ac_3,Norm_ATS_wo_1,Norm_ATS_wo_2,Norm_ATS_wo_3,Norm_ATS_Ac_1,Norm_ATS_Ac_2,Norm_ATS_Ac_3
PAPLA_03692,493.324183497165,471.959250353846,461.477984477499,897.787950002442,646.86212056358,630.380738362776,629.551384780465,598.385174393941,606.016060664421,668.978761012953,668.77363206592,657.963790395092,0.549488532894458,0.525691228482809,0.514016683423122,1,0.720506574589045,0.702148807367109,0.701225032903096,0.666510587931497,0.675010241185319,0.745141167255735,0.744912684631266,0.732872155828447
PAPLA_03694,1978.09560736898,1860.77511779418,1850.74923334477,2391.3713240658,2456.6785165231,2318.02342010208,2937.90646230884,3019.46661221378,2838.42661502999,3236.43978441901,3234.39628603309,3279.08544805384,0.603246130271779,0.567467712346003,0.564410187737926,0.72927996599939,0.749196248600705,0.706911563246344,0.895953005449281,0.920825840023734,0.865615324759108,0.986994647040948,0.986371455477846,1
PAPLA_03698,647.847906343553,679.794516564713,666.579310911943,656.193929249219,686.791881092195,679.501315378057,870.064927520034,716.893814232071,740.883470944058,995.414625134844,827.010250367231,950.988447455223,0.650832216028363,0.682925988225886,0.669649906762868,0.659216684866698,0.689955586094748,0.682631436408731,0.874072879331234,0.72019618371084,0.744296348713677,1,0.830819870920824,0.955369173249185
PAPLA_03705,1603.78348370382,1948.45562072689,1780.12471999706,2155.91952417918,1984.50909827222,2258.37700515495,1172.86285383758,1255.19010082076,1182.75169672866,1426.00930116405,1570.42379672622,1476.93013961443,0.710148695298898,0.862768092430699,0.788231865598066,0.954632251062643,0.878732423214724,1,0.519338822154323,0.555792986713766,0.523717560898345,0.631431022326677,0.695377163840043,0.653978559046255
PAPLA_03717,575.864805638714,555.309851907163,599.824633912054,468.856192817695,505.111470686993,378.930165546455,504.024396338698,529.116039840667,464.937651227169,403.749621413917,451.820281187392,422.90005451169,0.960055277961703,0.925787005921104,1,0.781655447792827,0.842098577033521,0.631734917379225,0.840286256753833,0.882117889006616,0.775122635752466,0.673112770945507,0.753253960646167,0.705039490881756
PAPLA_03721,31916.3470778497,30906.8360461078,29612.9551926033,15465.0884386396,14601.3151813017,16715.0306357714,19385.7748333236,17307.2688236842,20085.4839901325,13183.0694204752,13136.6249155806,13127.075296137,1,0.968370094820704,0.92783034099648,0.484550703779398,0.457487040909991,0.523713775733809,0.607393283010685,0.542269727217487,0.62931650483498,0.413050697447278,0.411595502566068,0.411296294783288
PAPLA_03730,23232.3058088178,24602.4996377115,24779.5295941765,19004.0313612832,17008.081497164,19824.8309758579,13467.80017213,12854.0145830062,14366.9283371571,10284.8773242088,11175.0879679587,11266.9590665208,0.937560405274105,0.992855798339828,1,0.766924621755103,0.686376286221394,0.800048721688284,0.54350507829233,0.518735213844699,0.579790196684505,0.415055390180848,0.450980634054691,0.454688174111613
PAPLA_03734,3933.15662251242,4132.89086663069,3755.67617555902,4296.48349619185,3558.7399071129,4861.76758696486,3107.51162989809,2546.26662074744,3247.46527383862,2628.66774792891,2184.46149164389,2290.52973687296,0.808997252986303,0.850079892282716,0.772491919529136,0.883728689070077,0.731984786079537,1,0.639173217212152,0.523732690878595,0.667959793583216,0.5406814910233,0.449314257123431,0.47113106414511
PAPLA_03750,869.555856514458,801.03175518772,861.038587389883,686.905033582256,660.837536748595,698.213916145783,574.932771489009,444.824683336082,517.287501269923,483.210983075167,407.036332611549,492.667830002198,1,0.921196435153216,0.990205035063859,0.789949292430342,0.759971348358813,0.802954647381153,0.661179804818496,0.511553892718433,0.594887030424275,0.55569861263666,0.468096821569485,0.566574103677498
PAPLA_03752,1072.06831316407,1304.38279054217,1345.7355899543,1327.74341066496,1333.65400165578,1125.09512115954,1571.48290873662,1415.42713496809,1402.79852402701,1445.33774048706,1461.94712128696,1307.34077765289,0.682201700829155,0.830033074677737,0.856347582574851,0.844898409828961,0.848659564950636,0.715944866409047,1,0.900695214118498,0.89265910321276,0.919728577671282,0.930297818168624,0.831915365025456
PAPLA_03755,2521.3280740215,2594.6934016013,2694.37355716947,4299.55460662515,4574.95231256618,4058.29529150061,4584.13063133903,4979.03200897385,4518.05824436783,5825.37685151729,5805.99013314372,5929.18756630096,0.425240059591247,0.437613648174745,0.454425421196518,0.725150715599222,0.771598513524569,0.684460602084217,0.773146502801383,0.839749451893308,0.762002920947652,0.982491578547171,0.979221869475433,1
PAPLA_03757,4577.16543015171,4826.75756267844,4734.7447715574,3848.10137292951,4005.9532250334,3927.30708612653,8407.43356174094,8763.79737281837,8187.87146092427,7852.71537606377,7619.24245103673,7426.51136336646,0.522281065551351,0.55076097236673,0.540261780383307,0.439090637223621,0.457102447103374,0.448128467495996,0.959336826729618,1,0.934283520328713,0.896040271357666,0.869399659406598,0.847407926887994
PAPLA_03759,3903.40360755442,4207.58166542522,3968.5171746891,3255.3770593019,3514.81717053142,3237.27993281663,3024.14637803219,3122.9530301006,2988.37788040669,2695.24348337482,2686.04171569333,2691.96278354142,0.927707152930552,1,0.943182447841577,0.773693137331634,0.835353286048748,0.769392061815031,0.71873741700188,0.742220419810911,0.710236453629162,0.640568311608145,0.638381362331057,0.639788600102993
PAPLA_03769,831.164869471877,842.165818291954,1040.01851847654,915.190909124496,939.347616435692,838.558421903729,1084.7064955426,1343.65429675627,1220.01769167435,1164.00156811885,1145.47388468434,1187.12553373079,0.618585354490661,0.62677269021134,0.774022396227407,0.681120814582939,0.69909917953106,0.62408792494327,0.807280933913732,1,0.907984810244427,0.866295423554167,0.852506397999575,0.8835051817991
PAPLA_03770,5244.20883001655,5269.48997872138,5017.24282494824,5281.28624180456,4850.46766021363,5252.39312799114,5703.33309317097,5540.69619637569,5289.99671109997,5565.51672284131,5580.07999255002,5652.26316512325,0.919498956898701,0.923931654111337,0.879703629962585,0.925999964499398,0.850461928310212,0.920933959526268,1,0.971483885977129,0.92752722393754,0.975835819497431,0.978389285947803,0.991045599614571
PAPLA_03777,4374.6529735021,4264.95285870218,4226.82875090607,4209.46870058157,4556.9839203283,4399.80025551162,4634.91635948723,4580.10855937789,4180.88971866874,5008.21338902795,4996.89346220682,4860.13057570796,0.873495722663523,0.851591680986654,0.843979364011576,0.840513047987077,0.909902108067478,0.878516930838201,0.925463034311089,0.914519451070524,0.834806625418214,1,0.997739727535187,0.970432008020183
PAPLA_03783,580.663679019037,519.58816552717,522.42790695566,175.05329469831,230.594367052758,260.806873200184,735.913947505931,744.434554476144,725.799615846993,375.830764614019,342.348406890888,299.464759413101,0.780006349151334,0.697963524668468,0.701778153384203,0.235149340725451,0.309757742525838,0.350342245173873,0.988554256490406,1,0.97496766033078,0.50485400275178,0.459877103813105,0.402271438922973
PAPLA_03795,3241.15908106989,3660.93161627685,3511.87648564638,2865.34603427233,2940.82686293257,2657.18930901712,1799.5395747606,1905.31848415811,1823.37189555693,2519.13992509854,2413.35722880931,2496.613012168,0.885337236745802,1,0.959284918088129,0.782682206226614,0.803300135369198,0.725823256900786,0.491552359721683,0.520446346412723,0.498062265749528,0.688114444393936,0.659219423296326,0.681961116418515
PAPLA_03797,3843.89757763842,3857.94212903923,3673.44215316785,4301.60201358068,4478.12264328429,4281.67696316535,3811.80427497213,3644.55795896561,3844.6084785636,3327.71297011098,3534.94634091986,3683.73854589879,0.858372555607203,0.861508814374451,0.820308518945278,0.960581555315746,1,0.956132134877203,0.851205868755869,0.813858451248817,0.858531305373971,0.743104473724375,0.789381315007332,0.822607784407867
PAPLA_03809,6873.90622997412,6716.75951478351,7479.42620124853,6111.50976227432,6364.80382826139,5712.02138434842,5413.95026485483,5786.89372279998,5685.72608599943,5454.91509782633,5982.14033087536,5716.66418865295,0.919041921802326,0.898031390919038,1,0.817109440996174,0.850974881896545,0.76369780657705,0.723845669331036,0.773708245404438,0.760182122667421,0.72932267142575,0.799812735618244,0.764318549957572
PAPLA_03818,1325.44882764511,1539.27994037424,1515.04093017141,437.12138500689,484.148346409469,467.815019193154,446.531119189797,463.18517683213,466.712222415059,258.786326491367,255.766106310925,238.283787059886,0.861083674827113,1,0.984253020151139,0.283977835052287,0.314529107870892,0.303918089830636,0.29009091035204,0.300910292327669,0.303201653041479,0.16812167800254,0.166159578646066,0.154802112864508
PAPLA_03829,906.02729420491,1025.10415157131,910.379000824585,945.902013457533,1016.21240545328,905.222062138754,1334.80225114032,1363.68392602469,1324.71739175985,1234.8725123032,1249.96976469464,1245.08645490751,0.664396842196486,0.751716825290753,0.667587982413531,0.693637283101925,0.745196438895974,0.663806359276808,0.97882084379438,1,0.971425538190193,0.905541591227088,0.916612523503492,0.913031554560516
PAPLA_03832,2092.30879382066,2192.01257331775,2200.96942282245,1625.64112269541,1642.11140173933,1597.58829054462,2209.65828508942,2386.86415448629,2214.66484248667,2405.31689352972,2213.32225850388,2204.66170550003,0.869868248732195,0.911319659881092,0.915043430968716,0.675853201325933,0.682700647950627,0.664190358801419,0.918655787531938,0.992328354283351,0.920737241917727,1,0.920179068486858,0.916578481376217
PAPLA_03853,1095.10290538962,1060.8258379513,948.109905215827,1334.90933500933,1446.45557514912,1263.10055182152,1196.81838598295,1318.61726017075,1259.94554340187,1109.23765670366,1216.13300354844,1269.77351392723,0.757094047134301,0.733396763908173,0.655471154112758,0.922883051469942,1,0.87323839979759,0.827414548047607,0.911619605071389,0.871057200130034,0.766866038446639,0.840767614603763,0.877851719570665
PAPLA_03860,6697.30768957824,6758.9760532326,6492.6179325545,3312.7044540569,3330.14202808658,3259.5011462283,3192.79332433563,3166.35056018216,3369.91068580303,2600.74889112901,2726.84486884021,2784.27091726732,0.990876078984647,1,0.960591941947966,0.490119276642879,0.492699190211494,0.482247772526045,0.472378256586457,0.468466012491315,0.498583018975383,0.38478445117218,0.403440528175277,0.411936792694463
PAPLA_03864,20920.2086141784,20388.4231202172,20175.391799358,20157.7451807276,19645.4421800791,19726.5898218273,20900.7226861971,20536.2119753301,20167.1142647754,19289.7824443607,19712.8989642288,20526.7528996994,1,0.9745802967949,0.964397256807678,0.963553736604039,0.939065309643454,0.942944221333331,0.999068559576022,0.981644703170501,0.964001585104051,0.92206453578514,0.94228978915959,0.981192553012481
PAPLA_03867,215.949302114518,159.123875692696,197.361653738805,55.2799877994662,71.8735689515088,57.3073398511614,264.469074884944,232.844440245341,276.833105310834,148.184701476385,137.337442299251,123.43529509859,0.780070367205705,0.574800746876095,0.712926488749253,0.199687055987746,0.259627795854862,0.207010428853209,0.955337601649892,0.841100416743505,1,0.535285334859067,0.496101946134822,0.4458834320411
