Rxn	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
r_0317	0.996992266880675	1	0.935293799264389	0.664971198197956	0.664635787121441	0.69365744201912	0.444874633116951	0.43318293616139	0.477947833970015	0.310086918686399	0.291763028131341	0.374923905599323
r_0438	0	0	0	0	0	0	0	0	0	0	0	0
r_0439	1	0.990802716642955	0.94411298942308	0.807516102609543	0.752890198505569	0.825324993829224	0.871713620898575	0.745136164658071	0.929246821343794	0.691040896583809	0.681298252189977	0.625638453219324
r_0481	0.920076453951485	1	0.953116185303293	0.684236151438887	0.66721922571634	0.762313325087485	0.822040291898586	0.901438695854811	0.858311574779411	0.934997345834576	0.930927294991748	0.832687618287765
r_0501	0.982121757354632	1	0.940799518578099	0.740181272479217	0.718147945613582	0.803306327994741	0.605345036597833	0.572255561287377	0.638093062802375	0.608311399685587	0.623026055709882	0.643553201323885
r_0504	0.982121757354632	1	0.940799518578099	0.740181272479217	0.718147945613582	0.803306327994741	0.605345036597833	0.572255561287377	0.638093062802375	0.608311399685587	0.623026055709882	0.643553201323885
r_0505	0.543264195720889	0.534010859826826	0.484223129474391	0.601087427288141	0.632978841263463	0.676334414299404	0.980262524030572	0.827657960837444	0.915946926297566	1	0.987800361812047	0.919721814927746
r_0506	0.982121757354632	1	0.940799518578099	0.740181272479217	0.718147945613582	0.803306327994741	0.605345036597833	0.572255561287377	0.638093062802375	0.608311399685587	0.623026055709882	0.643553201323885
r_0507	0.982121757354632	1	0.940799518578099	0.740181272479217	0.718147945613582	0.803306327994741	0.605345036597833	0.572255561287377	0.638093062802375	0.608311399685587	0.623026055709882	0.643553201323885
r_0508	0.982121757354632	1	0.940799518578099	0.740181272479217	0.718147945613582	0.803306327994741	0.605345036597833	0.572255561287377	0.638093062802375	0.608311399685587	0.623026055709882	0.643553201323885
r_0509	0.982121757354632	1	0.940799518578099	0.740181272479217	0.718147945613582	0.803306327994741	0.605345036597833	0.572255561287377	0.638093062802375	0.608311399685587	0.623026055709882	0.643553201323885
r_0532_EXP_1	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0532_EXP_2	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0550	0.679716735411114	0.639877232898632	0.752439852565493	0.629917947163226	0.645447825615047	0.618758629811723	1	0.974544222695935	0.942764733160942	0.823332133944371	0.777956765738563	0.883930132318161
r_0668	1	0.991619226423573	0.957674166832811	0.822195097187325	0.812976089513841	0.823223045976573	0.933843753450399	0.950046087963954	0.96277418251457	0.751155538062032	0.770614986000923	0.771817725379437
r_0668_REV	1	0.991619226423573	0.957674166832811	0.822195097187325	0.812976089513841	0.823223045976573	0.933843753450399	0.950046087963954	0.96277418251457	0.751155538062032	0.770614986000923	0.771817725379437
r_0678	0	0	0	0	0	0	0	0	0	0	0	0
r_0831_EXP_1	0.98697003017273	0.999890809264956	0.935906410919618	0.794351964076836	0.872588921351869	0.871025046004856	1	0.95009076161819	0.982917849251099	0.934328805827137	0.999224078809498	0.989189670597479
r_0831_EXP_2	0.98697003017273	0.999890809264956	0.935906410919618	0.794351964076836	0.872588921351869	0.871025046004856	1	0.95009076161819	0.982917849251099	0.934328805827137	0.999224078809498	0.989189670597479
r_0832_EXP_1	0.98697003017273	0.999890809264956	0.935906410919618	0.794351964076836	0.872588921351869	0.871025046004856	1	0.95009076161819	0.982917849251099	0.934328805827137	0.999224078809498	0.989189670597479
r_0832_EXP_2	0.98697003017273	0.999890809264956	0.935906410919618	0.794351964076836	0.872588921351869	0.871025046004856	1	0.95009076161819	0.982917849251099	0.934328805827137	0.999224078809498	0.989189670597479
r_0852	0.853905805894432	0.896911823559329	0.914996185013801	0.986251432595014	0.991914846355942	1	0.502940719043434	0.488521144828645	0.569696560296945	0.479707492062566	0.431423988800541	0.497766100716718
r_0883	0.664396842196486	0.751716825290753	0.667587982413531	0.693637283101925	0.745196438895974	0.663806359276808	0.97882084379438	1	0.971425538190193	0.905541591227088	0.916612523503492	0.913031554560516
r_0961_EXP_1	0.377615227496065	0.387543167875658	0.394659388005484	0.650032634984875	0.681553674024954	0.619594508237048	0.737549551096774	0.755706207338482	0.749625576845455	1	0.924128171117356	0.882625605192691
r_0961_EXP_2	0.377615227496065	0.387543167875658	0.394659388005484	0.650032634984875	0.681553674024954	0.619594508237048	0.737549551096774	0.755706207338482	0.749625576845455	1	0.924128171117356	0.882625605192691
r_0963_EXP_1	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0963_EXP_2	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0985_EXP_1	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0985_EXP_2	0.947675617798513	0.9657743178625	1	0.813094129328966	0.966652787200117	0.833487816594227	0.789754733809162	0.780915255550934	0.603374892233991	0.70100210188054	0.706535798236512	0.753260198780696
r_0993	0.889435475299878	1	0.878421239459819	0.760024406987822	0.783818884335743	0.705876038345049	0.662328587257262	0.714573098075637	0.697865899823536	0.653197933469536	0.700499868161692	0.695997894682417
r_1021	0.746632794079644	0.724491395035759	0.699898657289143	0.55673219986318	0.568066547062923	0.544786183326628	0.989387299880561	0.996161631797797	1	0.883370471000147	0.921463679899275	0.805384433738695
r_1021_REV	0.746632794079644	0.724491395035759	0.699898657289143	0.55673219986318	0.568066547062923	0.544786183326628	0.989387299880561	0.996161631797797	1	0.883370471000147	0.921463679899275	0.805384433738695
