ReactionID,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM
r_0658,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0659,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glutathione metabolism,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0661,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glutathione metabolism,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2131,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glutathione metabolism,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0028,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0280,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0300,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0301,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0302,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0303,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2305,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Citrate cycle (TCA cycle),Glyoxylate and dicarboxylate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0215,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,"Glycine, serine and threonine metabolism",Lysine biosynthesis,Monobactam biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0219,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,"Glycine, serine and threonine metabolism",Lysine biosynthesis,Monobactam biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0018,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Lysine biosynthesis,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0851,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Lysine biosynthesis,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1056,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Lysine biosynthesis,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1063,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Lysine biosynthesis,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0029,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0030,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0663,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0664,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0699,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0700,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1087,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1088,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0096,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0352,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0353,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0669,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Pantothenate and CoA biosynthesis,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0027,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Lysine biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0542,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Lysine biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0545,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Lysine biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0543,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Lysine biosynthesis,Pyruvate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1838,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Lysine biosynthesis,Pyruvate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0061,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of secondary metabolites,C5-Branched dibasic acid metabolism,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
