ReactionID,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM
r_0882,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0890,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1069,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0533,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Fructose and mannose metabolism,Galactose metabolism,Gluconeogenesis,Glycolysis,Starch and sucrose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0534,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Fructose and mannose metabolism,Galactose metabolism,Gluconeogenesis,Glycolysis,Starch and sucrose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0535,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Fructose and mannose metabolism,Galactose metabolism,Gluconeogenesis,Glycolysis,Starch and sucrose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0467,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Gluconeogenesis,Glycolysis,Pentose phosphate pathway,Starch and sucrose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0723,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fructose and mannose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0902,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fructose and mannose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1070,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Galactose metabolism,Gluconeogenesis,Glycolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0888,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Galactose metabolism,Gluconeogenesis,Glycolysis,Pentose phosphate pathway,Purine metabolism,Starch and sucrose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0907,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Galactose metabolism,Gluconeogenesis,Glycolysis,Pentose phosphate pathway,Purine metabolism,Starch and sucrose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1084,Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,Galactose metabolism,Pentose and glucuronate interconversions,Starch and sucrose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0722,Amino sugar and nucleotide sugar metabolism,Biosynthesis of secondary metabolites,Fructose and mannose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0458,Amino sugar and nucleotide sugar metabolism,Galactose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0459,Amino sugar and nucleotide sugar metabolism,Galactose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1071,Amino sugar and nucleotide sugar metabolism,Galactose metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0157,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0209,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0210,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0212,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0213,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0220,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0313,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0478,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0512,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0539,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0540,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0665,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0666,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0701,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0711,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0712,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0852,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0853,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0941,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0995,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1042,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1043,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1057,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1066,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1067,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1089,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1090,Aminoacyl-tRNA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0479,Aminoacyl-tRNA biosynthesis,Biosynthesis of secondary metabolites,Porphyrin and chlorophyll metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0480,Aminoacyl-tRNA biosynthesis,Biosynthesis of secondary metabolites,Porphyrin and chlorophyll metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0729,Aminoacyl-tRNA biosynthesis,Selenocompound metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0730,Aminoacyl-tRNA biosynthesis,Selenocompound metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0206,Arginine and proline metabolism,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0937,Arginine and proline metabolism,beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0687,Arginine and proline metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0957,Arginine and proline metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0473,Arginine and proline metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbapenem biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0468,Arginine and proline metabolism,Biosynthesis of amino acids,Biosynthesis of antibiotics,Carbapenem biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0819,Arginine and proline metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0173,Arginine and proline metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fatty acid degradation,Gluconeogenesis,Glycerolipid metabolism,Glycolysis,Histidine metabolism,Lysine degradation,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine and isoleucine degradation",beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0174,Arginine and proline metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fatty acid degradation,Gluconeogenesis,Glycerolipid metabolism,Glycolysis,Histidine metabolism,Lysine degradation,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine and isoleucine degradation",beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0175,Arginine and proline metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fatty acid degradation,Gluconeogenesis,Glycerolipid metabolism,Glycolysis,Histidine metabolism,Lysine degradation,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine and isoleucine degradation",beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0176,Arginine and proline metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fatty acid degradation,Gluconeogenesis,Glycerolipid metabolism,Glycolysis,Histidine metabolism,Lysine degradation,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine and isoleucine degradation",beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0177,Arginine and proline metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fatty acid degradation,Gluconeogenesis,Glycerolipid metabolism,Glycolysis,Histidine metabolism,Lysine degradation,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine and isoleucine degradation",beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0178,Arginine and proline metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fatty acid degradation,Gluconeogenesis,Glycerolipid metabolism,Glycolysis,Histidine metabolism,Lysine degradation,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine and isoleucine degradation",beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0201,Arginine and proline metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Fatty acid degradation,Gluconeogenesis,Glycerolipid metabolism,Glycolysis,Histidine metabolism,Lysine degradation,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine and isoleucine degradation",beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0817,Arginine and proline metabolism,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Glutathione metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0145,Arginine and proline metabolism,Cysteine and methionine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1001,Arginine and proline metabolism,Cysteine and methionine metabolism,Glutathione metabolism,beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1002,Arginine and proline metabolism,Cysteine and methionine metabolism,Glutathione metabolism,beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0191,Arginine biosynthesis,Atrazine degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1075,Arginine biosynthesis,Atrazine degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0816,Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1188,Autophagy - yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1198,Autophagy - yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1204,Autophagy - yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1210,Autophagy - yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1222,Autophagy - yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0572,Autophagy - yeast,Inositol phosphate metabolism,Phosphatidylinositol signaling system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0573,Autophagy - yeast,Inositol phosphate metabolism,Phosphatidylinositol signaling system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0574,Autophagy - yeast,Inositol phosphate metabolism,Phosphatidylinositol signaling system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0575,Autophagy - yeast,Inositol phosphate metabolism,Phosphatidylinositol signaling system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0993,Autophagy - yeast,Sphingolipid metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y300062,beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0689,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,"Glycine, serine and threonine metabolism","Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0692,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,"Glycine, serine and threonine metabolism","Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0312,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Sulfur metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0812,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Sulfur metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0813,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Cysteine and methionine metabolism,Sulfur metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0886,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Fructose and mannose metabolism,Galactose metabolism,Gluconeogenesis,Glycolysis,Pentose phosphate pathway,RNA degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0887,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Fructose and mannose metabolism,Galactose metabolism,Gluconeogenesis,Glycolysis,Pentose phosphate pathway,RNA degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1054,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Fructose and mannose metabolism,Gluconeogenesis,Glycolysis,Inositol phosphate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0322,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Fructose and mannose metabolism,Gluconeogenesis,Glycolysis,Pentose phosphate pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0450,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Fructose and mannose metabolism,Gluconeogenesis,Glycolysis,Pentose phosphate pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0990,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Fructose and mannose metabolism,Gluconeogenesis,Glycolysis,Pentose phosphate pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0356,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Gluconeogenesis,"Glycine, serine and threonine metabolism",Glycolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0893,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Gluconeogenesis,"Glycine, serine and threonine metabolism",Glycolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2126,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Gluconeogenesis,"Glycine, serine and threonine metabolism",Glycolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0486,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Gluconeogenesis,Glycolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0892,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Gluconeogenesis,Glycolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0962,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Gluconeogenesis,Glycolysis,Purine metabolism,Pyruvate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0366,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Gluconeogenesis,Glycolysis,RNA degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0502,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,"Glycine, serine and threonine metabolism",Glyoxylate and dicarboxylate metabolism,One carbon pool by folate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0503,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,"Glycine, serine and threonine metabolism",Glyoxylate and dicarboxylate metabolism,One carbon pool by folate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0693,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,"Glycine, serine and threonine metabolism","Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0984,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Pentose and glucuronate interconversions,Pentose phosphate pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0982,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Pentose phosphate pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1048,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Pentose phosphate pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1049,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Pentose phosphate pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1050,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Pentose phosphate pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0916,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,Pentose phosphate pathway,Purine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0546,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,"Glycine, serine and threonine metabolism",Lysine biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0547,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,"Glycine, serine and threonine metabolism",Lysine biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0311,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Cysteine and methionine metabolism,Selenocompound metabolism,Sulfur metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1055,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,"Glycine, serine and threonine metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0538,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Histidine metabolism,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Tyrosine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0988,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Lysine biosynthesis,Lysine degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0989,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Lysine biosynthesis,Lysine degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0678,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Lysine biosynthesis,Pantothenate and CoA biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0020,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,"Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0039,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,"Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0040,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,"Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0042,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,"Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0065,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,"Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0202,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,"Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0203,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,"Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0278,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,"Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
