Rxn	mean_Par_wo	mean_Par_Ac	mean_ATS_wo	mean_ATS_Ac	norm_Par_wo	norm_Par_Ac	norm_ATS_wo	norm_ATS_Ac
r_0001	6156.6484745469925	7020.86717331015	5278.110809831257	6433.364910844294	0.8769071287876677	1.0	0.751774770771339	0.9163205558567967
r_0002	3295.4054504716637	2591.538943618674	2897.0250855627564	3097.8617933472337	1.0	0.7864097400360107	0.8791103641429349	0.9400548247875975
r_0004	8487.682007042336	4300.755462816346	7380.393520760733	5289.661402894361	1.0	0.5067055362403958	0.8695417093426836	0.6232162560408675
r_0005	18771.549977055398	21362.1958354607	11115.969293254166	13680.012787833964	0.878727548499256	1.0	0.5203570540628571	0.6403842045640968
r_0006	16408.585546514416	13950.621195236296	12266.41479059366	11886.492430228433	1.0	0.8502025452279004	0.7475607666377646	0.7244068903156259
r_0007	340.04192508878333	290.730701734057	170.63348642476834	156.071928392499	1.0	0.8549848718158756	0.5018013187056765	0.458978487290205
r_0013	1472.3638357602601	932.2068632896375	728.1216354151493	572.6780470046816	1.0	0.6331362131074683	0.4945256177384859	0.3889514487490637
r_0014	496.53041518196034	212.05790064705232	241.88468416824466	145.04282449084567	1.0	0.42707937754294634	0.48714978332113396	0.2921126683401514
r_0015	206.52480550271164	357.42855622479436	337.03910641051834	410.3263731727837	0.5033183802098591	0.8710835559046197	0.8213927459851456	1.0
r_0016	4403.981988161787	1430.7068739654867	1808.4740772811365	921.9701164404846	1.0	0.32486664973002327	0.41064520294189255	0.20934920236249946
r_0017	1167.3954136407067	1664.8652140887634	1958.994993935453	2098.9040748102234	0.5561928378009648	0.7932069092958884	0.9333418413190605	1.0
r_0018	3314.1940626629366	1851.2688165502232	5194.398433148566	3457.70181277871	0.6380323160258713	0.3563971536600212	1.0	0.6656597211937083
r_0019	3536.7545727967668	2322.5574572143464	2323.0779036388267	2534.8509949597133	1.0	0.6566917238415367	0.656838877514139	0.7167166798784186
r_0020	5529.334353637597	3809.7340297178166	2757.2541858642094	2200.674407787432	1.0	0.6890040981536046	0.49865933393054584	0.397999879739533
r_0021	357.02819118817564	320.2383739281412	266.4179336451657	264.79460907478364	1.0	0.8969554276999825	0.7462097958106261	0.7416630272067808
r_0022	357.02819118817564	320.2383739281412	266.4179336451657	264.79460907478364	1.0	0.8969554276999825	0.7462097958106261	0.7416630272067808
r_0023	7198.87769839894	2659.77703548132	5087.576638020691	3087.243803289417	1.0	0.3694710685351503	0.7067180262212523	0.42885070876756703
r_0024	5541.794798648723	3160.8669760843036	3071.7951019104435	2891.3696281703596	1.0	0.5703688229046354	0.5542960743799916	0.5217388469301268
r_0025	5541.794798648723	3160.8669760843036	3071.7951019104435	2891.3696281703596	1.0	0.5703688229046354	0.5542960743799916	0.5217388469301268
r_0026	5331.538251696603	5407.093278510657	4869.7758083519575	4891.7761690286725	0.9860266832987085	1.0	0.9006272977952584	0.9046960940122851
r_0027	4160.228948692994	2878.2674708102036	3557.4402397368535	3087.41483276534	1.0	0.6918531422926759	0.8551068423420503	0.7421261836407593
r_0028	60751.1465786336	29504.128162890134	21632.1897176283	19201.288752446897	1.0	0.4856554949905562	0.35607870692001753	0.3160646314319944
r_0029	5331.538251696603	5407.093278510657	4869.7758083519575	4891.7761690286725	0.9860266832987085	1.0	0.9006272977952584	0.9046960940122851
r_0030	5331.538251696603	5407.093278510657	4869.7758083519575	4891.7761690286725	0.9860266832987085	1.0	0.9006272977952584	0.9046960940122851
r_0032	270.51816778401536	282.726559100639	299.4802122847437	269.0396745572313	0.9032922934047094	0.9440575620796762	1.0	0.8983554289103758
r_0033	7148.281027388577	2831.4146470899236	3262.7422882247033	3268.7190822552	1.0	0.3960972765678046	0.4564373274810454	0.4572734437455846
r_0034	7148.281027388577	2831.4146470899236	3262.7422882247033	3268.7190822552	1.0	0.3960972765678046	0.4564373274810454	0.4572734437455846
r_0035	7148.281027388577	2831.4146470899236	3262.7422882247033	3268.7190822552	1.0	0.3960972765678046	0.4564373274810454	0.4572734437455846
r_0036	7148.281027388577	2831.4146470899236	3262.7422882247033	3268.7190822552	1.0	0.3960972765678046	0.4564373274810454	0.4572734437455846
r_0037	7148.281027388577	2831.4146470899236	3262.7422882247033	3268.7190822552	1.0	0.3960972765678046	0.4564373274810454	0.4572734437455846
r_0038	2666.80768835139	1198.4634939748435	2576.20685935795	1540.1038484990997	1.0	0.4494000445587919	0.9660264857532908	0.5775084027342016
r_0039	3940.5745549007097	4238.996996756537	2967.08117482805	2367.88632548192	0.9296006951445909	1.0	0.6999488740139019	0.5585958959852307
r_0040	3940.5745549007097	4238.996996756537	2967.08117482805	2367.88632548192	0.9296006951445909	1.0	0.6999488740139019	0.5585958959852307
r_0041	833.8656486660993	945.6596728847511	1202.5728869104032	1301.7645574677467	0.640565641369261	0.7264444768140658	0.9238021422627332	1.0
